step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,21.3,system,
10000,3.781,1.159,0.703,41.2,process_tree,7.48,process_tree,1142.29
20000,6.462,1.174,0.79,41.18125,process_tree,7.63,process_tree,1164.97
30000,8.915,1.244,0.749,29.331249999999997,process_tree,7.77,process_tree,1186.43
40000,11.576,1.167,0.717,41.193749999999994,process_tree,7.92,process_tree,1208.21
50000,14.213,1.184,0.687,40.5625,process_tree,8.06,process_tree,1230.23
60000,16.79,1.122,0.713,41.818749999999994,process_tree,8.21,process_tree,1253.61
70000,19.481,1.182,0.735,39.94375,process_tree,8.35,process_tree,1274.55
80000,22.026,1.145,0.673,41.8125,process_tree,8.49,process_tree,1296.46
90000,24.748,1.147,0.631,41.075,process_tree,8.64,process_tree,1318.47
100000,27.354,1.127,0.677,41.8125,process_tree,8.78,process_tree,1340.93
110000,29.844,1.234,0.759,41.81875,process_tree,8.93,process_tree,1363.79
120000,32.696,1.145,0.756,40.5625,process_tree,9.1,process_tree,1388.42
130000,35.251,1.131,0.638,40.5625,process_tree,9.21,process_tree,1406.36
140000,37.783,1.164,0.661,39.94375,process_tree,9.37,process_tree,1429.79
150000,40.635,1.181,0.712,39.94375,process_tree,9.55,process_tree,1457.98
160000,43.084,1.185,0.737,40.375,process_tree,9.65,process_tree,1473.72
170000,45.661,1.179,0.704,43.08125,process_tree,9.83,process_tree,1500.85
180000,48.159,1.156,0.684,41.8125,process_tree,9.94,process_tree,1517.41
190000,51.127,1.2,0.711,41.8125,process_tree,10.13,process_tree,1546.54
200000,53.636,1.18,0.69,39.943749999999994,process_tree,10.24,process_tree,1562.38
210000,56.164,1.167,0.726,41.18125,process_tree,10.37,process_tree,1582.52
220000,100.533,1.344,0.873,41.1875,process_tree,9.43,process_tree,1439.79
230000,103.023,1.44,0.896,41.1875,process_tree,9.28,process_tree,1416.8
240000,105.595,1.482,0.819,41.81875,process_tree,9.23,process_tree,1408.81
250000,108.12,1.411,0.921,41.818749999999994,process_tree,9.2,process_tree,1404.07
260000,110.72,1.418,0.84,41.8125,process_tree,9.2,process_tree,1404.08
270000,113.203,1.41,0.823,24.9625,process_tree,9.2,process_tree,1404.08
280000,115.892,1.399,0.817,39.325,process_tree,9.19,process_tree,1402.08
290000,118.386,1.437,0.857,41.818749999999994,process_tree,9.19,process_tree,1402.08
300000,121.079,1.414,0.807,41.8125,process_tree,9.19,process_tree,1402.09
310000,123.617,1.436,0.938,40.55625,process_tree,9.26,process_tree,1413.44
320000,126.6,1.406,0.845,39.925,process_tree,9.36,process_tree,1428.68
330000,129.12,1.479,0.941,41.21875,process_tree,9.46,process_tree,1443.81
340000,131.572,1.435,0.901,39.95,process_tree,9.56,process_tree,1458.96
350000,134.644,1.502,0.921,41.8125,process_tree,9.66,process_tree,1474.1
360000,137.171,1.478,0.965,41.824999999999996,process_tree,9.76,process_tree,1489.31
370000,139.666,1.454,0.85,41.193749999999994,process_tree,9.86,process_tree,1504.49
380000,142.113,1.547,0.887,39.9375,process_tree,9.96,process_tree,1519.61
390000,145.27,1.447,0.896,40.5625,process_tree,10.05,process_tree,1534.81
400000,147.793,1.525,0.947,41.818749999999994,process_tree,10.22,process_tree,1559.26
410000,150.244,1.521,0.904,41.8125,process_tree,10.32,process_tree,1575.11
420000,152.714,1.401,0.867,41.8125,process_tree,10.42,process_tree,1590.73
430000,197.527,1.703,1.143,41.2,process_tree,9.59,process_tree,1463.96
440000,200.02,2.252,1.673,41.193749999999994,process_tree,9.38,process_tree,1431.97
450000,202.504,2.541,1.877,41.1875,process_tree,9.33,process_tree,1423.98
460000,205.076,2.467,1.807,40.575,process_tree,9.3,process_tree,1418.98
470000,207.612,2.271,1.424,41.175,process_tree,9.28,process_tree,1416.58
480000,210.055,2.279,1.552,41.825,process_tree,9.28,process_tree,1416.58
490000,212.608,2.333,1.555,43.05625,process_tree,9.28,process_tree,1416.58
500000,215.021,2.258,1.496,6.86875,process_tree,9.32,process_tree,1421.95
510000,217.707,2.326,1.747,43.6875,process_tree,9.32,process_tree,1421.96
520000,220.13,2.396,1.76,41.193749999999994,process_tree,9.33,process_tree,1424.85
530000,222.82,2.245,1.698,41.8125,process_tree,9.43,process_tree,1440.08
540000,225.29,2.311,1.544,40.41875,process_tree,9.53,process_tree,1455.12
550000,227.663,2.085,1.479,42.43125,process_tree,9.63,process_tree,1470.22
560000,230.439,2.383,1.651,41.1875,process_tree,9.73,process_tree,1485.36
570000,232.795,2.379,1.942,40.5625,process_tree,9.83,process_tree,1500.46
580000,235.232,2.377,1.749,41.8125,process_tree,9.93,process_tree,1515.6
590000,237.994,2.332,1.743,41.19375,process_tree,10.03,process_tree,1530.75
