step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,48.3,system,
10000,17.808,1.123,0.729,16.16875,process_tree,7.34,process_tree,1120.89
20000,34.223,1.252,0.702,17.41875,process_tree,7.34,process_tree,1121.0
30000,49.899,1.255,0.717,16.09375,process_tree,7.34,process_tree,1121.01
40000,66.22,1.31,0.803,18.625,process_tree,7.35,process_tree,1121.3
50000,81.973,1.544,0.905,21.793749999999996,process_tree,7.35,process_tree,1121.35
60000,97.911,1.526,0.847,24.2125,process_tree,7.35,process_tree,1121.36
70000,113.644,1.868,1.003,17.83125,process_tree,7.35,process_tree,1121.38
80000,129.607,1.864,1.005,18.7,process_tree,7.35,process_tree,1121.4
90000,145.197,2.017,1.081,20.49375,process_tree,7.35,process_tree,1121.43
100000,160.475,2.178,1.103,19.34375,process_tree,7.35,process_tree,1121.45
110000,175.759,2.306,1.35,17.724999999999998,process_tree,7.35,process_tree,1121.52
120000,191.392,2.573,1.473,21.16875,process_tree,7.35,process_tree,1121.53
130000,206.557,2.405,1.457,19.1625,process_tree,7.35,process_tree,1121.61
140000,222.176,2.674,1.872,19.35,process_tree,7.35,process_tree,1121.62
150000,237.324,2.915,1.913,20.525,process_tree,7.35,process_tree,1121.77
160000,249.922,2.739,1.852,23.625,process_tree,7.35,process_tree,1121.79
170000,263.704,3.441,2.369,18.10625,process_tree,7.35,process_tree,1121.79
180000,278.641,3.553,2.712,22.0,process_tree,7.35,process_tree,1121.79
190000,294.548,3.289,2.608,19.9625,process_tree,7.35,process_tree,1121.81
200000,309.306,3.639,2.88,21.0625,process_tree,7.35,process_tree,1121.81
210000,324.669,3.555,3.29,18.056250000000002,process_tree,7.35,process_tree,1121.81
220000,340.325,4.026,2.984,20.549999999999997,process_tree,7.35,process_tree,1121.82
230000,355.301,4.348,3.471,19.26875,process_tree,7.35,process_tree,1121.82
240000,369.883,4.472,3.705,18.09375,process_tree,7.35,process_tree,1121.82
250000,384.832,4.107,3.157,21.799999999999997,process_tree,7.35,process_tree,1121.82
260000,399.543,4.096,3.435,15.475,process_tree,7.35,process_tree,1121.83
270000,414.519,3.942,3.342,21.8375,process_tree,7.35,process_tree,1121.83
280000,429.386,4.648,3.591,21.68125,process_tree,7.35,process_tree,1121.83
290000,444.557,4.822,3.735,16.14375,process_tree,7.35,process_tree,1121.83
300000,459.387,5.117,4.259,14.35,process_tree,7.35,process_tree,1121.83
310000,474.251,4.946,3.799,23.068749999999998,process_tree,7.35,process_tree,1121.83
320000,488.697,4.699,4.376,18.73125,process_tree,7.35,process_tree,1121.83
330000,503.799,5.248,5.502,23.6875,process_tree,7.35,process_tree,1121.84
340000,518.173,5.057,4.66,15.51875,process_tree,7.35,process_tree,1121.84
350000,532.879,5.56,5.157,20.862499999999997,process_tree,7.35,process_tree,1121.84
360000,543.627,6.097,6.365,22.912499999999998,process_tree,7.35,process_tree,1121.88
370000,558.251,5.225,4.393,19.787499999999998,process_tree,7.35,process_tree,1121.88
380000,573.035,5.825,5.576,20.54375,process_tree,7.35,process_tree,1121.89
390000,588.06,4.983,5.287,21.1875,process_tree,7.35,process_tree,1121.89
400000,603.01,6.177,6.034,20.59375,process_tree,7.35,process_tree,1121.95
410000,618.214,5.549,6.407,17.4,process_tree,7.35,process_tree,1121.95
420000,633.282,5.905,6.763,13.73125,process_tree,7.35,process_tree,1121.95
430000,648.32,4.761,4.447,21.112499999999997,process_tree,7.35,process_tree,1121.95
440000,663.202,5.633,5.746,23.068749999999998,process_tree,7.35,process_tree,1121.95
450000,677.998,5.096,5.871,16.8625,process_tree,7.35,process_tree,1121.95
460000,689.693,5.512,4.368,23.46875,process_tree,7.35,process_tree,1121.98
470000,700.839,5.897,5.569,25.45625,process_tree,7.35,process_tree,1122.0
480000,712.048,6.945,7.722,21.8375,process_tree,7.35,process_tree,1122.0
490000,723.364,6.763,8.378,22.362499999999997,process_tree,7.35,process_tree,1122.0
500000,733.885,6.909,8.188,24.337500000000002,process_tree,7.41,process_tree,1131.52
510000,745.023,6.039,6.44,14.975,process_tree,7.42,process_tree,1132.16
520000,756.12,5.946,4.834,19.78125,process_tree,7.42,process_tree,1132.16
530000,767.012,5.969,6.053,28.662499999999998,process_tree,7.42,process_tree,1132.21
540000,777.901,7.628,7.805,24.749999999999996,process_tree,7.42,process_tree,1132.26
550000,787.708,9.802,11.419,32.45,process_tree,7.42,process_tree,1132.28
560000,794.94,7.602,7.449,30.575,process_tree,7.42,process_tree,1132.29
570000,808.783,6.613,6.508,18.09375,process_tree,7.42,process_tree,1132.29
580000,824.114,7.839,10.088,17.3,process_tree,7.42,process_tree,1132.29
590000,839.229,7.67,7.108,20.331249999999997,process_tree,7.42,process_tree,1132.29
600000,854.443,6.52,5.972,20.5375,process_tree,7.42,process_tree,1132.29
610000,869.37,7.047,7.143,18.95625,process_tree,7.42,process_tree,1132.29
620000,884.318,7.967,8.065,19.34375,process_tree,7.42,process_tree,1132.32
630000,899.417,7.421,6.934,22.36875,process_tree,7.42,process_tree,1132.32
640000,914.444,6.027,5.31,17.98125,process_tree,7.42,process_tree,1132.34
650000,929.278,8.168,7.247,16.85,process_tree,7.42,process_tree,1132.34
660000,944.034,9.533,8.802,19.18125,process_tree,7.42,process_tree,1132.34
670000,958.75,8.995,9.107,15.975,process_tree,7.42,process_tree,1132.35
680000,973.647,13.799,18.945,18.1,process_tree,7.42,process_tree,1132.35
690000,988.26,15.61,14.429,17.48125,process_tree,7.42,process_tree,1132.35
700000,1003.045,9.699,11.229,16.09375,process_tree,7.42,process_tree,1132.35
710000,1018.154,12.95,17.493,20.5875,process_tree,7.42,process_tree,1132.35
720000,1032.809,9.447,10.079,20.55625,process_tree,7.42,process_tree,1132.36
730000,1047.131,13.455,15.364,20.89375,process_tree,7.42,process_tree,1132.2
740000,1061.521,11.862,12.949,17.3125,process_tree,7.42,process_tree,1132.2
750000,1076.313,10.854,10.94,21.16875,process_tree,7.42,process_tree,1132.21
760000,1091.191,11.936,10.052,21.081249999999997,process_tree,7.42,process_tree,1132.21
770000,1105.771,9.692,7.921,18.70625,process_tree,7.42,process_tree,1132.2
780000,1119.629,16.315,13.65,24.331249999999997,process_tree,7.42,process_tree,1132.2
790000,1130.566,19.638,17.154,24.4625,process_tree,7.42,process_tree,1132.21
800000,1141.501,20.273,21.531,21.8375,process_tree,7.42,process_tree,1132.23
810000,1151.914,14.856,17.877,26.75,process_tree,7.42,process_tree,1132.23
820000,1162.08,32.776,34.399,21.84375,process_tree,7.42,process_tree,1132.23
830000,1172.371,21.4,23.024,22.956249999999997,process_tree,7.42,process_tree,1132.23
840000,1183.04,20.838,20.797,25.543750000000003,process_tree,7.42,process_tree,1132.23
850000,1193.743,54.935,44.45,19.775,process_tree,7.42,process_tree,1132.25
860000,1203.665,39.084,35.836,21.787499999999998,process_tree,7.42,process_tree,1132.25
870000,1213.995,38.95,34.68,25.58125,process_tree,7.42,process_tree,1132.25
880000,1224.195,48.532,38.454,24.956249999999997,process_tree,7.42,process_tree,1132.25
890000,1238.274,38.719,36.718,15.5875,process_tree,7.42,process_tree,1132.29
900000,1252.892,36.693,29.238,17.443749999999998,process_tree,7.42,process_tree,1132.3
910000,1267.642,20.707,19.806,21.693749999999998,process_tree,7.42,process_tree,1132.3
920000,1282.391,43.757,38.444,19.8875,process_tree,7.42,process_tree,1132.3
930000,1296.996,41.14,35.895,16.85,process_tree,7.42,process_tree,1132.3
940000,1311.522,40.79,40.894,21.674999999999997,process_tree,7.42,process_tree,1132.49
950000,1326.78,51.613,39.091,20.86875,process_tree,7.42,process_tree,1132.49
960000,1341.199,61.822,37.551,21.112499999999997,process_tree,7.42,process_tree,1132.49
970000,1355.796,27.482,28.895,22.318749999999998,process_tree,7.42,process_tree,1132.49
980000,1371.238,35.3,30.738,21.8,process_tree,7.42,process_tree,1132.49
990000,1385.456,33.693,23.953,18.706249999999997,process_tree,7.42,process_tree,1132.49
1000000,1400.39,36.865,30.791,17.05625,process_tree,7.42,process_tree,1132.52
1010000,1415.412,31.884,30.802,21.09375,process_tree,7.42,process_tree,1132.52
1020000,1430.382,20.393,13.93,19.95,process_tree,7.42,process_tree,1132.52
1030000,1445.217,21.4,18.878,18.612499999999997,process_tree,7.42,process_tree,1132.52
1040000,1460.338,17.011,13.965,21.78125,process_tree,7.42,process_tree,1132.52
1050000,1475.3,17.656,16.56,15.34375,process_tree,7.42,process_tree,1132.52
1060000,1490.209,24.212,22.265,15.56875,process_tree,7.42,process_tree,1132.52
1070000,1504.633,49.914,38.777,17.38125,process_tree,7.42,process_tree,1132.52
1080000,1519.928,20.018,17.283,23.525,process_tree,7.42,process_tree,1132.52
