step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,49.5,system,
10000,19.758,1.273,0.815,21.6875,process_tree,7.38,process_tree,1125.75
20000,36.998,2.072,1.448,19.924999999999997,process_tree,7.38,process_tree,1126.05
30000,52.937,4.797,4.253,14.2,process_tree,7.39,process_tree,1127.66
40000,69.399,11.871,11.745,19.85,process_tree,7.4,process_tree,1128.89
50000,85.28,28.268,22.784,18.08125,process_tree,7.4,process_tree,1129.5
60000,100.617,32.548,30.361,22.4625,process_tree,7.4,process_tree,1129.51
70000,116.145,44.525,33.708,24.3375,process_tree,7.4,process_tree,1129.89
80000,127.577,32.841,38.882,21.775,process_tree,7.4,process_tree,1130.21
90000,143.942,31.388,42.93,21.825,process_tree,7.4,process_tree,1130.24
100000,160.072,18.79,28.342,21.218749999999996,process_tree,7.4,process_tree,1130.26
110000,175.494,50.427,37.101,19.806250000000002,process_tree,7.4,process_tree,1130.27
120000,191.688,24.846,27.831,16.2375,process_tree,7.4,process_tree,1130.27
130000,208.189,23.284,18.91,16.85,process_tree,7.4,process_tree,1130.27
140000,224.515,50.794,38.495,21.143749999999997,process_tree,7.4,process_tree,1130.3
150000,239.738,70.614,37.781,19.33125,process_tree,7.41,process_tree,1130.36
160000,255.363,43.093,33.358,18.7,process_tree,7.41,process_tree,1130.36
170000,271.235,27.118,25.472,15.58125,process_tree,7.41,process_tree,1130.36
180000,287.828,17.1,11.721,19.19375,process_tree,7.41,process_tree,1130.36
190000,302.781,54.168,38.898,12.4125,process_tree,7.41,process_tree,1130.48
200000,319.488,70.94,42.966,18.575,process_tree,7.41,process_tree,1130.49
210000,336.034,47.526,38.319,20.974999999999998,process_tree,7.41,process_tree,1130.49
220000,351.0,42.077,39.401,16.80625,process_tree,7.41,process_tree,1130.49
230000,367.641,30.532,29.935,19.3375,process_tree,7.41,process_tree,1130.5
240000,382.139,37.358,37.179,19.3375,process_tree,7.41,process_tree,1130.5
250000,398.802,30.6,30.949,20.71875,process_tree,7.41,process_tree,1130.5
260000,413.988,32.74,34.429,14.85625,process_tree,7.41,process_tree,1130.5
270000,430.99,91.733,27.417,19.299999999999997,process_tree,7.41,process_tree,1130.5
280000,446.694,100.0,0.0,20.4375,process_tree,7.41,process_tree,1130.5
290000,461.895,100.0,0.0,16.8125,process_tree,7.41,process_tree,1130.5
300000,478.425,91.13,26.61,20.33125,process_tree,7.41,process_tree,1130.51
310000,494.805,66.275,37.132,22.35625,process_tree,7.41,process_tree,1130.52
320000,510.316,95.782,13.339,10.5875,process_tree,7.41,process_tree,1130.52
330000,527.014,82.725,32.026,18.5125,process_tree,7.41,process_tree,1130.52
340000,542.373,71.522,37.449,14.975,process_tree,7.41,process_tree,1130.52
350000,558.574,51.083,33.109,19.2,process_tree,7.41,process_tree,1130.52
360000,573.853,58.615,41.516,10.40625,process_tree,7.41,process_tree,1130.52
370000,590.532,75.486,36.641,19.29375,process_tree,7.41,process_tree,1130.52
380000,606.624,75.523,36.182,19.881249999999998,process_tree,7.41,process_tree,1130.53
390000,622.261,48.3,27.166,16.13125,process_tree,7.41,process_tree,1130.53
400000,638.044,52.022,39.91,17.474999999999998,process_tree,7.41,process_tree,1130.53
410000,653.759,27.143,23.953,15.6,process_tree,7.41,process_tree,1130.53
420000,670.444,90.562,26.501,17.75,process_tree,7.41,process_tree,1130.53
430000,686.192,56.938,45.808,20.51875,process_tree,7.41,process_tree,1130.53
440000,702.101,14.664,30.353,11.81875,process_tree,7.41,process_tree,1130.54
450000,717.678,37.676,45.398,20.43125,process_tree,7.41,process_tree,1130.54
460000,733.831,54.675,46.984,19.16875,process_tree,7.41,process_tree,1130.54
470000,749.932,91.7,27.528,19.28125,process_tree,7.41,process_tree,1130.54
480000,765.692,100.0,0.0,17.4375,process_tree,7.41,process_tree,1130.54
490000,782.49,100.0,0.0,19.95,process_tree,7.41,process_tree,1130.54
500000,798.3,100.0,0.0,15.6,process_tree,7.45,process_tree,1137.8
510000,812.832,100.0,0.0,13.4,process_tree,7.47,process_tree,1139.79
520000,829.26,100.0,0.0,8.66875,process_tree,7.47,process_tree,1140.02
