step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,16.5,system,
10000,4.012,1.102,0.724,41.818749999999994,process_tree,7.48,process_tree,1142.09
20000,6.57,1.096,0.672,39.15,process_tree,7.63,process_tree,1164.52
30000,9.136,1.115,0.679,28.0875,process_tree,7.77,process_tree,1186.32
40000,11.677,1.123,0.712,40.5625,process_tree,7.93,process_tree,1209.75
50000,14.492,1.07,0.626,41.818749999999994,process_tree,8.08,process_tree,1232.73
60000,16.946,1.081,0.635,39.94375,process_tree,8.21,process_tree,1252.57
70000,19.863,1.106,0.679,41.193749999999994,process_tree,8.35,process_tree,1274.52
80000,22.292,1.118,0.63,41.19375,process_tree,8.52,process_tree,1300.29
90000,25.171,1.088,0.657,41.1875,process_tree,8.67,process_tree,1322.95
100000,27.582,1.124,0.693,41.1875,process_tree,8.78,process_tree,1340.44
110000,30.222,1.075,0.608,40.575,process_tree,8.93,process_tree,1362.95
120000,32.95,1.12,0.704,41.8125,process_tree,9.08,process_tree,1386.52
130000,35.598,1.129,0.689,41.8,process_tree,9.25,process_tree,1412.12
140000,38.015,1.112,0.661,40.58125,process_tree,9.36,process_tree,1429.0
150000,40.999,1.158,0.677,38.693749999999994,process_tree,9.53,process_tree,1454.45
160000,43.469,1.193,0.787,40.5625,process_tree,9.65,process_tree,1472.7
170000,46.071,1.132,0.695,40.55625,process_tree,9.82,process_tree,1498.2
180000,48.592,1.097,0.643,41.19375,process_tree,9.94,process_tree,1516.95
190000,51.682,1.148,0.665,41.81875,process_tree,10.11,process_tree,1543.52
200000,54.234,1.102,0.697,41.19375,process_tree,10.23,process_tree,1561.35
210000,56.789,1.164,0.75,40.58125,process_tree,10.42,process_tree,1590.57
220000,59.254,1.122,0.746,41.19375,process_tree,10.52,process_tree,1606.32
230000,61.769,1.093,0.657,39.3375,process_tree,10.66,process_tree,1626.98
240000,64.793,1.118,0.711,40.98125,process_tree,10.85,process_tree,1655.57
250000,67.306,1.06,0.655,40.4375,process_tree,10.96,process_tree,1672.33
260000,69.817,1.126,0.657,41.15,process_tree,11.09,process_tree,1692.91
270000,72.288,1.073,0.682,40.5625,process_tree,11.29,process_tree,1722.73
280000,74.892,1.163,0.736,41.1875,process_tree,11.39,process_tree,1738.94
290000,77.303,1.061,0.578,39.31875,process_tree,11.53,process_tree,1759.25
300000,79.932,1.092,0.635,39.31875,process_tree,11.74,process_tree,1792.3
310000,82.94,1.097,0.646,41.81875,process_tree,11.84,process_tree,1807.79
320000,85.569,1.124,0.721,41.81875,process_tree,11.97,process_tree,1826.44
330000,88.031,1.102,0.652,41.8125,process_tree,12.2,process_tree,1862.09
340000,90.674,1.069,0.667,41.19375,process_tree,12.3,process_tree,1878.17
