step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,42.2,system,
10000,16.967,1.258,0.779,38.304545454545455,process_tree,6.82,process_tree,1082.98
20000,25.658,1.895,1.271,16.28181818181818,process_tree,6.83,process_tree,1084.59
30000,34.456,3.715,2.67,16.277272727272727,process_tree,6.83,process_tree,1084.36
40000,43.784,5.608,4.237,33.21363636363637,process_tree,6.84,process_tree,1084.98
50000,52.979,5.544,4.235,21.986363636363635,process_tree,6.84,process_tree,1085.07
60000,62.159,8.37,7.328,16.154545454545453,process_tree,6.83,process_tree,1084.6
70000,70.991,11.564,10.407,32.56363636363636,process_tree,6.84,process_tree,1085.17
80000,79.455,15.043,14.781,11.077272727272726,process_tree,6.84,process_tree,1084.95
90000,87.614,11.353,8.914,18.245454545454546,process_tree,6.84,process_tree,1084.89
100000,96.497,15.483,15.534,18.23181818181818,process_tree,6.84,process_tree,1084.67
110000,104.838,11.687,8.806,25.986363636363638,process_tree,6.84,process_tree,1085.21
120000,114.001,17.823,9.963,18.88181818181818,process_tree,6.84,process_tree,1085.32
130000,123.208,30.168,31.857,31.15454545454546,process_tree,6.83,process_tree,1084.39
140000,132.314,15.524,16.174,19.536363636363635,process_tree,6.84,process_tree,1085.3
150000,141.213,13.57,8.163,20.136363636363637,process_tree,6.84,process_tree,1085.14
160000,149.771,22.186,21.918,23.94545454545454,process_tree,6.84,process_tree,1085.44
170000,158.364,13.655,12.051,16.145454545454545,process_tree,6.84,process_tree,1085.1
180000,166.948,49.55,35.188,18.23181818181818,process_tree,6.84,process_tree,1085.34
190000,175.807,27.673,19.896,39.38636363636363,process_tree,6.84,process_tree,1085.74
200000,184.296,12.372,7.521,18.245454545454546,process_tree,6.84,process_tree,1085.47
210000,193.077,15.927,9.703,18.245454545454546,process_tree,6.84,process_tree,1085.35
220000,202.071,13.175,6.729,16.918181818181818,process_tree,6.84,process_tree,1085.5
230000,210.245,18.939,13.549,38.43636363636363,process_tree,6.84,process_tree,1084.97
240000,218.924,9.397,7.955,22.795454545454543,process_tree,6.84,process_tree,1085.6
250000,227.435,10.751,6.461,19.536363636363635,process_tree,6.84,process_tree,1085.19
260000,236.579,13.895,8.995,13.677272727272726,process_tree,6.84,process_tree,1085.27
270000,245.74,18.441,14.454,25.4,process_tree,6.84,process_tree,1085.36
280000,254.65,14.162,10.553,18.09090909090909,process_tree,6.84,process_tree,1085.46
