step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,47.6,system,
10000,14.662,1.411,0.882,18.245454545454546,process_tree,6.59,process_tree,1045.78
20000,22.189,3.789,3.117,14.336363636363636,process_tree,6.62,process_tree,1050.77
30000,29.528,14.449,15.716,18.245454545454546,process_tree,6.63,process_tree,1052.8
40000,36.579,54.094,30.464,26.50454545454545,process_tree,6.64,process_tree,1053.34
50000,43.885,80.583,25.251,16.29090909090909,process_tree,6.64,process_tree,1053.72
60000,50.665,62.157,39.567,14.863636363636363,process_tree,6.64,process_tree,1053.05
70000,57.933,62.39,34.662,22.78181818181818,process_tree,6.64,process_tree,1053.73
80000,65.127,68.456,44.7,18.077272727272728,process_tree,6.64,process_tree,1053.34
90000,72.485,91.127,28.058,38.27272727272727,process_tree,6.64,process_tree,1053.61
100000,80.168,92.462,26.114,14.854545454545455,process_tree,6.64,process_tree,1053.61
110000,87.545,95.373,14.633,18.740909090909092,process_tree,6.64,process_tree,1053.67
120000,94.36,87.713,32.51,18.245454545454546,process_tree,6.64,process_tree,1053.25
130000,101.652,65.2,46.699,18.245454545454546,process_tree,6.64,process_tree,1053.25
140000,108.665,96.458,11.746,18.077272727272728,process_tree,6.64,process_tree,1053.25
150000,115.637,87.44,29.294,18.245454545454546,process_tree,6.64,process_tree,1053.14
160000,122.708,85.979,34.348,18.245454545454546,process_tree,6.64,process_tree,1053.25
170000,129.686,100.0,0.0,18.245454545454546,process_tree,6.64,process_tree,1053.5
180000,136.864,100.0,0.0,18.245454545454546,process_tree,6.64,process_tree,1054.02
190000,144.404,100.0,0.0,14.331818181818182,process_tree,6.64,process_tree,1054.3
200000,151.814,100.0,0.0,15.909090909090908,process_tree,6.64,process_tree,1053.98
210000,159.425,59.35,46.934,15.109090909090908,process_tree,6.64,process_tree,1054.2
220000,167.132,100.0,0.0,18.245454545454546,process_tree,6.64,process_tree,1054.45
230000,174.407,87.33,29.82,15.909090909090908,process_tree,6.64,process_tree,1053.89
240000,181.583,86.267,31.329,16.29090909090909,process_tree,6.64,process_tree,1054.18
250000,188.764,42.113,48.929,18.245454545454546,process_tree,6.65,process_tree,1055.32
260000,195.843,69.025,45.944,20.845454545454544,process_tree,6.64,process_tree,1054.34
270000,203.083,65.231,42.939,29.30454545454546,process_tree,6.64,process_tree,1054.46
280000,210.539,84.777,35.702,18.077272727272728,process_tree,6.64,process_tree,1054.19
290000,217.728,59.424,48.507,18.245454545454546,process_tree,6.64,process_tree,1053.52
300000,225.595,88.911,31.364,18.245454545454546,process_tree,6.64,process_tree,1053.97
310000,233.055,94.283,18.96,18.245454545454546,process_tree,6.64,process_tree,1054.0
320000,240.411,47.454,46.526,18.077272727272728,process_tree,6.64,process_tree,1053.95
330000,247.364,97.389,7.385,26.58181818181818,process_tree,6.64,process_tree,1053.79
340000,254.864,83.433,37.045,18.245454545454546,process_tree,6.65,process_tree,1054.56
350000,263.312,87.563,32.907,18.245454545454546,process_tree,6.64,process_tree,1053.97
360000,270.063,100.0,0.0,26.04090909090909,process_tree,6.64,process_tree,1054.19
370000,277.32,91.808,27.169,21.336363636363636,process_tree,6.64,process_tree,1053.74
380000,284.342,88.692,28.206,16.29090909090909,process_tree,6.64,process_tree,1053.28
390000,291.117,100.0,0.0,43.49545454545455,process_tree,6.64,process_tree,1054.16
400000,298.442,84.373,30.088,20.2,process_tree,6.64,process_tree,1054.18
410000,305.196,100.0,0.0,16.14090909090909,process_tree,6.65,process_tree,1054.66
420000,312.364,100.0,0.0,30.459090909090904,process_tree,6.65,process_tree,1054.82
430000,319.422,43.873,46.606,18.081818181818182,process_tree,6.65,process_tree,1055.8
440000,326.697,4.447,16.522,18.077272727272728,process_tree,6.64,process_tree,1054.21
450000,334.047,9.413,28.189,16.14090909090909,process_tree,6.64,process_tree,1054.12
460000,341.536,9.328,27.83,15.636363636363637,process_tree,6.65,process_tree,1054.67
470000,348.409,28.509,44.722,29.154545454545453,process_tree,6.64,process_tree,1053.65
480000,354.982,45.923,49.369,15.340909090909092,process_tree,6.64,process_tree,1054.1
490000,362.143,53.429,49.403,13.681818181818182,process_tree,6.64,process_tree,1054.12
500000,369.312,79.193,39.849,13.681818181818182,process_tree,6.77,process_tree,1074.46
510000,377.86,90.955,28.604,18.245454545454546,process_tree,7.09,process_tree,1124.36
520000,385.262,79.086,40.052,14.32272727272727,process_tree,7.08,process_tree,1123.94
530000,392.912,100.0,0.0,13.55909090909091,process_tree,7.08,process_tree,1123.93
540000,400.243,90.973,28.547,16.786363636363635,process_tree,7.08,process_tree,1124.16
550000,407.405,71.679,44.78,14.336363636363636,process_tree,7.08,process_tree,1124.3
560000,414.57,91.758,27.335,18.077272727272728,process_tree,7.08,process_tree,1123.94
570000,421.418,63.45,46.877,18.245454545454546,process_tree,7.08,process_tree,1123.96
580000,428.605,61.67,47.212,16.94090909090909,process_tree,7.08,process_tree,1123.96
590000,435.851,70.17,45.566,18.245454545454546,process_tree,7.09,process_tree,1124.38
600000,442.874,77.023,41.95,18.081818181818182,process_tree,7.09,process_tree,1124.41
610000,449.728,68.229,44.665,18.245454545454546,process_tree,7.08,process_tree,1122.91
620000,457.318,90.01,29.97,18.245454545454546,process_tree,7.08,process_tree,1123.97
630000,464.648,78.629,40.923,18.245454545454546,process_tree,7.08,process_tree,1123.41
640000,471.666,83.236,35.701,18.722727272727273,process_tree,7.08,process_tree,1123.41
650000,479.161,64.629,35.309,22.018181818181816,process_tree,7.08,process_tree,1123.86
660000,486.027,100.0,0.0,18.245454545454546,process_tree,7.08,process_tree,1123.37
670000,492.968,100.0,0.0,15.909090909090908,process_tree,7.08,process_tree,1123.43
680000,499.854,82.091,37.991,18.245454545454546,process_tree,7.08,process_tree,1123.45
690000,507.27,84.854,35.521,18.245454545454546,process_tree,7.08,process_tree,1124.07
700000,514.672,100.0,0.0,20.65909090909091,process_tree,7.08,process_tree,1123.47
710000,521.927,68.958,44.288,18.077272727272728,process_tree,7.08,process_tree,1124.23
720000,529.788,88.645,28.689,18.077272727272728,process_tree,7.08,process_tree,1123.98
730000,536.816,100.0,0.0,18.077272727272728,process_tree,7.08,process_tree,1123.98
740000,543.796,100.0,0.0,18.077272727272728,process_tree,7.08,process_tree,1124.0
750000,551.051,100.0,0.0,18.245454545454546,process_tree,7.08,process_tree,1124.01
760000,558.062,83.475,36.952,18.245454545454546,process_tree,7.08,process_tree,1124.04
770000,565.052,100.0,0.0,18.245454545454546,process_tree,7.08,process_tree,1124.04
780000,572.351,100.0,0.0,18.245454545454546,process_tree,7.08,process_tree,1123.99
790000,579.812,73.587,43.802,18.245454545454546,process_tree,7.08,process_tree,1124.02
800000,586.917,100.0,0.0,17.431818181818183,process_tree,7.09,process_tree,1124.37
810000,594.419,100.0,0.0,18.077272727272728,process_tree,7.08,process_tree,1124.23
820000,601.441,100.0,0.0,18.077272727272728,process_tree,7.08,process_tree,1124.2
830000,608.34,100.0,0.0,13.018181818181818,process_tree,7.09,process_tree,1124.48
840000,615.652,83.45,37.007,14.336363636363636,process_tree,7.09,process_tree,1124.47
850000,622.624,79.607,35.105,18.077272727272728,process_tree,7.09,process_tree,1124.81
860000,630.012,100.0,0.0,19.545454545454547,process_tree,7.08,process_tree,1124.22
870000,637.532,100.0,0.0,17.431818181818183,process_tree,7.08,process_tree,1124.17
880000,644.338,90.14,29.58,18.245454545454546,process_tree,7.08,process_tree,1124.05
890000,651.811,89.067,18.704,16.29090909090909,process_tree,7.09,process_tree,1124.41
900000,659.026,100.0,0.0,18.245454545454546,process_tree,7.08,process_tree,1124.09
910000,665.938,100.0,0.0,17.59090909090909,process_tree,7.08,process_tree,1124.3
920000,672.92,100.0,0.0,13.55909090909091,process_tree,7.09,process_tree,1124.39
930000,680.328,100.0,0.0,17.431818181818183,process_tree,7.08,process_tree,1124.04
940000,687.089,100.0,0.0,15.636363636363637,process_tree,7.09,process_tree,1124.61
