step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,42.9,system,
10000,13.52,1.585,1.188,17.59090909090909,process_tree,6.54,process_tree,1038.55
20000,20.617,6.614,7.371,18.245454545454546,process_tree,6.58,process_tree,1043.66
30000,27.53,21.574,14.882,17.59090909090909,process_tree,6.58,process_tree,1043.39
40000,34.753,37.079,34.032,18.077272727272728,process_tree,6.58,process_tree,1044.08
50000,41.506,32.352,25.319,18.077272727272728,process_tree,6.58,process_tree,1044.02
60000,48.849,40.125,32.94,14.986363636363636,process_tree,6.58,process_tree,1044.36
70000,55.865,51.927,38.327,16.29090909090909,process_tree,6.58,process_tree,1044.91
80000,63.022,66.6,39.448,11.363636363636363,process_tree,6.58,process_tree,1044.13
90000,70.353,70.35,36.205,17.59090909090909,process_tree,6.58,process_tree,1044.53
100000,77.359,76.8,37.491,14.986363636363636,process_tree,6.58,process_tree,1044.84
110000,84.457,92.409,24.005,33.5,process_tree,6.58,process_tree,1044.37
120000,91.741,83.509,30.22,18.87727272727273,process_tree,6.59,process_tree,1045.02
130000,99.207,65.839,40.765,21.313636363636363,process_tree,6.59,process_tree,1045.02
140000,106.456,100.0,0.0,13.563636363636364,process_tree,6.58,process_tree,1044.69
150000,113.727,65.813,38.003,11.727272727272727,process_tree,6.58,process_tree,1044.63
160000,120.958,89.39,21.322,18.077272727272728,process_tree,6.58,process_tree,1044.66
170000,127.666,68.219,37.363,16.94090909090909,process_tree,6.58,process_tree,1044.61
180000,135.144,98.7,4.111,15.909090909090908,process_tree,6.59,process_tree,1045.25
190000,142.273,72.25,39.773,18.245454545454546,process_tree,6.59,process_tree,1045.04
200000,149.477,93.669,21.93,18.245454545454546,process_tree,6.59,process_tree,1045.02
210000,156.614,100.0,0.0,18.245454545454546,process_tree,6.59,process_tree,1045.2
220000,163.96,95.691,13.627,15.909090909090908,process_tree,6.59,process_tree,1045.03
230000,171.217,71.68,41.666,13.55909090909091,process_tree,6.58,process_tree,1044.44
240000,178.563,84.3,35.556,15.495454545454544,process_tree,6.59,process_tree,1045.09
250000,185.466,100.0,0.0,18.077272727272728,process_tree,6.59,process_tree,1045.03
260000,192.397,100.0,0.0,18.245454545454546,process_tree,6.59,process_tree,1045.04
270000,199.512,52.067,44.538,18.077272727272728,process_tree,6.59,process_tree,1045.34
280000,206.515,45.953,46.402,18.245454545454546,process_tree,6.59,process_tree,1045.02
290000,213.289,90.2,29.4,14.331818181818182,process_tree,6.58,process_tree,1044.96
300000,220.402,78.338,39.554,13.031818181818181,process_tree,6.58,process_tree,1044.79
310000,227.321,67.828,36.936,18.245454545454546,process_tree,6.58,process_tree,1044.86
320000,234.17,76.962,38.544,17.295454545454547,process_tree,6.59,process_tree,1045.12
330000,240.959,86.086,34.083,19.38181818181818,process_tree,6.59,process_tree,1045.5
340000,247.922,100.0,0.0,12.913636363636364,process_tree,6.58,process_tree,1044.89
350000,254.691,91.65,26.831,14.986363636363636,process_tree,6.59,process_tree,1044.98
360000,261.478,100.0,0.0,14.968181818181819,process_tree,6.59,process_tree,1045.17
370000,268.169,100.0,0.0,18.081818181818182,process_tree,6.59,process_tree,1045.12
380000,274.925,87.167,29.726,19.39090909090909,process_tree,6.59,process_tree,1045.58
390000,281.76,100.0,0.0,14.22272727272727,process_tree,6.59,process_tree,1045.2
400000,288.781,85.492,34.078,17.586363636363636,process_tree,6.59,process_tree,1045.47
410000,295.514,77.4,41.265,16.263636363636365,process_tree,6.59,process_tree,1045.14
420000,302.435,100.0,0.0,27.35909090909091,process_tree,6.59,process_tree,1045.55
430000,309.353,70.544,43.885,32.57272727272727,process_tree,6.59,process_tree,1045.58
440000,315.745,35.019,44.199,20.663636363636364,process_tree,6.59,process_tree,1046.0
450000,322.589,53.379,46.92,14.336363636363636,process_tree,6.59,process_tree,1046.17
460000,329.402,56.495,45.617,20.845454545454544,process_tree,6.59,process_tree,1045.57
470000,336.381,59.644,43.459,18.077272727272728,process_tree,6.6,process_tree,1046.64
480000,343.372,69.708,41.45,18.245454545454546,process_tree,6.59,process_tree,1046.32
490000,349.487,70.941,45.019,21.472727272727273,process_tree,6.59,process_tree,1045.72
500000,356.612,89.089,30.861,15.636363636363637,process_tree,6.72,process_tree,1066.96
510000,365.369,25.341,42.352,19.36818181818182,process_tree,7.04,process_tree,1117.52
520000,372.818,13.845,33.452,16.927272727272726,process_tree,7.04,process_tree,1117.3
530000,379.463,13.548,33.371,24.531818181818185,process_tree,7.04,process_tree,1117.72
540000,386.45,17.948,37.456,18.245454545454546,process_tree,7.04,process_tree,1117.86
550000,393.656,24.103,40.35,20.813636363636363,process_tree,7.04,process_tree,1117.05
560000,400.551,45.868,49.418,13.681818181818182,process_tree,7.04,process_tree,1117.91
570000,407.316,36.016,47.24,26.063636363636363,process_tree,7.04,process_tree,1117.72
580000,414.168,70.741,45.328,16.786363636363635,process_tree,7.04,process_tree,1117.71
590000,421.22,72.936,44.195,14.331818181818182,process_tree,7.04,process_tree,1117.63
600000,428.285,39.023,44.78,13.681818181818182,process_tree,7.05,process_tree,1118.23
610000,435.075,14.062,27.267,14.97272727272727,process_tree,7.05,process_tree,1118.15
620000,441.81,9.399,26.591,18.245454545454546,process_tree,7.04,process_tree,1117.48
630000,448.752,17.569,37.497,18.077272727272728,process_tree,7.04,process_tree,1117.89
640000,455.433,19.892,35.311,24.59090909090909,process_tree,7.04,process_tree,1117.56
650000,462.454,11.514,28.724,23.886363636363637,process_tree,7.04,process_tree,1117.53
660000,469.435,16.459,36.049,18.245454545454546,process_tree,7.04,process_tree,1117.87
670000,476.281,35.872,45.451,33.209090909090904,process_tree,7.05,process_tree,1118.12
680000,483.012,31.628,45.868,18.077272727272728,process_tree,7.04,process_tree,1117.77
690000,489.695,14.032,33.003,18.245454545454546,process_tree,7.04,process_tree,1117.81
700000,496.72,25.35,42.205,18.245454545454546,process_tree,7.04,process_tree,1117.42
710000,503.811,19.527,36.851,19.05909090909091,process_tree,7.04,process_tree,1117.11
720000,511.053,19.954,37.702,12.913636363636364,process_tree,7.04,process_tree,1117.61
730000,517.522,33.294,46.163,17.59090909090909,process_tree,7.04,process_tree,1117.74
740000,524.332,62.971,44.788,18.245454545454546,process_tree,7.04,process_tree,1117.74
750000,531.228,59.153,46.503,13.031818181818181,process_tree,7.05,process_tree,1118.07
760000,538.58,52.826,49.222,16.786363636363635,process_tree,7.04,process_tree,1117.96
770000,545.348,34.171,46.136,18.245454545454546,process_tree,7.04,process_tree,1117.52
780000,551.795,46.141,49.172,18.245454545454546,process_tree,7.04,process_tree,1117.65
790000,558.781,13.455,27.181,15.640909090909089,process_tree,7.04,process_tree,1117.82
800000,565.883,30.097,44.824,18.077272727272728,process_tree,7.04,process_tree,1117.65
810000,573.196,35.897,47.543,18.245454545454546,process_tree,7.04,process_tree,1117.7
820000,579.966,48.057,49.531,21.950000000000003,process_tree,7.04,process_tree,1117.54
830000,587.021,100.0,0.0,17.59090909090909,process_tree,7.04,process_tree,1117.54
840000,593.429,75.317,42.759,18.077272727272728,process_tree,7.04,process_tree,1117.63
850000,600.236,77.169,41.684,18.245454545454546,process_tree,7.04,process_tree,1117.68
860000,607.299,58.6,47.952,18.077272727272728,process_tree,7.04,process_tree,1117.78
870000,614.165,59.0,49.005,25.063636363636363,process_tree,7.04,process_tree,1117.75
880000,620.849,81.927,38.338,20.849999999999998,process_tree,7.04,process_tree,1117.79
890000,627.72,48.428,48.404,18.245454545454546,process_tree,7.04,process_tree,1117.86
900000,634.659,46.054,48.272,18.245454545454546,process_tree,7.05,process_tree,1118.0
910000,641.585,26.161,43.549,20.013636363636365,process_tree,7.05,process_tree,1118.19
920000,648.23,13.902,32.372,17.59090909090909,process_tree,7.05,process_tree,1118.1
930000,655.582,0.849,5.216,15.909090909090908,process_tree,7.05,process_tree,1118.04
940000,663.565,0.444,0.383,18.236363636363635,process_tree,7.04,process_tree,1117.22
950000,671.687,0.475,0.495,36.46363636363637,process_tree,7.04,process_tree,1117.32
960000,679.533,0.467,0.578,13.031818181818181,process_tree,7.04,process_tree,1117.54
970000,689.489,0.494,0.542,28.55454545454546,process_tree,7.04,process_tree,1117.34
980000,700.505,0.436,0.406,18.077272727272728,process_tree,7.04,process_tree,1117.69
990000,708.845,0.465,0.495,16.922727272727272,process_tree,7.04,process_tree,1117.35
1000000,717.039,0.485,0.528,14.204545454545455,process_tree,7.04,process_tree,1117.09
1010000,725.599,0.593,0.706,13.681818181818182,process_tree,7.04,process_tree,1117.96
1020000,733.396,0.746,0.928,27.354545454545452,process_tree,7.04,process_tree,1117.61
1030000,740.836,0.761,0.892,18.245454545454546,process_tree,7.05,process_tree,1117.97
1040000,748.599,1.055,1.257,19.14090909090909,process_tree,7.04,process_tree,1117.52
1050000,755.939,0.982,1.276,18.245454545454546,process_tree,7.04,process_tree,1117.62
1060000,763.839,1.149,1.424,18.077272727272728,process_tree,7.04,process_tree,1117.8
1070000,771.64,1.303,1.811,21.331818181818182,process_tree,7.04,process_tree,1117.4
1080000,779.011,2.026,3.916,18.077272727272728,process_tree,7.05,process_tree,1118.4
1090000,786.35,2.215,4.635,20.849999999999998,process_tree,7.05,process_tree,1118.04
1100000,793.469,5.458,13.878,18.245454545454546,process_tree,7.04,process_tree,1117.86
1110000,800.47,11.013,23.261,34.527272727272724,process_tree,7.04,process_tree,1117.26
1120000,808.067,8.302,20.034,18.89090909090909,process_tree,7.05,process_tree,1117.96
1130000,814.413,25.203,41.308,18.89090909090909,process_tree,7.04,process_tree,1117.8
1140000,821.332,27.815,40.076,18.077272727272728,process_tree,7.04,process_tree,1117.86
1150000,828.633,19.747,34.578,18.077272727272728,process_tree,6.93,process_tree,1099.8
1160000,835.367,25.954,42.177,26.0,process_tree,6.93,process_tree,1099.57
1170000,842.58,6.381,20.445,12.668181818181818,process_tree,6.93,process_tree,1099.73
1180000,849.091,8.102,24.309,18.077272727272728,process_tree,6.93,process_tree,1099.66
1190000,855.915,11.352,28.604,16.936363636363634,process_tree,6.93,process_tree,1099.58
1200000,863.089,15.646,34.413,15.495454545454544,process_tree,6.93,process_tree,1099.91
1210000,870.156,10.252,26.193,14.336363636363636,process_tree,6.93,process_tree,1099.88
1220000,877.109,12.879,31.632,18.813636363636363,process_tree,6.94,process_tree,1100.68
1230000,883.897,10.51,28.047,24.75909090909091,process_tree,6.93,process_tree,1099.78
1240000,890.765,15.25,33.635,17.59090909090909,process_tree,6.94,process_tree,1100.69
1250000,897.8,16.138,34.808,18.240909090909092,process_tree,6.93,process_tree,1100.25
1260000,904.948,16.012,33.384,12.927272727272726,process_tree,6.93,process_tree,1100.23
1270000,911.414,35.936,47.129,18.245454545454546,process_tree,6.93,process_tree,1100.05
1280000,918.41,75.618,40.222,29.222727272727273,process_tree,6.93,process_tree,1099.87
