step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,43.5,system,
10000,12.083,0.88,0.544,14.904545454545454,process_tree,6.59,process_tree,1046.3
20000,20.046,0.993,0.625,12.27727272727273,process_tree,6.6,process_tree,1047.45
30000,29.2,1.109,0.713,12.681818181818182,process_tree,6.6,process_tree,1047.83
40000,36.86,1.371,0.916,20.15909090909091,process_tree,6.6,process_tree,1047.79
50000,44.415,1.537,0.985,11.718181818181819,process_tree,6.6,process_tree,1048.03
60000,52.276,1.774,1.08,22.12272727272727,process_tree,6.6,process_tree,1047.88
70000,59.439,2.103,1.407,19.53181818181818,process_tree,6.6,process_tree,1047.88
80000,65.871,2.383,1.646,9.240909090909092,process_tree,6.6,process_tree,1048.05
90000,74.635,2.891,1.969,15.6,process_tree,6.61,process_tree,1048.14
100000,80.894,3.395,2.652,22.113636363636363,process_tree,6.61,process_tree,1048.4
110000,87.005,4.609,3.736,13.613636363636363,process_tree,6.61,process_tree,1048.65
120000,95.31,5.862,6.161,7.786363636363637,process_tree,6.61,process_tree,1048.36
130000,102.095,9.178,8.322,20.163636363636364,process_tree,6.61,process_tree,1048.54
140000,108.78,16.315,17.52,15.613636363636363,process_tree,6.61,process_tree,1048.64
150000,116.667,17.369,15.274,18.981818181818184,process_tree,6.61,process_tree,1048.48
160000,122.051,55.5,40.848,10.222727272727273,process_tree,6.49,process_tree,1030.05
170000,128.731,67.193,38.751,16.927272727272726,process_tree,6.49,process_tree,1030.36
180000,136.688,69.314,39.7,15.022727272727273,process_tree,6.5,process_tree,1030.72
190000,142.024,84.582,32.732,12.990909090909089,process_tree,6.5,process_tree,1030.92
200000,148.599,100.0,0.0,9.081818181818182,process_tree,6.5,process_tree,1030.86
210000,156.6,90.991,28.489,5.2,process_tree,6.5,process_tree,1030.98
220000,163.295,100.0,0.0,4.554545454545455,process_tree,6.5,process_tree,1031.34
230000,168.789,100.0,0.0,3.9045454545454548,process_tree,6.5,process_tree,1031.24
240000,176.444,100.0,0.0,11.713636363636367,process_tree,6.5,process_tree,1031.15
250000,182.431,100.0,0.0,17.44545454545454,process_tree,6.5,process_tree,1031.73
260000,188.227,100.0,0.0,5.168181818181818,process_tree,6.5,process_tree,1031.35
