step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,44.4,system,
10000,13.113,1.178,0.698,30.60909090909091,process_tree,6.64,process_tree,1052.98
20000,20.727,1.307,0.791,24.75,process_tree,6.65,process_tree,1054.95
30000,27.007,1.652,1.038,24.70909090909091,process_tree,6.64,process_tree,1054.42
40000,33.0,1.998,1.209,20.19090909090909,process_tree,6.65,process_tree,1055.0
50000,41.326,3.003,2.076,29.80909090909091,process_tree,6.65,process_tree,1055.5
60000,48.33,4.236,3.488,27.895454545454548,process_tree,6.65,process_tree,1055.63
70000,53.636,7.11,6.784,16.87727272727273,process_tree,6.65,process_tree,1055.85
80000,59.639,15.182,14.183,33.1,process_tree,6.66,process_tree,1056.41
90000,64.79,53.892,37.68,16.28181818181818,process_tree,6.66,process_tree,1056.17
100000,72.545,99.86,0.42,40.36818181818182,process_tree,6.66,process_tree,1057.18
110000,77.863,100.0,0.0,32.56363636363636,process_tree,6.66,process_tree,1057.09
120000,84.574,100.0,0.0,51.88181818181818,process_tree,6.67,process_tree,1058.1
130000,90.116,100.0,0.0,25.39090909090909,process_tree,6.66,process_tree,1057.0
140000,96.189,93.49,19.53,16.29090909090909,process_tree,6.66,process_tree,1057.26
150000,103.778,100.0,0.0,22.63181818181818,process_tree,6.67,process_tree,1058.77
160000,109.253,96.59,10.23,29.954545454545453,process_tree,6.66,process_tree,1057.18
170000,115.722,100.0,0.0,30.99545454545455,process_tree,6.67,process_tree,1057.76
180000,122.178,99.167,2.764,28.009090909090904,process_tree,6.66,process_tree,1057.01
190000,128.559,67.107,37.37,29.80909090909091,process_tree,6.66,process_tree,1057.37
200000,134.878,94.8,16.444,26.05454545454545,process_tree,6.67,process_tree,1058.73
210000,140.038,87.675,32.609,33.877272727272725,process_tree,6.67,process_tree,1058.57
220000,145.833,100.0,0.0,16.63181818181818,process_tree,6.67,process_tree,1058.13
230000,152.265,85.893,34.555,23.30454545454546,process_tree,6.66,process_tree,1057.41
240000,158.938,100.0,0.0,36.96818181818182,process_tree,6.66,process_tree,1057.1
250000,164.102,100.0,0.0,21.654545454545453,process_tree,6.67,process_tree,1059.05
260000,170.047,100.0,0.0,17.59090909090909,process_tree,6.67,process_tree,1058.21
270000,175.761,100.0,0.0,43.43181818181818,process_tree,6.67,process_tree,1057.67
280000,181.562,100.0,0.0,18.245454545454546,process_tree,6.67,process_tree,1057.7
