step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,41.5,system,
10000,16.252,0.952,0.639,12.268181818181818,process_tree,6.55,process_tree,1039.26
20000,23.273,1.077,0.658,5.822727272727272,process_tree,6.56,process_tree,1040.69
30000,31.182,1.132,0.672,18.78181818181818,process_tree,6.56,process_tree,1041.77
40000,37.924,1.315,0.796,17.59090909090909,process_tree,6.56,process_tree,1041.25
50000,48.254,1.29,0.778,4.5227272727272725,process_tree,6.56,process_tree,1041.61
60000,58.874,1.427,0.853,11.031818181818181,process_tree,6.56,process_tree,1041.36
70000,66.977,1.537,0.819,18.886363636363637,process_tree,6.56,process_tree,1041.45
80000,74.243,1.742,1.005,10.427272727272728,process_tree,6.56,process_tree,1041.43
90000,82.062,1.949,1.09,4.559090909090909,process_tree,6.56,process_tree,1041.59
100000,89.311,2.154,1.282,15.568181818181818,process_tree,6.56,process_tree,1041.61
110000,96.152,2.137,1.235,18.077272727272728,process_tree,6.57,process_tree,1041.79
120000,103.227,2.241,1.435,4.559090909090909,process_tree,6.56,process_tree,1041.52
130000,110.298,2.25,1.438,12.822727272727274,process_tree,6.56,process_tree,1041.76
140000,116.662,2.649,1.663,23.45909090909091,process_tree,6.56,process_tree,1041.61
150000,123.456,2.703,1.716,4.559090909090909,process_tree,6.57,process_tree,1042.0
160000,130.975,2.99,1.855,16.936363636363634,process_tree,6.57,process_tree,1041.8
170000,137.609,2.978,2.062,18.245454545454546,process_tree,6.57,process_tree,1042.26
180000,144.397,2.88,2.172,5.681818181818182,process_tree,6.57,process_tree,1042.1
190000,151.478,3.348,2.418,18.772727272727273,process_tree,6.44,process_tree,1022.27
200000,157.958,3.772,3.279,10.331818181818182,process_tree,6.44,process_tree,1022.54
210000,164.676,3.949,3.233,8.454545454545455,process_tree,6.44,process_tree,1022.25
220000,171.294,3.623,2.917,17.59090909090909,process_tree,6.44,process_tree,1022.44
230000,177.924,3.939,2.954,16.94090909090909,process_tree,6.44,process_tree,1022.39
240000,184.247,5.11,4.308,14.772727272727273,process_tree,6.45,process_tree,1022.93
250000,190.926,4.485,3.94,12.377272727272727,process_tree,6.44,process_tree,1022.43
260000,197.683,4.458,3.586,18.05909090909091,process_tree,6.44,process_tree,1022.6
270000,204.16,4.442,4.346,14.204545454545455,process_tree,6.45,process_tree,1022.96
280000,210.943,4.996,4.319,26.645454545454548,process_tree,6.45,process_tree,1023.17
290000,217.178,5.585,4.843,16.29090909090909,process_tree,6.45,process_tree,1022.8
300000,223.222,6.012,5.632,18.245454545454546,process_tree,6.45,process_tree,1022.91
310000,229.74,6.261,6.266,19.549999999999997,process_tree,6.45,process_tree,1023.12
320000,235.618,7.331,5.887,13.55909090909091,process_tree,6.45,process_tree,1023.14
330000,241.776,6.209,6.614,30.34545454545454,process_tree,6.45,process_tree,1023.29
340000,248.158,6.006,5.585,13.55909090909091,process_tree,6.45,process_tree,1023.59
350000,254.478,7.091,7.73,18.245454545454546,process_tree,6.45,process_tree,1023.73
360000,262.978,6.082,7.193,15.636363636363637,process_tree,6.45,process_tree,1023.38
370000,269.456,7.157,7.362,18.077272727272728,process_tree,6.45,process_tree,1024.29
380000,275.546,10.828,12.189,26.709090909090904,process_tree,6.45,process_tree,1023.59
390000,282.212,8.049,10.099,26.822727272727267,process_tree,6.45,process_tree,1024.25
400000,288.571,10.683,14.705,17.59090909090909,process_tree,6.46,process_tree,1024.72
410000,294.623,10.49,11.866,16.790909090909093,process_tree,6.46,process_tree,1024.53
420000,300.888,10.071,9.34,27.34090909090909,process_tree,6.46,process_tree,1024.69
430000,307.183,12.424,12.09,18.245454545454546,process_tree,6.46,process_tree,1025.13
440000,313.27,16.488,17.503,18.077272727272728,process_tree,6.46,process_tree,1025.27
