step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,41.1,system,
10000,14.665,2.061,2.03,20.16363636363636,process_tree,6.57,process_tree,1042.3
20000,21.935,5.636,5.276,9.686363636363636,process_tree,6.58,process_tree,1044.91
30000,29.183,20.103,15.687,18.727272727272727,process_tree,6.59,process_tree,1045.2
40000,36.511,40.097,28.547,14.204545454545455,process_tree,6.59,process_tree,1045.07
50000,43.598,100.0,0.0,16.29090909090909,process_tree,6.59,process_tree,1045.34
60000,50.949,87.908,23.186,24.75909090909091,process_tree,6.59,process_tree,1045.36
70000,58.999,43.9,40.267,19.549999999999997,process_tree,6.58,process_tree,1044.68
80000,66.673,33.544,40.89,16.786363636363635,process_tree,6.58,process_tree,1044.95
90000,74.092,37.3,41.807,14.20909090909091,process_tree,6.59,process_tree,1045.16
100000,81.259,81.782,37.972,10.331818181818182,process_tree,6.59,process_tree,1045.38
110000,88.329,57.086,42.99,23.013636363636365,process_tree,6.59,process_tree,1045.34
120000,96.22,89.975,27.343,16.29090909090909,process_tree,6.59,process_tree,1046.01
130000,103.268,70.167,42.433,18.077272727272728,process_tree,6.59,process_tree,1045.09
140000,110.313,84.746,35.774,26.063636363636363,process_tree,6.59,process_tree,1045.7
150000,117.899,52.681,43.729,18.895454545454545,process_tree,6.59,process_tree,1045.5
160000,124.847,26.093,34.73,18.245454545454546,process_tree,6.59,process_tree,1045.04
170000,132.551,100.0,0.0,16.154545454545453,process_tree,6.58,process_tree,1044.07
180000,140.034,30.95,40.709,15.636363636363637,process_tree,6.58,process_tree,1044.86
190000,147.676,18.971,37.743,24.7,process_tree,6.59,process_tree,1045.92
200000,155.41,38.517,48.07,16.94090909090909,process_tree,6.59,process_tree,1045.38
210000,163.055,56.261,48.907,17.431818181818183,process_tree,6.59,process_tree,1045.35
220000,170.515,53.289,49.241,18.736363636363635,process_tree,6.59,process_tree,1045.37
230000,177.754,100.0,0.0,25.995454545454546,process_tree,6.59,process_tree,1045.95
240000,185.062,90.03,29.91,16.14090909090909,process_tree,6.59,process_tree,1045.41
250000,192.029,80.153,39.693,18.245454545454546,process_tree,6.59,process_tree,1045.61
260000,199.073,79.171,39.897,18.895454545454545,process_tree,6.59,process_tree,1045.52
270000,206.526,46.096,46.931,15.636363636363637,process_tree,6.58,process_tree,1044.36
280000,213.948,56.533,48.612,18.245454545454546,process_tree,6.59,process_tree,1046.17
290000,221.908,100.0,0.0,17.509090909090908,process_tree,6.59,process_tree,1046.2
300000,229.407,100.0,0.0,18.895454545454545,process_tree,6.59,process_tree,1046.38
310000,236.361,86.5,33.068,15.909090909090908,process_tree,6.59,process_tree,1045.79
320000,243.571,100.0,0.0,25.41363636363636,process_tree,6.59,process_tree,1045.8
330000,250.847,90.26,29.22,20.677272727272726,process_tree,6.59,process_tree,1045.91
340000,257.996,100.0,0.0,12.381818181818181,process_tree,6.59,process_tree,1045.91
350000,265.41,78.608,36.194,17.595454545454544,process_tree,6.59,process_tree,1046.41
360000,273.324,100.0,0.0,17.572727272727274,process_tree,6.59,process_tree,1045.98
370000,280.848,100.0,0.0,18.245454545454546,process_tree,6.59,process_tree,1045.66
380000,288.284,40.181,47.556,18.245454545454546,process_tree,6.59,process_tree,1045.64
390000,295.636,32.137,44.081,12.913636363636364,process_tree,6.58,process_tree,1044.54
400000,302.654,89.122,30.767,24.10909090909091,process_tree,6.59,process_tree,1046.09
410000,309.657,100.0,0.0,28.60909090909091,process_tree,6.59,process_tree,1046.23
420000,316.859,51.946,43.718,14.331818181818182,process_tree,6.59,process_tree,1046.16
430000,324.251,52.342,47.801,30.513636363636362,process_tree,6.59,process_tree,1046.45
440000,331.769,65.047,47.328,16.94090909090909,process_tree,6.6,process_tree,1047.59
450000,339.198,78.75,40.692,18.895454545454545,process_tree,6.59,process_tree,1045.89
460000,346.628,64.864,47.141,25.995454545454546,process_tree,6.59,process_tree,1046.18
470000,354.658,54.909,49.396,16.94090909090909,process_tree,6.59,process_tree,1046.54
480000,362.054,80.11,39.781,15.495454545454544,process_tree,6.6,process_tree,1046.99
490000,369.369,16.847,36.784,22.118181818181817,process_tree,6.59,process_tree,1046.05
500000,377.052,4.083,18.815,14.336363636363636,process_tree,6.72,process_tree,1065.78
510000,386.744,3.682,17.485,18.245454545454546,process_tree,7.04,process_tree,1117.59
520000,395.187,0.962,4.523,24.08636363636364,process_tree,7.02,process_tree,1114.04
530000,403.209,2.046,3.832,18.245454545454546,process_tree,7.03,process_tree,1115.06
540000,410.928,3.518,6.955,19.38181818181818,process_tree,7.03,process_tree,1115.95
550000,418.865,32.219,45.814,15.636363636363637,process_tree,7.03,process_tree,1116.01
560000,426.684,22.169,41.117,16.786363636363635,process_tree,7.03,process_tree,1115.68
570000,434.114,29.996,43.771,18.886363636363637,process_tree,7.03,process_tree,1116.22
580000,441.333,44.8,49.375,18.245454545454546,process_tree,7.03,process_tree,1116.05
590000,449.217,2.722,11.742,14.20909090909091,process_tree,7.02,process_tree,1114.53
600000,456.687,1.697,2.461,31.10909090909091,process_tree,7.03,process_tree,1116.07
610000,464.355,8.139,24.504,14.336363636363636,process_tree,7.03,process_tree,1115.2
620000,471.959,14.455,33.999,17.431818181818183,process_tree,7.03,process_tree,1115.96
630000,480.076,12.867,32.317,15.636363636363637,process_tree,7.03,process_tree,1115.89
640000,487.807,11.503,29.858,17.436363636363637,process_tree,7.03,process_tree,1116.15
650000,495.6,22.676,41.015,16.799999999999997,process_tree,7.02,process_tree,1114.62
660000,502.899,17.823,37.85,15.909090909090908,process_tree,7.03,process_tree,1116.05
670000,510.483,6.583,23.662,14.986363636363636,process_tree,7.03,process_tree,1115.66
680000,518.154,15.123,34.988,24.10909090909091,process_tree,7.03,process_tree,1115.68
690000,525.962,30.174,44.747,16.786363636363635,process_tree,7.03,process_tree,1116.34
700000,533.623,21.458,40.562,31.15909090909091,process_tree,7.03,process_tree,1115.14
710000,541.063,19.4,38.995,16.94090909090909,process_tree,7.03,process_tree,1115.79
720000,548.302,28.272,44.488,23.94090909090909,process_tree,7.03,process_tree,1115.8
730000,555.829,14.687,34.832,13.681818181818182,process_tree,7.03,process_tree,1115.26
740000,563.033,12.071,31.763,19.545454545454547,process_tree,7.03,process_tree,1115.64
750000,571.051,61.339,48.465,16.145454545454545,process_tree,7.03,process_tree,1116.37
760000,578.608,50.26,49.741,16.94090909090909,process_tree,7.03,process_tree,1116.37
770000,586.296,50.473,49.532,18.077272727272728,process_tree,7.03,process_tree,1115.82
780000,594.254,17.752,37.632,11.636363636363637,process_tree,7.03,process_tree,1115.47
790000,601.704,11.557,31.275,24.10909090909091,process_tree,7.04,process_tree,1116.41
800000,609.16,20.767,40.083,15.909090909090908,process_tree,7.03,process_tree,1115.52
810000,616.941,2.854,10.943,22.154545454545453,process_tree,7.03,process_tree,1116.12
820000,624.869,16.111,36.224,18.245454545454546,process_tree,7.04,process_tree,1116.47
830000,632.322,22.413,41.062,18.895454545454545,process_tree,7.04,process_tree,1116.47
840000,640.232,28.921,44.956,18.245454545454546,process_tree,7.03,process_tree,1116.2
850000,647.835,43.817,49.278,17.431818181818183,process_tree,7.03,process_tree,1115.26
860000,655.217,34.757,47.13,18.077272727272728,process_tree,7.03,process_tree,1115.86
870000,662.308,38.631,47.978,15.909090909090908,process_tree,7.03,process_tree,1116.27
880000,669.547,44.56,49.147,18.240909090909092,process_tree,7.03,process_tree,1115.38
890000,676.878,31.906,45.916,18.077272727272728,process_tree,7.03,process_tree,1116.35
900000,684.323,66.767,46.999,18.245454545454546,process_tree,7.03,process_tree,1115.95
910000,691.948,48.248,49.552,25.41363636363636,process_tree,7.03,process_tree,1114.91
920000,700.118,44.465,46.411,16.94090909090909,process_tree,7.04,process_tree,1116.39
930000,707.679,22.604,41.374,25.245454545454546,process_tree,7.03,process_tree,1115.34
940000,715.132,17.897,37.486,16.145454545454545,process_tree,7.04,process_tree,1116.39
950000,722.213,12.884,32.207,15.909090909090908,process_tree,6.92,process_tree,1098.11
960000,730.042,3.068,12.801,15.636363636363637,process_tree,6.91,process_tree,1095.94
970000,738.024,1.62,4.432,19.536363636363635,process_tree,6.91,process_tree,1096.14
980000,745.619,2.332,8.74,18.245454545454546,process_tree,6.91,process_tree,1097.24
990000,753.776,3.098,13.032,18.245454545454546,process_tree,6.91,process_tree,1096.14
1000000,761.895,2.202,8.491,12.5,process_tree,6.91,process_tree,1096.34
1010000,770.546,11.819,31.363,18.245454545454546,process_tree,6.93,process_tree,1099.35
1020000,778.641,21.256,40.105,14.204545454545455,process_tree,6.93,process_tree,1099.21
1030000,786.055,16.335,35.731,14.85,process_tree,6.93,process_tree,1099.62
1040000,793.726,19.576,39.021,13.681818181818182,process_tree,6.93,process_tree,1099.31
1050000,800.689,22.818,41.589,17.586363636363636,process_tree,6.94,process_tree,1100.82
1060000,808.134,18.998,38.699,12.913636363636364,process_tree,6.94,process_tree,1100.95
1070000,815.559,14.595,34.868,16.786363636363635,process_tree,6.94,process_tree,1101.51
1080000,823.525,8.962,24.69,16.927272727272726,process_tree,6.93,process_tree,1099.15
1090000,831.509,2.406,4.024,28.495454545454546,process_tree,6.94,process_tree,1100.81
1100000,839.283,44.13,49.004,18.895454545454545,process_tree,6.93,process_tree,1098.93
1110000,846.795,26.767,35.187,23.94090909090909,process_tree,6.93,process_tree,1100.19
1120000,854.162,26.039,40.774,18.245454545454546,process_tree,6.93,process_tree,1099.9
1130000,861.49,66.825,46.917,25.995454545454546,process_tree,6.93,process_tree,1100.34
1140000,869.144,59.076,48.914,13.031818181818181,process_tree,6.93,process_tree,1099.02
1150000,876.839,44.388,49.296,16.786363636363635,process_tree,6.93,process_tree,1099.76
1160000,884.536,55.265,49.457,23.45909090909091,process_tree,6.93,process_tree,1100.38
1170000,892.641,77.085,41.838,18.245454545454546,process_tree,6.93,process_tree,1100.46
1180000,900.034,47.033,49.547,15.909090909090908,process_tree,6.93,process_tree,1100.36
1190000,907.646,58.384,48.8,20.681818181818183,process_tree,6.93,process_tree,1099.31
1200000,914.619,56.156,49.023,15.636363636363637,process_tree,6.93,process_tree,1099.69
1210000,921.659,73.54,43.88,20.849999999999998,process_tree,6.94,process_tree,1101.05
1220000,929.171,50.305,49.696,16.772727272727273,process_tree,6.93,process_tree,1099.86
1230000,936.12,70.19,45.536,18.245454545454546,process_tree,6.93,process_tree,1100.47
1240000,943.419,28.169,44.551,18.245454545454546,process_tree,6.93,process_tree,1100.27
1250000,951.292,16.469,35.975,15.636363636363637,process_tree,6.94,process_tree,1101.11
1260000,959.062,27.992,43.848,21.30909090909091,process_tree,6.93,process_tree,1100.19
1270000,966.658,60.907,47.963,20.827272727272728,process_tree,6.94,process_tree,1100.58
1280000,974.091,40.532,48.561,18.077272727272728,process_tree,6.94,process_tree,1100.56
1290000,981.4,41.529,48.925,15.636363636363637,process_tree,6.93,process_tree,1099.7
1300000,988.452,39.368,48.207,25.181818181818183,process_tree,6.94,process_tree,1100.98
1310000,995.887,42.038,48.989,24.818181818181817,process_tree,6.93,process_tree,1100.02
1320000,1003.978,47.943,49.636,19.527272727272727,process_tree,6.93,process_tree,1099.22
1330000,1011.372,69.577,45.635,18.245454545454546,process_tree,6.94,process_tree,1100.56
1340000,1018.772,100.0,0.0,20.849999999999998,process_tree,6.93,process_tree,1100.2
1350000,1026.22,60.385,48.519,18.727272727272727,process_tree,6.93,process_tree,1099.84
1360000,1033.387,63.505,47.784,18.077272727272728,process_tree,6.94,process_tree,1101.11
1370000,1040.748,42.146,48.898,18.727272727272727,process_tree,6.93,process_tree,1099.32
1380000,1048.234,53.547,49.273,17.59090909090909,process_tree,6.93,process_tree,1099.11
1390000,1055.769,32.054,42.54,19.818181818181817,process_tree,6.94,process_tree,1100.85
1400000,1063.703,5.843,14.022,18.081818181818182,process_tree,6.93,process_tree,1100.45
1410000,1071.132,26.614,42.399,18.245454545454546,process_tree,6.94,process_tree,1100.89
1420000,1078.594,12.158,26.879,18.727272727272727,process_tree,6.94,process_tree,1101.15
1430000,1085.929,27.849,42.62,16.786363636363635,process_tree,6.94,process_tree,1101.05
1440000,1093.062,36.667,46.094,23.29090909090909,process_tree,6.94,process_tree,1100.75
1450000,1101.202,27.439,42.861,18.077272727272728,process_tree,6.94,process_tree,1100.94
1460000,1108.614,49.11,48.603,18.245454545454546,process_tree,6.94,process_tree,1100.51
1470000,1116.583,42.279,48.785,17.431818181818183,process_tree,6.93,process_tree,1099.41
1480000,1124.171,41.2,41.295,18.077272727272728,process_tree,6.93,process_tree,1100.35
1490000,1131.965,75.618,32.277,17.445454545454545,process_tree,6.94,process_tree,1100.7
1500000,1139.265,100.0,0.0,16.14090909090909,process_tree,6.93,process_tree,1099.27
1510000,1147.329,95.68,12.96,18.895454545454545,process_tree,6.94,process_tree,1101.92
1520000,1154.569,100.0,0.0,18.88181818181818,process_tree,6.94,process_tree,1100.84
1530000,1161.924,100.0,0.0,24.327272727272728,process_tree,6.94,process_tree,1101.62
1540000,1169.429,91.527,26.793,9.686363636363636,process_tree,6.94,process_tree,1101.71
1550000,1176.886,75.3,42.782,15.495454545454544,process_tree,6.95,process_tree,1102.64
1560000,1184.372,55.177,48.445,18.245454545454546,process_tree,6.95,process_tree,1102.77
1570000,1192.325,84.923,35.359,16.62272727272727,process_tree,6.95,process_tree,1103.09
1580000,1199.993,92.1,26.201,14.986363636363636,process_tree,6.95,process_tree,1103.09
1590000,1207.302,92.538,25.848,24.59090909090909,process_tree,6.94,process_tree,1101.62
1600000,1215.075,100.0,0.0,20.2,process_tree,6.95,process_tree,1102.27
1610000,1222.088,91.1,28.144,21.977272727272727,process_tree,6.95,process_tree,1102.1
1620000,1229.316,87.825,32.212,30.618181818181814,process_tree,6.95,process_tree,1102.34
1630000,1236.8,7.421,19.834,18.245454545454546,process_tree,6.94,process_tree,1101.81
1640000,1244.297,3.973,7.165,21.154545454545453,process_tree,6.94,process_tree,1101.16
1650000,1251.919,24.312,41.478,18.245454545454546,process_tree,6.95,process_tree,1102.48
1660000,1259.866,17.502,32.933,15.636363636363637,process_tree,6.94,process_tree,1101.5
1670000,1267.501,20.507,37.853,18.245454545454546,process_tree,6.95,process_tree,1102.6
1680000,1275.312,33.997,44.605,16.145454545454545,process_tree,6.94,process_tree,1101.66
1690000,1282.553,18.355,33.722,18.077272727272728,process_tree,6.95,process_tree,1102.59
1700000,1289.907,21.789,32.997,14.336363636363636,process_tree,6.95,process_tree,1102.93
1710000,1297.228,21.235,29.609,18.245454545454546,process_tree,6.95,process_tree,1102.32
1720000,1304.844,7.111,16.679,17.431818181818183,process_tree,6.95,process_tree,1103.16
1730000,1311.924,48.248,49.55,18.245454545454546,process_tree,6.94,process_tree,1101.94
1740000,1319.395,36.72,47.479,18.727272727272727,process_tree,6.95,process_tree,1102.35
1750000,1327.532,44.883,45.738,18.245454545454546,process_tree,6.95,process_tree,1102.74
1760000,1335.204,33.787,45.385,18.895454545454545,process_tree,6.95,process_tree,1102.29
1770000,1342.7,73.373,43.499,15.909090909090908,process_tree,6.95,process_tree,1102.75
1780000,1350.659,43.896,49.208,13.681818181818182,process_tree,6.95,process_tree,1102.95
1790000,1357.686,75.492,42.455,16.786363636363635,process_tree,6.94,process_tree,1101.81
1800000,1365.301,67.12,46.507,15.636363636363637,process_tree,6.95,process_tree,1102.92
