step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,41.3,system,
10000,11.177,1.059,0.657,19.37272727272727,process_tree,6.61,process_tree,1049.68
20000,17.418,1.38,0.886,16.286363636363635,process_tree,6.62,process_tree,1050.92
30000,23.454,1.758,1.004,21.486363636363635,process_tree,6.62,process_tree,1050.93
40000,29.524,2.462,1.496,18.886363636363633,process_tree,6.62,process_tree,1051.23
50000,35.101,3.525,2.797,18.84090909090909,process_tree,6.63,process_tree,1052.49
60000,41.625,5.569,5.169,30.44545454545454,process_tree,6.63,process_tree,1052.22
70000,47.162,11.185,9.462,18.245454545454546,process_tree,6.64,process_tree,1053.34
80000,52.773,26.445,25.477,18.736363636363635,process_tree,6.64,process_tree,1053.21
90000,58.215,42.476,34.703,25.35,process_tree,6.65,process_tree,1054.96
100000,63.76,29.954,27.338,33.095454545454544,process_tree,6.66,process_tree,1056.46
110000,69.121,46.476,33.583,13.677272727272726,process_tree,6.64,process_tree,1053.94
120000,74.555,64.692,36.65,36.01363636363636,process_tree,6.64,process_tree,1053.34
130000,80.397,86.721,26.179,15.495454545454544,process_tree,6.64,process_tree,1053.5
140000,86.85,30.4,25.862,16.277272727272727,process_tree,6.64,process_tree,1054.44
150000,93.607,32.2,21.888,29.85,process_tree,6.64,process_tree,1054.28
160000,100.311,21.142,14.079,31.263636363636362,process_tree,6.64,process_tree,1053.84
170000,106.871,58.669,36.397,27.368181818181814,process_tree,6.66,process_tree,1056.1
180000,112.447,65.828,36.878,18.245454545454546,process_tree,6.66,process_tree,1056.14
190000,119.675,29.125,24.564,33.59090909090909,process_tree,6.64,process_tree,1053.43
200000,126.279,77.25,37.715,23.94090909090909,process_tree,6.66,process_tree,1056.51
210000,133.658,68.971,38.245,27.2,process_tree,6.66,process_tree,1057.15
220000,139.799,100.0,0.0,24.095454545454547,process_tree,6.64,process_tree,1054.36
230000,145.584,79.977,34.346,18.245454545454546,process_tree,6.66,process_tree,1056.23
240000,152.988,100.0,0.0,23.94090909090909,process_tree,6.65,process_tree,1055.64
250000,159.883,49.473,37.967,15.636363636363637,process_tree,6.65,process_tree,1055.0
260000,166.961,45.905,32.329,24.713636363636365,process_tree,6.66,process_tree,1057.5
270000,173.371,76.75,35.236,37.154545454545456,process_tree,6.66,process_tree,1056.42
280000,179.876,92.022,22.565,32.554545454545455,process_tree,6.66,process_tree,1056.5
290000,185.254,86.329,26.747,18.245454545454546,process_tree,6.66,process_tree,1056.5
300000,191.458,100.0,0.0,41.481818181818184,process_tree,6.66,process_tree,1056.5
310000,198.521,100.0,0.0,29.818181818181817,process_tree,6.66,process_tree,1056.12
320000,205.761,85.433,30.438,46.66818181818182,process_tree,6.66,process_tree,1056.58
330000,212.801,100.0,0.0,22.15,process_tree,6.65,process_tree,1056.0
340000,219.758,89.742,22.942,42.13636363636363,process_tree,6.65,process_tree,1055.94
350000,225.756,100.0,0.0,18.245454545454546,process_tree,6.64,process_tree,1053.94
360000,231.69,100.0,0.0,23.427272727272726,process_tree,6.65,process_tree,1055.95
370000,237.759,91.7,21.96,32.46818181818182,process_tree,6.64,process_tree,1054.25
380000,244.926,56.514,31.872,24.74090909090909,process_tree,6.66,process_tree,1057.37
390000,251.801,47.038,28.855,23.45,process_tree,6.66,process_tree,1057.65
400000,256.895,70.55,29.253,17.59090909090909,process_tree,6.67,process_tree,1057.74
410000,263.887,100.0,0.0,27.927272727272726,process_tree,6.65,process_tree,1056.0
420000,270.988,72.767,29.772,23.12272727272727,process_tree,6.65,process_tree,1055.46
430000,278.155,27.942,11.533,22.14090909090909,process_tree,6.65,process_tree,1055.25
440000,285.297,29.777,11.2,24.09090909090909,process_tree,6.66,process_tree,1057.52
450000,291.304,33.95,14.057,27.363636363636363,process_tree,6.67,process_tree,1057.99
460000,296.563,27.446,12.997,20.849999999999998,process_tree,6.65,process_tree,1055.64
470000,303.224,23.903,10.504,36.336363636363636,process_tree,6.65,process_tree,1055.16
480000,310.631,39.303,13.459,30.613636363636363,process_tree,6.66,process_tree,1057.41
490000,316.744,52.058,15.159,23.44090909090909,process_tree,6.65,process_tree,1055.62
500000,323.673,48.286,25.589,14.336363636363636,process_tree,6.73,process_tree,1067.22
510000,331.348,40.305,9.972,19.38181818181818,process_tree,7.09,process_tree,1125.15
520000,336.983,50.471,18.747,25.031818181818185,process_tree,7.09,process_tree,1125.42
530000,343.481,67.333,22.896,20.69090909090909,process_tree,7.09,process_tree,1125.02
540000,349.196,94.046,15.752,26.704545454545453,process_tree,7.09,process_tree,1124.77
550000,354.923,88.391,24.838,39.736363636363635,process_tree,7.09,process_tree,1124.77
560000,359.889,100.0,0.0,18.245454545454546,process_tree,7.1,process_tree,1126.8
570000,366.657,100.0,0.0,38.690909090909095,process_tree,7.1,process_tree,1126.93
580000,373.56,100.0,0.0,27.781818181818185,process_tree,7.1,process_tree,1126.8
590000,379.234,94.52,16.44,19.38181818181818,process_tree,7.1,process_tree,1126.96
600000,385.749,100.0,0.0,29.313636363636363,process_tree,6.99,process_tree,1108.75
610000,392.324,91.742,27.39,31.268181818181816,process_tree,6.99,process_tree,1108.72
620000,396.648,100.0,0.0,17.431818181818183,process_tree,6.98,process_tree,1107.4
630000,403.361,100.0,0.0,35.67727272727273,process_tree,6.98,process_tree,1107.39
640000,410.799,95.164,10.746,30.377272727272725,process_tree,6.98,process_tree,1107.45
650000,417.108,70.175,33.392,22.400000000000002,process_tree,7.0,process_tree,1110.54
660000,423.595,95.367,15.367,26.568181818181817,process_tree,6.99,process_tree,1109.39
670000,428.349,95.589,12.477,18.245454545454546,process_tree,7.0,process_tree,1110.05
680000,434.898,100.0,0.0,20.677272727272726,process_tree,6.99,process_tree,1109.95
690000,441.2,100.0,0.0,38.42727272727273,process_tree,6.99,process_tree,1110.0
700000,447.462,100.0,0.0,27.94090909090909,process_tree,6.99,process_tree,1110.0
710000,453.054,100.0,0.0,14.245454545454544,process_tree,6.99,process_tree,1109.27
720000,459.638,100.0,0.0,34.36363636363637,process_tree,6.99,process_tree,1109.27
