step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,45.7,system,
10000,11.423,1.23,0.722,35.67727272727273,process_tree,6.61,process_tree,1049.63
20000,16.04,1.168,0.678,27.34090909090909,process_tree,6.77,process_tree,1074.77
30000,20.459,1.186,0.745,22.62272727272727,process_tree,6.91,process_tree,1096.18
40000,25.189,1.16,0.759,16.790909090909093,process_tree,7.06,process_tree,1119.87
50000,29.619,1.132,0.674,31.818181818181817,process_tree,7.2,process_tree,1142.15
60000,34.117,1.115,0.654,24.072727272727274,process_tree,7.32,process_tree,1161.64
70000,38.908,1.14,0.706,24.08636363636364,process_tree,7.45,process_tree,1183.0
80000,43.408,1.127,0.752,26.063636363636363,process_tree,7.62,process_tree,1208.8
90000,47.886,1.203,0.729,15.495454545454544,process_tree,7.77,process_tree,1232.43
100000,52.726,1.175,0.718,19.96818181818182,process_tree,7.87,process_tree,1248.27
110000,57.446,1.203,0.738,21.486363636363635,process_tree,8.01,process_tree,1271.71
120000,62.328,1.18,0.673,24.09545454545454,process_tree,8.16,process_tree,1294.78
130000,67.548,1.205,0.784,27.3,process_tree,8.29,process_tree,1315.12
140000,72.096,1.124,0.675,19.37272727272727,process_tree,8.4,process_tree,1333.75
150000,76.553,1.162,0.745,25.995454545454546,process_tree,8.54,process_tree,1355.73
160000,81.013,1.161,0.698,29.84090909090909,process_tree,8.68,process_tree,1376.88
170000,85.924,1.181,0.792,26.654545454545453,process_tree,8.82,process_tree,1399.07
180000,90.335,1.205,0.761,20.03181818181818,process_tree,8.95,process_tree,1420.25
190000,94.824,1.126,0.699,30.613636363636363,process_tree,9.09,process_tree,1442.44
200000,184.203,1.172,0.682,23.240909090909092,process_tree,7.59,process_tree,1204.53
210000,188.476,1.489,0.93,16.922727272727272,process_tree,7.44,process_tree,1179.86
220000,192.78,1.429,0.894,30.077272727272728,process_tree,7.42,process_tree,1178.05
230000,197.335,1.435,0.903,20.03181818181818,process_tree,7.38,process_tree,1171.2
240000,201.721,1.407,0.911,15.636363636363637,process_tree,7.3,process_tree,1158.43
250000,206.263,1.485,0.979,23.313636363636363,process_tree,7.35,process_tree,1166.32
260000,210.546,1.405,0.877,16.91363636363636,process_tree,7.42,process_tree,1178.05
270000,215.183,1.383,0.87,22.59090909090909,process_tree,7.46,process_tree,1183.59
280000,219.547,1.419,0.972,26.00454545454545,process_tree,7.61,process_tree,1208.19
290000,223.903,1.41,0.866,30.618181818181814,process_tree,7.74,process_tree,1227.46
300000,228.588,1.445,0.947,27.13181818181818,process_tree,7.89,process_tree,1252.6
310000,232.979,1.343,0.809,20.672727272727272,process_tree,8.05,process_tree,1277.25
320000,237.345,1.489,0.98,42.25909090909091,process_tree,8.16,process_tree,1294.36
330000,241.71,1.38,0.879,15.636363636363637,process_tree,8.18,process_tree,1298.75
340000,246.47,1.489,0.98,31.25909090909091,process_tree,8.33,process_tree,1321.56
350000,250.8,1.435,0.852,28.568181818181817,process_tree,8.46,process_tree,1342.3
