step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,47.9,system,
10000,13.204,1.205,0.695,13.663636363636364,process_tree,6.55,process_tree,1039.71
20000,18.846,1.21,0.702,6.472727272727273,process_tree,6.56,process_tree,1041.35
30000,24.412,1.381,0.812,16.29090909090909,process_tree,6.57,process_tree,1042.31
40000,30.426,1.73,1.095,20.918181818181818,process_tree,6.56,process_tree,1041.33
50000,35.842,1.851,1.192,25.827272727272728,process_tree,6.57,process_tree,1042.14
60000,41.384,2.284,1.526,18.077272727272728,process_tree,6.57,process_tree,1042.11
70000,47.287,2.593,1.83,15.631818181818181,process_tree,6.57,process_tree,1041.96
80000,52.787,3.586,2.639,29.186363636363634,process_tree,6.44,process_tree,1022.44
90000,58.203,4.404,3.735,17.59090909090909,process_tree,6.44,process_tree,1022.73
100000,63.573,4.397,3.608,15.909090909090908,process_tree,6.45,process_tree,1023.21
110000,69.363,5.832,4.514,28.66363636363636,process_tree,6.45,process_tree,1023.32
120000,74.753,5.962,5.316,23.313636363636363,process_tree,6.45,process_tree,1023.59
130000,80.28,6.598,5.008,11.068181818181818,process_tree,6.45,process_tree,1024.09
140000,85.517,12.264,12.059,18.077272727272728,process_tree,6.46,process_tree,1024.62
150000,90.845,13.876,13.389,18.077272727272728,process_tree,6.46,process_tree,1024.98
160000,96.648,18.516,18.313,35.82727272727272,process_tree,6.46,process_tree,1025.16
170000,102.009,23.81,23.257,18.804545454545455,process_tree,6.46,process_tree,1025.36
180000,107.522,26.188,26.118,19.536363636363635,process_tree,6.47,process_tree,1026.01
190000,112.895,22.856,27.679,18.236363636363635,process_tree,6.46,process_tree,1025.79
200000,118.143,12.264,9.558,18.077272727272728,process_tree,6.46,process_tree,1025.86
210000,124.348,12.065,8.141,15.509090909090908,process_tree,6.46,process_tree,1025.66
220000,130.121,11.151,7.086,38.904545454545456,process_tree,6.47,process_tree,1026.12
230000,136.027,15.75,12.108,30.604545454545452,process_tree,6.46,process_tree,1025.87
240000,141.298,31.141,31.792,17.59090909090909,process_tree,6.47,process_tree,1026.16
250000,146.796,42.389,33.811,15.340909090909092,process_tree,6.47,process_tree,1026.68
260000,152.061,54.4,40.383,15.909090909090908,process_tree,6.47,process_tree,1026.86
270000,157.18,40.181,23.71,18.245454545454546,process_tree,6.47,process_tree,1027.04
280000,162.44,40.695,36.863,18.245454545454546,process_tree,6.47,process_tree,1026.92
290000,168.335,34.553,34.119,27.568181818181817,process_tree,6.47,process_tree,1026.25
300000,173.498,18.225,15.235,45.3590909090909,process_tree,6.47,process_tree,1026.13
310000,178.693,17.089,11.378,24.09545454545454,process_tree,6.47,process_tree,1026.76
320000,184.098,18.311,10.055,24.536363636363635,process_tree,6.47,process_tree,1027.03
330000,189.307,19.748,7.084,16.55909090909091,process_tree,6.48,process_tree,1027.65
340000,194.985,16.67,7.402,16.036363636363635,process_tree,6.47,process_tree,1026.95
350000,200.438,17.759,6.88,18.077272727272728,process_tree,6.47,process_tree,1026.81
360000,206.735,16.584,7.511,34.50909090909091,process_tree,6.47,process_tree,1026.44
370000,212.301,22.069,6.308,28.645454545454548,process_tree,6.48,process_tree,1027.57
380000,217.605,19.31,9.838,29.313636363636363,process_tree,6.47,process_tree,1026.72
390000,222.839,15.487,7.74,20.172727272727272,process_tree,6.47,process_tree,1026.78
400000,228.123,16.172,7.882,19.53181818181818,process_tree,6.47,process_tree,1026.38
410000,233.416,14.48,7.138,30.504545454545454,process_tree,6.47,process_tree,1027.11
420000,238.806,17.209,5.071,19.45909090909091,process_tree,6.47,process_tree,1027.32
430000,244.1,17.304,4.886,20.65909090909091,process_tree,6.47,process_tree,1026.85
440000,249.86,14.027,4.456,46.24545454545455,process_tree,6.47,process_tree,1027.25
450000,254.964,16.929,5.178,22.154545454545453,process_tree,6.47,process_tree,1027.17
460000,260.2,17.315,5.165,27.345454545454547,process_tree,6.47,process_tree,1026.57
470000,265.897,13.931,4.765,13.681818181818182,process_tree,6.47,process_tree,1027.05
480000,271.451,12.927,5.684,14.986363636363636,process_tree,6.47,process_tree,1026.43
490000,277.156,12.661,5.07,18.245454545454546,process_tree,6.47,process_tree,1027.13
500000,283.192,14.471,5.239,3.2590909090909093,process_tree,6.59,process_tree,1045.21
510000,290.397,14.862,6.24,29.85909090909091,process_tree,6.91,process_tree,1096.98
520000,295.554,14.062,4.43,30.504545454545454,process_tree,6.91,process_tree,1096.65
530000,300.924,14.238,5.712,17.59090909090909,process_tree,6.91,process_tree,1097.14
540000,306.336,16.619,5.316,15.909090909090908,process_tree,6.91,process_tree,1097.06
550000,312.416,14.118,4.515,17.577272727272728,process_tree,6.91,process_tree,1096.59
560000,318.377,12.747,4.636,31.781818181818185,process_tree,6.92,process_tree,1097.68
570000,323.627,10.257,3.963,20.727272727272727,process_tree,6.91,process_tree,1096.95
580000,329.264,9.534,3.334,29.172727272727272,process_tree,6.92,process_tree,1097.62
590000,334.672,9.61,3.204,16.14090909090909,process_tree,6.92,process_tree,1097.43
600000,339.985,9.326,2.497,18.245454545454546,process_tree,6.91,process_tree,1097.14
610000,345.879,9.009,3.166,41.581818181818186,process_tree,6.92,process_tree,1097.51
620000,351.273,9.737,3.051,28.66363636363636,process_tree,6.92,process_tree,1098.3
630000,356.54,10.34,4.037,18.245454545454546,process_tree,6.91,process_tree,1097.11
640000,361.922,11.438,5.776,18.245454545454546,process_tree,6.92,process_tree,1097.93
650000,367.324,13.635,6.257,20.2,process_tree,6.92,process_tree,1097.76
660000,373.096,14.768,6.48,32.945454545454545,process_tree,6.92,process_tree,1097.5
670000,378.526,17.109,6.466,26.05454545454545,process_tree,6.92,process_tree,1097.61
680000,383.994,24.018,8.358,24.704545454545453,process_tree,6.92,process_tree,1098.29
690000,389.424,25.328,8.655,18.245454545454546,process_tree,6.92,process_tree,1097.52
700000,394.838,42.562,16.935,41.34090909090909,process_tree,6.91,process_tree,1097.12
710000,400.82,80.493,37.27,20.65909090909091,process_tree,6.92,process_tree,1098.23
720000,406.098,71.758,32.85,18.245454545454546,process_tree,6.92,process_tree,1097.77
730000,411.322,100.0,0.0,24.745454545454546,process_tree,6.92,process_tree,1097.96
740000,416.748,100.0,0.0,18.245454545454546,process_tree,6.92,process_tree,1098.03
750000,421.95,88.089,29.436,15.495454545454544,process_tree,6.92,process_tree,1098.1
760000,427.647,83.655,34.775,24.1,process_tree,6.92,process_tree,1097.98
770000,433.896,72.627,42.194,15.909090909090908,process_tree,6.92,process_tree,1098.27
780000,439.214,58.6,46.965,18.077272727272728,process_tree,6.92,process_tree,1097.93
790000,444.685,64.8,36.896,18.077272727272728,process_tree,6.92,process_tree,1098.1
800000,450.451,67.767,45.598,29.959090909090904,process_tree,6.92,process_tree,1097.78
810000,455.666,77.183,39.63,24.05,process_tree,6.92,process_tree,1098.25
820000,461.098,67.592,45.833,23.263636363636365,process_tree,6.92,process_tree,1097.98
830000,466.258,74.147,42.88,16.804545454545455,process_tree,6.92,process_tree,1098.16
840000,471.631,76.383,40.97,46.43636363636364,process_tree,6.92,process_tree,1097.65
850000,477.065,66.313,43.884,21.49090909090909,process_tree,6.92,process_tree,1097.61
860000,482.971,84.617,34.416,16.94090909090909,process_tree,6.92,process_tree,1098.15
870000,488.408,51.987,46.252,16.94090909090909,process_tree,6.92,process_tree,1097.91
880000,494.018,87.988,31.782,16.790909090909093,process_tree,6.92,process_tree,1098.02
890000,499.7,67.72,45.657,16.29090909090909,process_tree,6.92,process_tree,1097.67
900000,504.959,73.236,42.334,12.268181818181818,process_tree,6.92,process_tree,1097.94
910000,510.42,84.333,35.053,18.245454545454546,process_tree,6.92,process_tree,1097.91
920000,516.208,63.841,44.25,21.954545454545453,process_tree,6.92,process_tree,1097.78
930000,521.447,84.436,33.228,33.777272727272724,process_tree,6.92,process_tree,1097.71
940000,526.798,66.787,40.817,27.272727272727273,process_tree,6.92,process_tree,1098.03
950000,532.027,54.206,43.638,29.954545454545453,process_tree,6.92,process_tree,1097.73
960000,537.788,76.242,41.235,16.936363636363634,process_tree,6.92,process_tree,1097.95
970000,543.171,64.179,46.921,14.986363636363636,process_tree,6.92,process_tree,1098.29
980000,548.768,47.89,46.241,37.67272727272727,process_tree,6.92,process_tree,1097.56
990000,554.71,65.314,46.574,18.077272727272728,process_tree,6.92,process_tree,1098.51
1000000,560.021,57.863,47.827,4.559090909090909,process_tree,6.92,process_tree,1097.84
1010000,566.256,61.347,47.362,18.077272727272728,process_tree,6.94,process_tree,1101.93
1020000,572.038,72.743,43.154,37.6,process_tree,6.95,process_tree,1102.66
1030000,577.133,60.172,44.246,28.586363636363636,process_tree,6.95,process_tree,1102.16
1040000,582.587,57.333,37.692,21.318181818181817,process_tree,6.94,process_tree,1101.79
