step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,45.1,system,
10000,11.753,1.16,0.682,23.722727272727273,process_tree,6.62,process_tree,1050.29
20000,16.342,1.088,0.694,27.95,process_tree,6.77,process_tree,1073.74
30000,20.678,1.164,0.699,30.613636363636363,process_tree,6.91,process_tree,1097.18
40000,25.331,1.096,0.664,26.049999999999997,process_tree,7.05,process_tree,1118.25
50000,29.677,1.177,0.716,18.86818181818182,process_tree,7.19,process_tree,1141.39
60000,34.05,1.147,0.687,32.57272727272727,process_tree,7.32,process_tree,1161.48
70000,38.759,1.177,0.747,38.25,process_tree,7.48,process_tree,1186.27
80000,43.119,1.136,0.673,21.331818181818182,process_tree,7.61,process_tree,1207.23
90000,47.472,1.168,0.692,19.549999999999997,process_tree,7.74,process_tree,1228.96
100000,52.245,1.142,0.688,22.772727272727273,process_tree,7.9,process_tree,1253.96
110000,56.634,1.114,0.706,31.922727272727272,process_tree,8.06,process_tree,1278.77
120000,61.001,1.12,0.671,29.313636363636363,process_tree,8.16,process_tree,1294.77
130000,65.811,1.139,0.696,26.704545454545453,process_tree,8.28,process_tree,1314.06
140000,70.229,1.102,0.697,31.781818181818185,process_tree,8.41,process_tree,1335.02
150000,74.576,1.158,0.699,21.486363636363635,process_tree,8.55,process_tree,1356.21
160000,79.02,1.075,0.63,24.049999999999997,process_tree,8.69,process_tree,1378.27
170000,83.902,1.149,0.651,33.75454545454545,process_tree,8.82,process_tree,1399.8
180000,88.276,1.196,0.774,34.56818181818182,process_tree,8.96,process_tree,1421.66
190000,92.649,1.164,0.679,18.886363636363637,process_tree,9.09,process_tree,1442.9
200000,97.334,1.117,0.678,23.75,process_tree,9.23,process_tree,1465.0
210000,101.762,1.138,0.714,20.349999999999998,process_tree,9.37,process_tree,1486.51
220000,106.168,1.125,0.654,33.06818181818182,process_tree,9.5,process_tree,1507.76
230000,111.132,1.181,0.709,32.554545454545455,process_tree,9.64,process_tree,1530.34
240000,115.513,1.139,0.683,28.59545454545454,process_tree,9.78,process_tree,1551.83
250000,119.952,1.111,0.643,29.722727272727273,process_tree,9.92,process_tree,1573.97
260000,124.317,1.151,0.74,14.863636363636363,process_tree,10.05,process_tree,1594.89
270000,128.778,1.178,0.669,14.336363636363636,process_tree,10.19,process_tree,1617.39
280000,133.158,1.13,0.677,15.504545454545456,process_tree,10.32,process_tree,1637.95
290000,138.268,1.123,0.621,21.454545454545453,process_tree,10.47,process_tree,1661.05
300000,142.648,1.166,0.733,24.7,process_tree,10.61,process_tree,1682.91
310000,147.001,1.166,0.705,35.16818181818182,process_tree,10.74,process_tree,1704.09
320000,151.428,1.112,0.685,20.172727272727272,process_tree,10.88,process_tree,1726.37
330000,155.809,1.103,0.666,30.6,process_tree,11.01,process_tree,1747.94
340000,160.151,1.176,0.778,18.88181818181818,process_tree,11.15,process_tree,1769.44
350000,164.543,1.093,0.638,24.609090909090913,process_tree,11.28,process_tree,1790.57
360000,168.95,1.118,0.659,30.613636363636363,process_tree,11.42,process_tree,1812.97
370000,175.665,1.111,0.672,33.71818181818182,process_tree,11.44,process_tree,1815.78
380000,182.421,1.15,0.707,31.636363636363637,process_tree,11.58,process_tree,1837.82
390000,189.381,1.097,0.674,29.88181818181818,process_tree,11.72,process_tree,1859.73
400000,196.246,1.137,0.682,34.377272727272725,process_tree,11.85,process_tree,1881.0
410000,203.22,1.159,0.744,19.481818181818184,process_tree,11.99,process_tree,1903.08
420000,210.128,1.207,0.759,29.313636363636363,process_tree,12.13,process_tree,1925.44
430000,383.823,1.153,0.732,31.65,process_tree,7.84,process_tree,1244.85
440000,388.141,1.264,0.793,31.16818181818182,process_tree,7.54,process_tree,1196.02
450000,392.446,1.265,0.829,38.10909090909091,process_tree,7.47,process_tree,1185.46
460000,396.788,1.254,0.682,29.227272727272727,process_tree,7.47,process_tree,1185.16
470000,401.307,1.342,0.794,27.13181818181818,process_tree,7.49,process_tree,1189.04
480000,405.61,1.283,0.798,38.93181818181818,process_tree,7.55,process_tree,1197.41
490000,410.165,1.287,0.767,39.57727272727273,process_tree,7.61,process_tree,1207.52
500000,414.473,1.267,0.74,13.031818181818181,process_tree,7.69,process_tree,1220.3
510000,420.736,1.275,0.736,25.35,process_tree,8.03,process_tree,1274.55
520000,425.029,1.393,0.929,22.013636363636362,process_tree,8.25,process_tree,1308.94
530000,429.716,1.28,0.835,37.622727272727275,process_tree,8.47,process_tree,1344.84
540000,434.048,1.332,0.892,29.95,process_tree,8.61,process_tree,1366.44
550000,438.375,1.28,0.825,20.099999999999998,process_tree,8.74,process_tree,1386.98
560000,442.726,1.307,0.769,25.354545454545452,process_tree,8.61,process_tree,1366.64
570000,447.489,1.253,0.806,26.863636363636363,process_tree,8.75,process_tree,1388.35
580000,451.806,1.346,0.851,19.536363636363635,process_tree,8.89,process_tree,1410.05
590000,456.145,1.318,0.803,15.640909090909089,process_tree,9.02,process_tree,1431.39
600000,460.461,1.322,0.837,29.96363636363636,process_tree,9.16,process_tree,1453.42
610000,464.795,1.345,0.852,31.127272727272725,process_tree,9.29,process_tree,1474.45
620000,469.662,1.225,0.756,29.268181818181816,process_tree,9.43,process_tree,1496.7
630000,474.009,1.325,0.83,22.75,process_tree,9.57,process_tree,1518.62
640000,478.368,1.271,0.8,39.595454545454544,process_tree,9.71,process_tree,1540.2
650000,482.753,1.227,0.785,28.672727272727272,process_tree,9.84,process_tree,1561.27
660000,487.064,1.372,0.877,25.84090909090909,process_tree,9.97,process_tree,1581.83
670000,491.391,1.292,0.81,31.79090909090909,process_tree,10.11,process_tree,1604.26
680000,496.281,1.354,0.823,29.200000000000003,process_tree,10.25,process_tree,1626.09
690000,500.58,1.379,0.856,54.722727272727276,process_tree,10.38,process_tree,1646.57
700000,504.907,1.371,0.849,29.25454545454545,process_tree,10.52,process_tree,1669.34
710000,509.234,1.345,0.851,29.200000000000003,process_tree,10.66,process_tree,1690.98
720000,513.537,1.333,0.847,12.286363636363637,process_tree,10.79,process_tree,1711.84
730000,517.938,1.339,0.76,22.60909090909091,process_tree,10.93,process_tree,1734.08
740000,522.272,1.308,0.839,31.813636363636363,process_tree,11.06,process_tree,1755.53
750000,527.253,1.319,0.813,16.28181818181818,process_tree,11.2,process_tree,1777.03
760000,531.541,1.325,0.883,33.71363636363637,process_tree,11.33,process_tree,1798.08
770000,535.999,1.326,0.805,26.69545454545454,process_tree,11.47,process_tree,1820.9
780000,540.372,1.331,0.829,19.53181818181818,process_tree,11.61,process_tree,1842.29
790000,544.698,1.32,0.863,25.84090909090909,process_tree,11.75,process_tree,1864.05
800000,549.058,1.278,0.733,19.381818181818183,process_tree,11.88,process_tree,1884.93
810000,553.446,1.246,0.779,12.931818181818182,process_tree,12.02,process_tree,1906.99
820000,557.799,1.258,0.717,24.731818181818184,process_tree,12.15,process_tree,1928.71
830000,562.123,1.269,0.773,20.822727272727274,process_tree,12.29,process_tree,1950.36
840000,568.628,1.291,0.786,20.181818181818183,process_tree,12.42,process_tree,1971.64
850000,575.4,1.373,0.918,33.11818181818182,process_tree,12.56,process_tree,1992.82
860000,748.008,1.304,0.809,28.65909090909091,process_tree,8.93,process_tree,1417.57
870000,752.195,2.035,1.56,24.036363636363635,process_tree,8.59,process_tree,1362.4
880000,756.339,1.958,1.414,24.104545454545452,process_tree,8.54,process_tree,1355.88
890000,760.492,1.894,1.26,20.681818181818183,process_tree,8.53,process_tree,1353.81
900000,764.626,2.115,1.397,30.463636363636365,process_tree,8.55,process_tree,1356.56
910000,768.799,1.957,1.281,22.131818181818183,process_tree,8.55,process_tree,1357.02
920000,772.933,2.097,1.573,31.64090909090909,process_tree,8.59,process_tree,1362.49
930000,777.127,2.012,1.371,26.863636363636363,process_tree,8.67,process_tree,1376.5
940000,781.604,2.025,1.379,24.704545454545453,process_tree,8.72,process_tree,1383.0
950000,785.733,2.235,1.561,26.654545454545453,process_tree,8.79,process_tree,1394.52
960000,789.825,2.127,1.44,35.127272727272725,process_tree,8.92,process_tree,1415.73
970000,793.947,2.115,1.406,20.681818181818183,process_tree,8.93,process_tree,1417.39
980000,798.425,1.984,1.379,32.56363636363636,process_tree,9.08,process_tree,1441.36
990000,802.607,2.013,1.433,16.790909090909093,process_tree,8.65,process_tree,1371.88
1000000,806.81,2.0,1.387,14.204545454545455,process_tree,8.78,process_tree,1393.02
1010000,812.241,2.137,1.557,17.554545454545455,process_tree,8.96,process_tree,1421.17
1020000,816.437,1.912,1.357,28.422727272727272,process_tree,9.07,process_tree,1439.27
1030000,820.586,2.033,1.424,28.018181818181816,process_tree,9.2,process_tree,1459.84
1040000,824.722,2.036,1.557,31.80909090909091,process_tree,9.33,process_tree,1480.46
1050000,828.845,2.008,1.493,28.60909090909091,process_tree,9.47,process_tree,1501.99
1060000,833.49,2.035,1.419,27.354545454545452,process_tree,9.59,process_tree,1522.56
1070000,837.705,1.9,1.364,32.554545454545455,process_tree,9.74,process_tree,1545.11
1080000,841.889,2.137,1.425,32.440909090909095,process_tree,9.87,process_tree,1566.36
1090000,846.021,2.005,1.491,18.84090909090909,process_tree,10.01,process_tree,1588.39
1100000,850.288,2.079,1.548,23.963636363636365,process_tree,10.14,process_tree,1609.48
1110000,854.471,2.142,1.524,33.981818181818184,process_tree,10.28,process_tree,1630.98
1120000,859.243,2.076,1.478,42.86818181818182,process_tree,10.42,process_tree,1653.11
1130000,863.433,2.01,1.434,21.327272727272728,process_tree,10.55,process_tree,1674.83
1140000,867.601,2.024,1.403,23.395454545454548,process_tree,10.69,process_tree,1695.72
1150000,871.785,2.109,1.474,26.586363636363636,process_tree,10.82,process_tree,1716.83
1160000,875.956,1.882,1.455,22.786363636363635,process_tree,10.96,process_tree,1738.63
1170000,880.115,2.043,1.423,24.08636363636364,process_tree,11.09,process_tree,1760.0
1180000,884.297,2.061,1.556,28.65909090909091,process_tree,11.22,process_tree,1780.37
1190000,890.219,2.109,1.584,28.604545454545452,process_tree,11.36,process_tree,1802.48
1200000,896.839,2.107,1.367,19.536363636363635,process_tree,11.49,process_tree,1823.77
1210000,903.448,1.939,1.378,28.65909090909091,process_tree,11.63,process_tree,1844.81
1220000,909.931,1.954,1.377,24.09545454545454,process_tree,11.76,process_tree,1865.41
1230000,916.634,1.951,1.343,24.75454545454545,process_tree,11.9,process_tree,1888.09
1240000,923.223,1.952,1.395,33.09090909090909,process_tree,12.03,process_tree,1909.27
1250000,929.922,2.076,1.519,22.795454545454543,process_tree,12.17,process_tree,1930.89
1260000,936.365,2.053,1.65,22.64090909090909,process_tree,12.3,process_tree,1952.29
1270000,942.888,2.042,1.559,31.181818181818183,process_tree,12.44,process_tree,1973.86
1280000,948.259,1.963,1.36,35.82272727272727,process_tree,12.58,process_tree,1995.55
1290000,1117.209,2.252,1.522,39.06818181818182,process_tree,9.24,process_tree,1466.1
1300000,1121.177,4.283,3.519,31.245454545454546,process_tree,8.88,process_tree,1409.01
1310000,1125.155,4.002,3.119,28.527272727272724,process_tree,8.81,process_tree,1398.32
1320000,1129.079,4.044,3.683,18.227272727272727,process_tree,8.83,process_tree,1401.05
1330000,1133.114,3.831,3.679,25.91818181818182,process_tree,8.87,process_tree,1407.37
1340000,1137.064,4.056,3.624,23.259090909090908,process_tree,8.91,process_tree,1413.73
1350000,1141.012,4.035,3.37,31.922727272727272,process_tree,8.99,process_tree,1426.14
1360000,1144.999,3.808,3.608,38.27272727272727,process_tree,9.04,process_tree,1435.31
1370000,1148.881,4.417,4.11,25.395454545454548,process_tree,9.1,process_tree,1444.57
1380000,1153.16,4.161,3.886,18.75,process_tree,9.17,process_tree,1455.21
1390000,1157.113,4.013,3.843,29.836363636363636,process_tree,9.29,process_tree,1474.53
1400000,1161.114,3.651,3.125,36.34090909090909,process_tree,9.45,process_tree,1499.16
1410000,1165.464,4.432,3.984,29.959090909090904,process_tree,9.46,process_tree,1501.13
1420000,1169.368,3.916,3.584,20.713636363636365,process_tree,9.01,process_tree,1429.59
1430000,1173.308,4.497,3.872,20.168181818181818,process_tree,9.05,process_tree,1435.37
1440000,1177.301,3.819,3.057,28.0,process_tree,9.08,process_tree,1440.51
1450000,1181.718,4.141,3.688,18.213636363636365,process_tree,9.12,process_tree,1447.64
1460000,1185.701,3.814,3.381,16.28181818181818,process_tree,9.21,process_tree,1461.05
1470000,1189.655,4.156,4.169,30.454545454545453,process_tree,9.35,process_tree,1483.21
1480000,1193.574,4.01,3.399,29.713636363636365,process_tree,9.48,process_tree,1504.32
1490000,1198.079,3.873,3.124,39.08181818181818,process_tree,9.62,process_tree,1526.32
1500000,1202.03,4.271,4.042,14.854545454545455,process_tree,9.75,process_tree,1547.72
1510000,1206.833,3.583,2.886,24.55909090909091,process_tree,9.93,process_tree,1575.72
1520000,1210.851,4.048,3.632,33.71363636363637,process_tree,10.05,process_tree,1595.07
1530000,1214.787,4.435,3.901,22.650000000000002,process_tree,10.18,process_tree,1615.99
1540000,1219.351,4.007,3.289,20.181818181818183,process_tree,10.31,process_tree,1636.1
1550000,1223.346,3.946,3.895,18.209090909090907,process_tree,10.44,process_tree,1656.9
1560000,1227.266,4.543,4.131,24.69545454545454,process_tree,10.58,process_tree,1678.21
1570000,1231.267,4.012,3.374,29.636363636363637,process_tree,10.71,process_tree,1699.03
1580000,1235.231,3.903,3.19,23.75909090909091,process_tree,10.84,process_tree,1720.73
1590000,1239.162,4.556,4.313,34.96363636363637,process_tree,10.98,process_tree,1742.43
1600000,1243.121,4.156,3.872,32.56363636363636,process_tree,11.11,process_tree,1763.37
1610000,1247.823,4.447,3.916,31.904545454545453,process_tree,11.25,process_tree,1785.67
1620000,1251.729,4.027,3.458,30.5,process_tree,11.38,process_tree,1806.43
1630000,1255.716,3.843,3.72,31.263636363636362,process_tree,11.51,process_tree,1825.97
1640000,1259.72,4.001,3.893,24.745454545454546,process_tree,11.63,process_tree,1845.92
1650000,1263.659,4.658,4.196,24.622727272727275,process_tree,11.76,process_tree,1865.65
1660000,1267.609,3.905,3.324,26.568181818181817,process_tree,11.89,process_tree,1886.94
