step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,46.2,system,
10000,11.794,1.196,0.744,22.022727272727273,process_tree,6.59,process_tree,1046.2
20000,16.299,1.107,0.671,22.65909090909091,process_tree,6.74,process_tree,1069.57
30000,20.619,1.174,0.726,19.38181818181818,process_tree,6.88,process_tree,1092.14
40000,25.204,1.21,0.755,27.936363636363637,process_tree,7.01,process_tree,1113.16
50000,29.586,1.141,0.758,15.509090909090908,process_tree,7.16,process_tree,1135.66
60000,33.922,1.208,0.753,30.481818181818177,process_tree,7.28,process_tree,1155.69
70000,38.581,1.226,0.766,22.10909090909091,process_tree,7.45,process_tree,1181.8
80000,42.956,1.221,0.714,19.53181818181818,process_tree,7.58,process_tree,1203.42
90000,47.331,1.169,0.711,20.195454545454545,process_tree,7.71,process_tree,1224.05
100000,52.138,1.178,0.735,20.03181818181818,process_tree,7.86,process_tree,1247.19
110000,56.476,1.195,0.702,27.236363636363638,process_tree,8.01,process_tree,1270.6
120000,60.853,1.229,0.742,35.03181818181818,process_tree,8.11,process_tree,1287.09
130000,65.661,1.193,0.731,24.704545454545453,process_tree,8.25,process_tree,1309.2
140000,70.133,1.216,0.755,16.154545454545453,process_tree,8.38,process_tree,1329.19
150000,74.564,1.135,0.703,22.804545454545455,process_tree,8.51,process_tree,1350.81
160000,79.359,1.101,0.719,16.70909090909091,process_tree,8.65,process_tree,1372.68
170000,84.642,1.157,0.68,28.65909090909091,process_tree,8.79,process_tree,1394.21
180000,89.419,1.22,0.81,35.66363636363636,process_tree,8.92,process_tree,1416.15
190000,94.072,1.246,0.78,16.28181818181818,process_tree,9.06,process_tree,1437.67
200000,98.485,1.146,0.655,32.60454545454545,process_tree,9.2,process_tree,1459.22
210000,102.846,1.166,0.677,31.136363636363637,process_tree,9.33,process_tree,1480.95
220000,107.175,1.168,0.681,40.23181818181818,process_tree,9.46,process_tree,1501.79
230000,112.385,1.126,0.696,25.186363636363637,process_tree,9.61,process_tree,1524.3
240000,117.083,1.176,0.712,31.822727272727267,process_tree,9.74,process_tree,1545.67
250000,215.042,1.177,0.692,25.24090909090909,process_tree,7.61,process_tree,1206.95
260000,221.662,1.342,0.817,22.086363636363636,process_tree,7.43,process_tree,1178.45
270000,228.436,1.287,0.829,21.96818181818182,process_tree,7.38,process_tree,1170.63
280000,235.046,1.347,0.855,21.336363636363636,process_tree,7.47,process_tree,1185.69
290000,241.305,1.318,0.849,33.695454545454545,process_tree,7.52,process_tree,1193.77
300000,245.572,1.369,0.812,28.654545454545453,process_tree,7.6,process_tree,1205.71
310000,249.822,1.335,0.872,24.75454545454545,process_tree,7.66,process_tree,1215.39
320000,254.361,1.387,0.825,19.813636363636363,process_tree,7.76,process_tree,1231.31
330000,258.634,1.381,0.881,34.41363636363636,process_tree,7.91,process_tree,1255.12
340000,263.248,1.338,0.782,22.599999999999998,process_tree,8.05,process_tree,1277.68
350000,267.562,1.345,0.843,22.66363636363636,process_tree,8.19,process_tree,1299.63
360000,271.833,1.298,0.824,22.077272727272728,process_tree,8.29,process_tree,1316.29
370000,276.113,1.357,0.848,28.65909090909091,process_tree,8.42,process_tree,1336.86
380000,280.736,1.408,0.912,33.26363636363636,process_tree,8.32,process_tree,1319.62
390000,285.038,1.337,0.855,32.41363636363636,process_tree,8.45,process_tree,1340.79
400000,289.291,1.39,0.88,21.37727272727273,process_tree,8.59,process_tree,1362.68
410000,293.624,1.325,0.805,24.55,process_tree,8.73,process_tree,1384.66
420000,298.343,1.371,0.86,23.95909090909091,process_tree,8.86,process_tree,1406.27
430000,302.679,1.334,0.886,31.10909090909091,process_tree,9.0,process_tree,1428.39
440000,306.974,1.379,0.841,40.268181818181816,process_tree,9.14,process_tree,1450.07
450000,311.264,1.387,0.932,36.47272727272727,process_tree,9.27,process_tree,1471.32
460000,315.583,1.343,0.944,25.336363636363636,process_tree,9.41,process_tree,1493.15
470000,320.417,1.255,0.808,32.449999999999996,process_tree,9.53,process_tree,1512.71
480000,324.794,1.294,0.829,25.995454545454546,process_tree,9.66,process_tree,1533.36
490000,329.13,1.378,0.88,28.427272727272726,process_tree,9.8,process_tree,1555.59
500000,425.299,1.649,1.2,14.204545454545455,process_tree,7.71,process_tree,1223.87
510000,431.041,2.186,1.572,30.513636363636362,process_tree,7.8,process_tree,1237.12
520000,435.81,2.018,1.423,40.39545454545455,process_tree,7.86,process_tree,1247.2
530000,439.912,2.107,1.46,21.44090909090909,process_tree,7.91,process_tree,1255.66
540000,444.366,2.008,1.319,18.87727272727273,process_tree,7.96,process_tree,1263.5
550000,448.44,2.249,1.585,28.41818181818182,process_tree,8.0,process_tree,1269.77
560000,452.56,2.012,1.287,17.45,process_tree,8.1,process_tree,1284.95
570000,457.005,2.079,1.348,25.190909090909088,process_tree,8.13,process_tree,1289.98
580000,461.103,2.293,1.601,28.65,process_tree,8.2,process_tree,1300.9
590000,465.241,2.376,1.64,37.78636363636363,process_tree,8.34,process_tree,1323.12
600000,469.735,2.156,1.732,22.795454545454547,process_tree,8.46,process_tree,1343.21
610000,473.899,2.114,1.351,34.518181818181816,process_tree,8.6,process_tree,1364.27
620000,478.072,2.18,1.566,28.013636363636362,process_tree,8.7,process_tree,1380.58
630000,482.663,2.125,1.519,36.97727272727273,process_tree,8.75,process_tree,1388.7
640000,486.772,2.118,1.501,38.91818181818182,process_tree,8.89,process_tree,1410.67
650000,490.905,2.146,1.447,20.19545454545454,process_tree,9.03,process_tree,1432.35
660000,495.069,2.052,1.482,30.604545454545452,process_tree,9.16,process_tree,1453.13
670000,499.247,2.061,1.416,21.313636363636366,process_tree,9.29,process_tree,1474.98
680000,503.839,2.165,1.566,42.21363636363637,process_tree,9.43,process_tree,1496.37
690000,508.02,2.113,1.47,31.922727272727272,process_tree,9.57,process_tree,1518.01
700000,512.203,2.114,1.6,29.868181818181814,process_tree,9.7,process_tree,1538.75
710000,516.377,2.102,1.562,27.13181818181818,process_tree,9.84,process_tree,1561.11
720000,520.683,1.979,1.332,28.645454545454548,process_tree,9.97,process_tree,1582.57
730000,525.775,2.025,1.33,28.018181818181816,process_tree,10.11,process_tree,1604.39
740000,530.292,2.123,1.597,21.45909090909091,process_tree,10.25,process_tree,1625.82
750000,626.533,3.169,2.926,33.86818181818182,process_tree,8.52,process_tree,1352.11
760000,630.427,4.193,3.445,20.095454545454544,process_tree,8.43,process_tree,1337.42
770000,634.333,4.738,4.025,16.263636363636365,process_tree,8.45,process_tree,1341.57
780000,638.225,4.214,3.91,31.113636363636363,process_tree,8.47,process_tree,1344.78
790000,642.158,4.656,3.943,20.186363636363634,process_tree,8.58,process_tree,1361.85
800000,646.333,4.57,3.973,33.73636363636364,process_tree,8.68,process_tree,1377.97
810000,650.201,4.779,3.77,19.0,process_tree,8.75,process_tree,1388.18
820000,654.463,4.213,4.193,27.904545454545453,process_tree,8.81,process_tree,1397.39
830000,658.356,4.34,3.915,17.45,process_tree,8.88,process_tree,1409.24
840000,662.31,4.306,3.421,27.2,process_tree,8.97,process_tree,1424.22
850000,666.623,4.402,3.937,29.713636363636365,process_tree,9.02,process_tree,1431.59
860000,670.551,4.181,3.75,29.84090909090909,process_tree,9.04,process_tree,1434.57
870000,674.469,3.864,3.928,21.45909090909091,process_tree,9.04,process_tree,1435.32
880000,678.406,4.585,4.523,27.313636363636363,process_tree,8.79,process_tree,1394.29
890000,682.768,4.767,3.983,26.69545454545454,process_tree,8.92,process_tree,1415.83
900000,686.657,4.619,3.782,25.968181818181815,process_tree,9.05,process_tree,1436.9
910000,690.566,4.793,4.69,34.04545454545455,process_tree,9.19,process_tree,1458.49
920000,694.472,4.442,3.639,21.495454545454546,process_tree,9.33,process_tree,1479.98
930000,698.36,4.489,3.76,19.400000000000002,process_tree,9.47,process_tree,1502.04
940000,702.743,4.723,4.595,22.14090909090909,process_tree,9.6,process_tree,1522.79
950000,706.708,4.698,3.81,21.44090909090909,process_tree,9.74,process_tree,1545.39
960000,710.593,4.417,4.045,17.572727272727274,process_tree,9.87,process_tree,1566.32
