step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,42.2,system,
10000,13.256,1.498,0.939,27.19545454545454,process_tree,6.53,process_tree,1036.6
20000,19.802,3.852,3.799,28.94090909090909,process_tree,6.55,process_tree,1039.03
30000,28.321,9.316,8.974,18.89090909090909,process_tree,6.55,process_tree,1039.31
40000,37.19,22.493,17.371,20.69090909090909,process_tree,6.55,process_tree,1039.54
50000,46.292,97.95,6.15,16.29090909090909,process_tree,6.55,process_tree,1039.66
60000,55.657,70.187,43.168,30.604545454545452,process_tree,6.55,process_tree,1039.56
70000,63.637,100.0,0.0,33.059090909090905,process_tree,6.55,process_tree,1039.62
80000,70.154,97.575,6.416,24.75909090909091,process_tree,6.55,process_tree,1039.52
90000,76.721,67.206,39.736,13.55909090909091,process_tree,6.55,process_tree,1039.64
100000,83.068,54.959,36.923,22.804545454545455,process_tree,6.55,process_tree,1039.43
110000,89.445,91.717,27.473,18.245454545454546,process_tree,6.55,process_tree,1039.76
120000,96.131,100.0,0.0,17.509090909090908,process_tree,6.55,process_tree,1039.56
130000,102.445,60.42,45.785,18.077272727272728,process_tree,6.55,process_tree,1039.77
140000,109.016,100.0,0.0,26.55,process_tree,6.55,process_tree,1039.53
150000,115.462,66.989,46.685,22.377272727272725,process_tree,6.55,process_tree,1039.52
160000,122.007,81.982,38.222,16.29090909090909,process_tree,6.55,process_tree,1039.7
170000,128.366,83.492,36.914,19.522727272727273,process_tree,6.55,process_tree,1039.54
180000,134.686,100.0,0.0,25.245454545454546,process_tree,6.55,process_tree,1039.83
190000,141.227,100.0,0.0,20.181818181818183,process_tree,6.55,process_tree,1039.86
200000,147.646,100.0,0.0,20.186363636363634,process_tree,6.55,process_tree,1039.83
210000,153.859,92.369,26.434,27.931818181818183,process_tree,6.55,process_tree,1039.86
220000,160.506,90.02,29.94,16.286363636363635,process_tree,6.55,process_tree,1040.05
230000,166.889,100.0,0.0,16.55909090909091,process_tree,6.55,process_tree,1039.89
240000,173.418,73.567,43.835,42.78181818181818,process_tree,6.55,process_tree,1039.91
250000,179.797,75.275,42.825,18.89090909090909,process_tree,6.42,process_tree,1019.27
260000,186.486,75.158,43.027,16.936363636363634,process_tree,6.42,process_tree,1019.41
270000,192.786,80.127,39.747,23.45909090909091,process_tree,6.42,process_tree,1019.28
280000,199.24,100.0,0.0,31.8,process_tree,6.42,process_tree,1019.32
290000,205.742,100.0,0.0,18.236363636363635,process_tree,6.42,process_tree,1019.48
300000,212.227,63.4,47.921,15.636363636363637,process_tree,6.42,process_tree,1019.35
310000,218.597,100.0,0.0,18.727272727272727,process_tree,6.42,process_tree,1019.27
320000,225.106,100.0,0.0,19.522727272727273,process_tree,6.42,process_tree,1019.48
330000,231.42,100.0,0.0,33.88181818181818,process_tree,6.42,process_tree,1019.31
340000,237.919,100.0,0.0,29.868181818181814,process_tree,6.42,process_tree,1019.31
350000,244.508,100.0,0.0,20.2,process_tree,6.42,process_tree,1019.5
