step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,45.0,system,
10000,11.22,1.17,0.768,22.763636363636362,process_tree,6.62,process_tree,1050.77
20000,15.614,1.151,0.693,5.859090909090909,process_tree,6.77,process_tree,1074.4
30000,19.846,1.128,0.687,13.031818181818181,process_tree,6.91,process_tree,1096.92
40000,24.395,1.159,0.748,7.140909090909091,process_tree,7.05,process_tree,1118.56
50000,28.686,1.114,0.724,10.94090909090909,process_tree,7.19,process_tree,1140.81
60000,32.94,1.199,0.746,7.781818181818182,process_tree,7.34,process_tree,1164.55
70000,37.433,1.139,0.667,22.759090909090908,process_tree,7.47,process_tree,1185.5
80000,41.765,1.144,0.661,23.245454545454546,process_tree,7.6,process_tree,1206.81
90000,46.178,1.133,0.719,4.559090909090909,process_tree,7.75,process_tree,1229.55
100000,50.946,1.112,0.677,15.613636363636363,process_tree,7.89,process_tree,1252.68
110000,55.247,1.184,0.756,20.068181818181817,process_tree,8.04,process_tree,1275.62
120000,59.61,1.119,0.678,24.218181818181815,process_tree,8.14,process_tree,1292.46
130000,64.597,1.152,0.694,4.7,process_tree,8.27,process_tree,1312.56
140000,68.894,1.17,0.682,12.995454545454544,process_tree,8.41,process_tree,1334.19
150000,73.194,1.113,0.638,14.313636363636363,process_tree,8.54,process_tree,1355.67
160000,77.566,1.133,0.679,7.781818181818181,process_tree,8.69,process_tree,1378.47
170000,82.589,1.087,0.706,21.33636363636364,process_tree,8.82,process_tree,1399.1
180000,86.88,1.062,0.693,12.95909090909091,process_tree,8.96,process_tree,1421.27
190000,91.357,1.176,0.727,6.5,process_tree,9.09,process_tree,1442.31
200000,96.158,1.16,0.724,9.763636363636364,process_tree,9.23,process_tree,1464.62
210000,100.994,1.154,0.713,29.3,process_tree,9.37,process_tree,1486.38
220000,105.853,1.136,0.702,18.20909090909091,process_tree,9.5,process_tree,1508.27
230000,111.504,1.141,0.692,9.75,process_tree,9.64,process_tree,1529.27
240000,116.385,1.181,0.734,11.7,process_tree,9.77,process_tree,1551.12
250000,121.284,1.089,0.633,20.054545454545455,process_tree,9.92,process_tree,1573.46
260000,125.829,1.135,0.722,4.554545454545455,process_tree,10.05,process_tree,1594.89
270000,130.181,1.141,0.702,22.763636363636362,process_tree,10.19,process_tree,1616.66
280000,134.522,1.111,0.703,9.163636363636364,process_tree,10.33,process_tree,1639.05
290000,139.749,1.142,0.698,11.027272727272727,process_tree,10.46,process_tree,1660.29
300000,144.449,1.201,0.76,17.586363636363636,process_tree,10.6,process_tree,1681.73
310000,149.131,1.129,0.72,13.65,process_tree,10.73,process_tree,1702.46
320000,153.408,1.146,0.698,9.104545454545455,process_tree,10.87,process_tree,1725.44
330000,157.689,1.161,0.67,14.713636363636363,process_tree,11.01,process_tree,1746.78
340000,161.957,1.091,0.763,5.8500000000000005,process_tree,11.14,process_tree,1768.58
350000,166.213,1.163,0.743,23.422727272727272,process_tree,11.28,process_tree,1789.53
360000,288.085,1.141,0.725,10.977272727272727,process_tree,7.85,process_tree,1245.5
370000,292.446,1.238,0.766,17.554545454545455,process_tree,7.6,process_tree,1206.31
380000,296.638,1.279,0.802,15.568181818181818,process_tree,7.52,process_tree,1193.58
390000,301.057,1.173,0.759,18.2,process_tree,7.52,process_tree,1192.62
400000,305.271,1.208,0.75,26.022727272727273,process_tree,7.57,process_tree,1200.6
410000,309.672,1.273,0.791,14.263636363636364,process_tree,7.6,process_tree,1205.38
420000,313.934,1.275,0.858,20.80909090909091,process_tree,7.65,process_tree,1213.3
430000,318.387,1.294,0.799,9.090909090909092,process_tree,7.7,process_tree,1221.51
440000,322.613,1.231,0.822,15.568181818181818,process_tree,7.77,process_tree,1233.5
450000,326.895,1.27,0.804,20.799999999999997,process_tree,7.97,process_tree,1265.06
460000,331.463,1.233,0.808,20.818181818181817,process_tree,8.17,process_tree,1295.98
470000,335.702,1.223,0.788,13.659090909090908,process_tree,8.3,process_tree,1316.76
480000,339.979,1.264,0.833,13.663636363636364,process_tree,8.17,process_tree,1296.57
490000,344.223,1.307,0.869,13.654545454545454,process_tree,8.31,process_tree,1317.99
500000,348.93,1.263,0.813,4.559090909090909,process_tree,8.6,process_tree,1364.0
510000,354.828,1.248,0.734,5.854545454545454,process_tree,9.02,process_tree,1430.84
520000,359.151,1.164,0.729,16.29090909090909,process_tree,9.13,process_tree,1448.64
530000,363.91,1.278,0.767,12.381818181818181,process_tree,9.26,process_tree,1469.62
540000,368.183,1.158,0.733,13.640909090909092,process_tree,9.39,process_tree,1490.76
