step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,42.5,system,
10000,13.71,1.222,0.699,17.59090909090909,process_tree,6.57,process_tree,1043.04
20000,20.131,1.986,1.226,17.595454545454544,process_tree,6.59,process_tree,1045.06
30000,26.583,3.373,2.554,27.41818181818182,process_tree,6.61,process_tree,1049.29
40000,32.981,7.692,8.053,15.636363636363637,process_tree,6.62,process_tree,1050.14
50000,39.177,54.685,31.956,18.722727272727273,process_tree,6.62,process_tree,1051.04
60000,44.995,83.3,27.672,16.28181818181818,process_tree,6.62,process_tree,1049.78
70000,50.609,43.312,34.463,22.804545454545455,process_tree,6.62,process_tree,1051.06
80000,56.413,69.74,30.007,16.94090909090909,process_tree,6.62,process_tree,1050.32
90000,62.175,51.374,36.089,29.7,process_tree,6.62,process_tree,1050.94
100000,67.918,82.408,30.858,18.227272727272727,process_tree,6.62,process_tree,1050.91
110000,73.577,51.47,43.787,18.245454545454546,process_tree,6.62,process_tree,1050.99
120000,79.604,47.838,47.579,14.20909090909091,process_tree,6.63,process_tree,1051.81
130000,85.056,47.216,34.163,18.099999999999998,process_tree,6.63,process_tree,1051.46
140000,90.974,33.779,24.8,15.340909090909092,process_tree,6.62,process_tree,1050.79
150000,96.827,61.171,42.507,14.98181818181818,process_tree,6.62,process_tree,1050.55
160000,102.562,27.891,32.066,22.799999999999997,process_tree,6.62,process_tree,1050.72
170000,108.018,58.711,39.93,16.29090909090909,process_tree,6.62,process_tree,1050.82
180000,113.619,71.765,39.458,16.277272727272727,process_tree,6.62,process_tree,1050.53
190000,119.389,65.164,36.596,18.077272727272728,process_tree,6.63,process_tree,1051.56
200000,125.446,67.733,34.635,18.245454545454546,process_tree,6.62,process_tree,1051.16
210000,130.959,32.372,20.249,15.909090909090908,process_tree,6.63,process_tree,1052.66
220000,136.411,67.825,32.118,24.59090909090909,process_tree,6.63,process_tree,1051.61
230000,142.752,87.19,24.646,18.245454545454546,process_tree,6.62,process_tree,1051.28
240000,148.41,95.0,15.811,17.59090909090909,process_tree,6.62,process_tree,1051.28
250000,154.496,100.0,0.0,12.372727272727273,process_tree,6.63,process_tree,1051.4
260000,160.668,63.772,41.064,18.245454545454546,process_tree,6.63,process_tree,1052.12
270000,166.095,62.7,41.789,14.85,process_tree,6.63,process_tree,1051.93
280000,171.591,86.043,34.191,31.10909090909091,process_tree,6.62,process_tree,1051.09
290000,177.655,83.745,34.493,17.59090909090909,process_tree,6.62,process_tree,1050.93
300000,183.034,92.825,23.797,17.59090909090909,process_tree,6.63,process_tree,1051.54
310000,189.141,85.09,30.6,18.077272727272728,process_tree,6.63,process_tree,1051.54
320000,194.474,92.589,18.335,15.909090909090908,process_tree,6.63,process_tree,1051.39
330000,200.391,98.683,4.367,37.60909090909092,process_tree,6.62,process_tree,1050.39
340000,205.859,52.336,34.015,13.57272727272727,process_tree,6.63,process_tree,1051.56
350000,211.575,77.686,26.351,16.286363636363635,process_tree,6.63,process_tree,1051.86
360000,217.674,49.35,34.554,25.204545454545453,process_tree,6.63,process_tree,1051.52
370000,223.327,97.66,7.02,18.240909090909092,process_tree,6.63,process_tree,1051.36
380000,228.673,81.079,36.837,18.245454545454546,process_tree,6.63,process_tree,1051.92
390000,234.984,59.645,37.255,33.43181818181818,process_tree,6.63,process_tree,1052.2
400000,240.627,72.657,43.246,18.245454545454546,process_tree,6.63,process_tree,1052.26
410000,246.104,91.8,27.196,18.077272727272728,process_tree,6.62,process_tree,1051.06
420000,251.902,77.87,37.696,24.595454545454547,process_tree,6.63,process_tree,1051.61
430000,257.563,100.0,0.0,12.268181818181818,process_tree,6.62,process_tree,1049.98
440000,263.573,100.0,0.0,20.186363636363634,process_tree,6.63,process_tree,1051.37
450000,269.215,90.108,26.046,15.495454545454544,process_tree,6.5,process_tree,1032.11
460000,274.72,87.95,31.881,18.077272727272728,process_tree,6.5,process_tree,1032.23
470000,280.612,54.164,42.957,14.336363636363636,process_tree,6.5,process_tree,1031.34
480000,286.028,69.559,39.113,18.077272727272728,process_tree,6.5,process_tree,1031.8
490000,291.697,100.0,0.0,24.10909090909091,process_tree,6.5,process_tree,1031.82
500000,297.778,89.742,26.036,12.381818181818181,process_tree,6.63,process_tree,1052.8
510000,305.061,84.845,32.824,18.077272727272728,process_tree,6.95,process_tree,1103.31
520000,311.281,100.0,0.0,13.677272727272726,process_tree,6.95,process_tree,1103.32
530000,317.477,100.0,0.0,15.495454545454544,process_tree,6.95,process_tree,1103.23
540000,323.291,100.0,0.0,17.59090909090909,process_tree,6.95,process_tree,1103.24
550000,329.555,94.308,18.877,20.677272727272726,process_tree,6.95,process_tree,1102.23
560000,335.454,85.069,35.019,18.245454545454546,process_tree,6.95,process_tree,1102.38
570000,341.657,100.0,0.0,29.963636363636365,process_tree,6.95,process_tree,1102.95
580000,347.065,100.0,0.0,14.32272727272727,process_tree,6.95,process_tree,1103.17
590000,353.169,72.474,37.429,15.495454545454544,process_tree,6.96,process_tree,1103.83
600000,359.35,100.0,0.0,18.077272727272728,process_tree,6.95,process_tree,1103.32
610000,364.856,92.3,20.919,16.14090909090909,process_tree,6.94,process_tree,1101.7
620000,370.954,74.754,41.162,18.645454545454545,process_tree,6.95,process_tree,1103.3
630000,376.856,90.67,27.99,17.59090909090909,process_tree,6.95,process_tree,1102.58
640000,383.056,83.675,36.504,19.38181818181818,process_tree,6.95,process_tree,1103.47
650000,388.98,76.947,39.836,18.645454545454545,process_tree,6.95,process_tree,1103.33
660000,395.159,67.771,39.684,18.077272727272728,process_tree,6.95,process_tree,1103.47
670000,401.423,77.292,41.459,17.431818181818183,process_tree,6.95,process_tree,1102.44
680000,407.145,100.0,0.0,16.154545454545453,process_tree,6.95,process_tree,1103.32
690000,413.32,88.011,29.257,33.45909090909091,process_tree,6.95,process_tree,1103.57
700000,418.942,84.52,30.034,18.245454545454546,process_tree,6.96,process_tree,1103.88
710000,424.453,88.786,18.672,30.627272727272725,process_tree,6.95,process_tree,1103.01
720000,430.741,89.773,27.956,12.668181818181818,process_tree,6.96,process_tree,1103.7
730000,436.457,100.0,0.0,18.895454545454545,process_tree,6.96,process_tree,1103.7
740000,442.649,100.0,0.0,25.25909090909091,process_tree,6.96,process_tree,1103.76
750000,448.917,100.0,0.0,26.063636363636363,process_tree,6.95,process_tree,1103.27
760000,454.853,91.036,28.346,18.077272727272728,process_tree,6.95,process_tree,1103.58
770000,460.688,100.0,0.0,18.895454545454545,process_tree,6.95,process_tree,1103.22
