step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,48.3,system,
10000,11.803,1.175,0.753,25.35909090909091,process_tree,6.62,process_tree,1050.64
20000,16.425,1.164,0.72,36.345454545454544,process_tree,6.77,process_tree,1074.3
30000,20.869,1.11,0.656,27.345454545454547,process_tree,6.92,process_tree,1097.38
40000,25.54,1.208,0.748,20.804545454545455,process_tree,7.05,process_tree,1118.89
50000,29.997,1.161,0.716,35.18181818181818,process_tree,7.19,process_tree,1140.52
60000,34.445,1.266,0.731,27.2,process_tree,7.32,process_tree,1161.16
70000,39.176,1.176,0.735,14.98181818181818,process_tree,7.47,process_tree,1185.78
80000,43.755,1.14,0.657,18.099999999999998,process_tree,7.61,process_tree,1207.92
90000,48.254,1.131,0.657,18.245454545454546,process_tree,7.75,process_tree,1229.19
100000,53.381,1.127,0.643,26.622727272727275,process_tree,7.89,process_tree,1251.73
110000,58.254,1.177,0.753,26.045454545454547,process_tree,8.04,process_tree,1275.28
120000,63.041,1.133,0.662,24.75,process_tree,8.14,process_tree,1292.23
130000,67.891,1.184,0.691,20.03181818181818,process_tree,8.27,process_tree,1312.89
140000,72.38,1.1,0.642,18.89090909090909,process_tree,8.41,process_tree,1334.76
150000,76.83,1.161,0.744,20.040909090909093,process_tree,8.54,process_tree,1355.75
160000,81.27,1.162,0.728,26.572727272727274,process_tree,8.68,process_tree,1377.82
170000,86.185,1.148,0.702,22.740909090909092,process_tree,8.82,process_tree,1399.29
180000,90.96,1.202,0.772,17.572727272727274,process_tree,8.96,process_tree,1421.7
190000,95.68,1.165,0.772,20.836363636363636,process_tree,9.09,process_tree,1443.25
200000,100.159,1.105,0.696,16.28181818181818,process_tree,9.23,process_tree,1464.91
210000,104.545,1.197,0.773,29.3,process_tree,9.37,process_tree,1486.37
220000,109.02,1.097,0.66,25.931818181818183,process_tree,9.5,process_tree,1507.59
230000,113.998,1.082,0.666,24.75454545454545,process_tree,9.64,process_tree,1529.79
240000,118.449,1.168,0.719,20.05909090909091,process_tree,9.78,process_tree,1551.82
250000,223.474,1.417,0.873,25.386363636363637,process_tree,7.72,process_tree,1224.91
260000,230.228,1.456,0.898,24.55,process_tree,7.67,process_tree,1216.73
270000,237.076,1.385,0.847,39.58181818181818,process_tree,7.66,process_tree,1215.96
280000,243.739,1.367,0.768,31.91363636363636,process_tree,7.67,process_tree,1217.34
290000,249.493,1.452,0.858,24.09545454545454,process_tree,7.71,process_tree,1223.41
300000,253.827,1.422,0.879,35.67272727272727,process_tree,7.76,process_tree,1231.96
310000,258.492,1.392,0.872,24.436363636363637,process_tree,7.8,process_tree,1237.51
320000,262.85,1.411,0.896,25.181818181818183,process_tree,7.85,process_tree,1246.34
330000,267.213,1.411,0.879,15.509090909090908,process_tree,7.93,process_tree,1258.2
340000,271.879,1.474,0.915,36.46818181818182,process_tree,8.06,process_tree,1278.94
350000,276.203,1.455,0.916,20.03181818181818,process_tree,8.23,process_tree,1305.72
360000,280.632,1.268,0.753,20.154545454545453,process_tree,8.33,process_tree,1322.35
370000,285.008,1.432,0.838,30.518181818181816,process_tree,8.27,process_tree,1313.05
380000,289.82,1.402,0.916,29.872727272727275,process_tree,8.41,process_tree,1335.25
390000,294.173,1.551,0.954,28.59545454545454,process_tree,8.54,process_tree,1355.71
400000,298.646,1.418,0.898,15.636363636363637,process_tree,8.69,process_tree,1379.01
410000,303.077,1.426,0.891,16.150000000000002,process_tree,8.82,process_tree,1399.25
420000,307.923,1.438,0.879,20.19545454545454,process_tree,8.97,process_tree,1422.93
430000,312.755,1.349,0.806,20.19545454545454,process_tree,9.1,process_tree,1443.52
440000,317.357,1.403,0.894,18.09090909090909,process_tree,9.24,process_tree,1466.24
450000,321.943,1.47,0.941,21.981818181818184,process_tree,9.37,process_tree,1487.14
460000,326.349,1.385,0.808,16.145454545454545,process_tree,9.51,process_tree,1508.96
470000,330.945,1.357,0.887,20.686363636363634,process_tree,9.65,process_tree,1530.7
480000,335.824,1.411,0.828,38.877272727272725,process_tree,9.77,process_tree,1550.98
490000,440.108,1.804,1.391,25.84545454545454,process_tree,7.7,process_tree,1221.43
500000,444.21,2.359,1.785,11.727272727272727,process_tree,7.66,process_tree,1215.9
510000,450.037,2.278,1.77,27.20909090909091,process_tree,7.82,process_tree,1241.19
520000,454.473,2.175,1.572,23.254545454545454,process_tree,7.87,process_tree,1249.26
530000,458.649,2.223,1.495,26.363636363636363,process_tree,7.92,process_tree,1256.77
540000,462.714,2.436,1.88,30.60909090909091,process_tree,7.94,process_tree,1260.46
550000,467.258,2.245,1.558,24.69545454545454,process_tree,8.03,process_tree,1274.75
560000,471.364,2.365,1.759,22.009090909090908,process_tree,8.09,process_tree,1283.65
570000,475.535,2.226,1.619,12.936363636363637,process_tree,8.24,process_tree,1307.49
580000,480.081,2.286,1.553,21.986363636363635,process_tree,8.39,process_tree,1330.78
590000,484.201,2.419,1.717,35.68181818181818,process_tree,8.54,process_tree,1354.86
600000,488.383,2.226,1.687,26.645454545454548,process_tree,8.64,process_tree,1371.49
610000,493.021,2.302,1.674,35.695454545454545,process_tree,8.68,process_tree,1377.34
620000,497.209,2.387,1.784,23.309090909090912,process_tree,8.82,process_tree,1399.31
630000,501.358,2.219,1.807,33.60454545454545,process_tree,8.95,process_tree,1419.85
640000,505.526,2.376,1.731,18.754545454545454,process_tree,9.09,process_tree,1442.37
650000,509.702,2.457,2.249,27.86818181818182,process_tree,9.21,process_tree,1461.67
660000,514.296,2.353,1.703,21.477272727272727,process_tree,9.35,process_tree,1483.28
670000,518.526,2.3,1.599,32.42272727272727,process_tree,9.48,process_tree,1504.68
680000,522.68,2.364,1.62,24.09090909090909,process_tree,9.62,process_tree,1526.35
690000,526.939,2.23,1.576,31.799999999999997,process_tree,9.76,process_tree,1548.4
700000,531.05,2.258,1.625,30.604545454545452,process_tree,9.89,process_tree,1569.6
710000,535.727,2.442,1.75,22.14090909090909,process_tree,10.02,process_tree,1590.8
720000,539.893,2.232,1.664,24.045454545454547,process_tree,10.16,process_tree,1611.96
730000,646.096,3.055,2.743,18.24090909090909,process_tree,8.35,process_tree,1325.8
740000,652.33,4.66,4.344,16.80909090909091,process_tree,8.23,process_tree,1306.5
750000,658.65,4.868,4.914,18.240909090909092,process_tree,8.23,process_tree,1305.63
760000,664.797,5.128,4.328,20.672727272727272,process_tree,8.27,process_tree,1312.47
770000,670.118,5.528,5.164,31.00454545454545,process_tree,8.27,process_tree,1312.26
780000,674.092,5.035,4.89,29.80454545454546,process_tree,8.29,process_tree,1315.21
790000,678.32,4.812,4.83,31.16818181818182,process_tree,8.34,process_tree,1323.23
800000,682.265,5.679,5.24,26.686363636363637,process_tree,8.4,process_tree,1333.49
810000,686.198,5.164,4.514,40.85,process_tree,8.47,process_tree,1344.5
820000,690.462,5.363,5.122,31.11818181818182,process_tree,8.53,process_tree,1353.6
830000,694.415,5.567,5.336,20.081818181818182,process_tree,8.59,process_tree,1363.34
840000,698.391,4.948,4.971,14.98181818181818,process_tree,8.65,process_tree,1372.02
850000,702.367,5.272,4.349,17.445454545454545,process_tree,8.74,process_tree,1387.5
860000,706.812,4.299,3.362,28.018181818181816,process_tree,8.67,process_tree,1375.51
870000,710.772,4.708,4.207,29.19545454545454,process_tree,8.8,process_tree,1396.95
880000,714.753,5.378,4.194,35.17272727272727,process_tree,8.94,process_tree,1418.21
890000,718.807,5.044,4.288,31.922727272727272,process_tree,9.07,process_tree,1439.82
900000,723.243,5.218,4.549,34.23181818181818,process_tree,9.21,process_tree,1461.23
910000,727.195,5.399,4.92,26.6,process_tree,9.34,process_tree,1482.88
920000,731.226,5.102,4.307,54.722727272727276,process_tree,9.48,process_tree,1504.24
930000,735.289,4.546,4.122,36.33181818181818,process_tree,9.61,process_tree,1524.67
940000,739.992,5.366,5.183,20.027272727272727,process_tree,9.75,process_tree,1547.69
950000,744.342,5.544,5.034,22.786363636363635,process_tree,9.89,process_tree,1568.88
960000,748.71,4.931,4.157,22.027272727272727,process_tree,10.02,process_tree,1590.22
970000,858.572,5.223,5.11,21.486363636363635,process_tree,8.44,process_tree,1339.68
980000,864.638,16.87,16.815,20.84090909090909,process_tree,8.27,process_tree,1312.54
990000,870.47,19.316,19.425,20.845454545454544,process_tree,8.3,process_tree,1317.14
1000000,875.693,19.89,17.86,14.336363636363636,process_tree,8.29,process_tree,1315.66
1010000,880.315,21.624,20.436,30.5,process_tree,8.33,process_tree,1321.69
1020000,884.406,21.024,20.798,20.836363636363636,process_tree,8.36,process_tree,1326.3
