step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,47.8,system,
10000,16.131,1.757,1.334,25.24090909090909,process_tree,6.57,process_tree,1042.23
20000,25.106,4.737,4.899,29.118181818181814,process_tree,6.6,process_tree,1046.55
30000,34.457,13.27,15.626,30.34545454545454,process_tree,6.59,process_tree,1046.43
40000,43.287,77.978,30.831,31.15909090909091,process_tree,6.59,process_tree,1046.43
50000,52.571,67.188,43.035,18.077272727272728,process_tree,6.6,process_tree,1046.63
60000,61.196,54.875,46.636,43.65909090909091,process_tree,6.6,process_tree,1047.01
70000,70.518,70.185,39.505,50.15909090909091,process_tree,6.6,process_tree,1046.58
80000,80.108,75.729,39.367,18.895454545454545,process_tree,6.6,process_tree,1046.89
90000,89.915,100.0,0.0,15.909090909090908,process_tree,6.59,process_tree,1046.39
100000,99.684,88.267,28.907,18.245454545454546,process_tree,6.6,process_tree,1046.73
110000,108.925,95.623,15.162,37.627272727272725,process_tree,6.6,process_tree,1047.11
120000,117.916,100.0,0.0,31.80454545454546,process_tree,6.6,process_tree,1046.93
130000,127.105,47.76,47.714,22.118181818181817,process_tree,6.6,process_tree,1047.04
140000,136.058,82.938,28.919,25.25,process_tree,6.6,process_tree,1047.07
150000,145.105,41.657,44.442,31.80454545454546,process_tree,6.6,process_tree,1047.29
160000,154.107,100.0,0.0,26.05909090909091,process_tree,6.6,process_tree,1047.47
170000,163.259,85.979,34.345,25.895454545454548,process_tree,6.6,process_tree,1047.95
180000,172.596,92.367,25.317,30.35909090909091,process_tree,6.47,process_tree,1026.23
190000,181.687,100.0,0.0,25.245454545454546,process_tree,6.47,process_tree,1026.61
200000,190.756,87.8,32.278,26.6,process_tree,6.47,process_tree,1026.9
210000,199.848,100.0,0.0,15.495454545454544,process_tree,6.47,process_tree,1026.57
220000,208.893,70.82,41.468,35.18181818181818,process_tree,6.47,process_tree,1026.34
230000,217.747,34.182,41.633,25.063636363636363,process_tree,6.47,process_tree,1026.22
240000,227.056,83.943,34.271,27.85,process_tree,6.47,process_tree,1026.73
250000,235.995,92.469,26.087,15.636363636363637,process_tree,6.47,process_tree,1026.85
260000,245.266,100.0,0.0,38.92727272727273,process_tree,6.47,process_tree,1026.87
270000,254.495,100.0,0.0,22.118181818181817,process_tree,6.47,process_tree,1026.43
280000,263.496,100.0,0.0,14.331818181818182,process_tree,6.46,process_tree,1025.73
290000,272.334,95.108,16.947,30.34545454545454,process_tree,6.47,process_tree,1026.54
300000,281.767,100.0,0.0,18.077272727272728,process_tree,6.47,process_tree,1027.09
310000,290.91,100.0,0.0,15.636363636363637,process_tree,6.47,process_tree,1027.09
320000,300.36,100.0,0.0,18.240909090909092,process_tree,6.47,process_tree,1027.21
330000,310.056,100.0,0.0,26.55,process_tree,6.47,process_tree,1027.35
340000,318.963,100.0,0.0,14.20909090909091,process_tree,6.47,process_tree,1026.59
