step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,45.8,system,
10000,11.503,1.13,0.704,33.73636363636364,process_tree,6.61,process_tree,1048.92
20000,16.153,1.095,0.741,18.88181818181818,process_tree,6.76,process_tree,1072.94
30000,20.53,1.129,0.721,27.368181818181814,process_tree,6.91,process_tree,1095.91
40000,25.221,1.035,0.672,19.395454545454545,process_tree,7.04,process_tree,1116.47
50000,29.674,1.067,0.685,43.64545454545454,process_tree,7.18,process_tree,1139.4
60000,34.105,1.115,0.647,26.031818181818185,process_tree,7.31,process_tree,1159.82
70000,38.964,1.04,0.634,42.79545454545455,process_tree,7.47,process_tree,1185.0
80000,43.366,1.065,0.664,18.86818181818182,process_tree,7.6,process_tree,1206.14
90000,47.815,1.064,0.646,16.28181818181818,process_tree,7.74,process_tree,1228.31
100000,52.723,1.095,0.672,24.618181818181814,process_tree,7.89,process_tree,1251.57
110000,57.144,1.055,0.686,34.377272727272725,process_tree,8.03,process_tree,1274.43
120000,61.586,1.09,0.659,35.03181818181818,process_tree,8.13,process_tree,1290.78
130000,66.614,1.027,0.571,34.50454545454545,process_tree,8.27,process_tree,1311.64
140000,71.06,1.078,0.66,18.727272727272727,process_tree,8.4,process_tree,1333.25
150000,75.468,1.099,0.642,15.513636363636364,process_tree,8.54,process_tree,1354.8
160000,79.901,1.058,0.626,25.913636363636364,process_tree,8.67,process_tree,1376.61
170000,84.635,1.011,0.695,25.895454545454548,process_tree,8.81,process_tree,1397.89
180000,90.137,1.04,0.629,31.140909090909087,process_tree,8.95,process_tree,1420.17
190000,94.927,1.062,0.611,21.968181818181815,process_tree,9.08,process_tree,1441.58
200000,99.519,1.081,0.683,20.036363636363635,process_tree,9.22,process_tree,1463.5
210000,104.086,1.091,0.744,18.89090909090909,process_tree,9.36,process_tree,1485.0
220000,108.521,1.072,0.676,21.431818181818183,process_tree,9.49,process_tree,1506.55
230000,113.778,1.057,0.638,19.395454545454548,process_tree,9.63,process_tree,1528.54
240000,118.501,1.081,0.643,18.213636363636365,process_tree,9.77,process_tree,1550.18
250000,123.095,1.024,0.642,28.527272727272724,process_tree,9.9,process_tree,1571.14
260000,127.545,1.077,0.686,36.17272727272727,process_tree,10.04,process_tree,1593.81
270000,131.979,1.056,0.652,20.504545454545454,process_tree,10.18,process_tree,1615.54
280000,136.393,1.116,0.76,38.28181818181818,process_tree,10.31,process_tree,1636.52
290000,140.803,1.091,0.659,27.768181818181816,process_tree,10.45,process_tree,1658.97
300000,147.983,1.054,0.632,29.959090909090904,process_tree,10.59,process_tree,1680.33
310000,154.993,1.052,0.711,27.931818181818183,process_tree,10.73,process_tree,1702.02
320000,161.938,1.091,0.665,18.87727272727273,process_tree,10.86,process_tree,1723.77
330000,168.863,1.08,0.674,22.763636363636362,process_tree,11.0,process_tree,1745.7
340000,175.791,1.029,0.644,25.190909090909088,process_tree,11.14,process_tree,1767.04
350000,182.731,1.088,0.694,28.00909090909091,process_tree,11.27,process_tree,1788.42
360000,189.72,1.048,0.635,25.245454545454546,process_tree,11.41,process_tree,1810.06
370000,196.594,1.067,0.649,30.459090909090904,process_tree,11.54,process_tree,1831.9
380000,202.808,1.077,0.617,21.96818181818182,process_tree,11.68,process_tree,1854.2
390000,207.202,1.032,0.662,20.186363636363634,process_tree,11.82,process_tree,1875.84
400000,211.593,1.182,0.724,36.309090909090905,process_tree,11.95,process_tree,1896.87
410000,216.04,1.025,0.589,18.88181818181818,process_tree,12.09,process_tree,1919.28
420000,375.831,1.235,0.768,20.845454545454544,process_tree,7.87,process_tree,1248.88
430000,380.175,1.281,0.808,24.74090909090909,process_tree,7.7,process_tree,1222.04
440000,384.523,1.314,0.811,21.363636363636363,process_tree,7.67,process_tree,1216.73
450000,388.861,1.336,0.84,29.818181818181817,process_tree,7.69,process_tree,1220.76
460000,393.229,1.255,0.72,31.91363636363636,process_tree,7.76,process_tree,1231.72
470000,397.543,1.323,0.847,28.422727272727272,process_tree,7.85,process_tree,1245.17
480000,402.129,1.306,0.795,26.640909090909087,process_tree,7.88,process_tree,1250.01
490000,406.455,1.293,0.877,33.1,process_tree,7.96,process_tree,1262.9
500000,410.781,1.32,0.778,14.336363636363636,process_tree,8.04,process_tree,1275.97
510000,417.079,1.328,0.859,15.618181818181819,process_tree,8.39,process_tree,1331.99
520000,421.817,1.292,0.867,31.918181818181814,process_tree,8.63,process_tree,1369.82
530000,426.181,1.324,0.843,17.45,process_tree,8.84,process_tree,1402.32
540000,430.547,1.313,0.93,22.12727272727273,process_tree,8.68,process_tree,1377.05
550000,434.92,1.341,0.838,21.986363636363635,process_tree,8.81,process_tree,1398.23
560000,439.243,1.312,0.819,18.23181818181818,process_tree,8.95,process_tree,1420.09
570000,444.075,1.309,0.823,27.35,process_tree,9.08,process_tree,1441.59
580000,448.45,1.277,0.82,21.5,process_tree,9.22,process_tree,1463.88
590000,452.845,1.327,0.811,21.990909090909092,process_tree,9.36,process_tree,1484.84
600000,457.226,1.285,0.791,23.313636363636363,process_tree,9.5,process_tree,1507.13
610000,461.619,1.366,0.898,26.009090909090904,process_tree,9.63,process_tree,1528.84
620000,466.535,1.242,0.835,24.09545454545454,process_tree,9.77,process_tree,1550.76
630000,470.944,1.286,0.789,34.518181818181816,process_tree,9.91,process_tree,1572.65
640000,475.468,1.323,0.784,33.07727272727273,process_tree,10.04,process_tree,1592.81
650000,480.222,1.295,0.857,18.099999999999998,process_tree,10.18,process_tree,1614.78
660000,485.006,1.263,0.75,17.59090909090909,process_tree,10.31,process_tree,1635.78
670000,489.79,1.251,0.846,30.604545454545452,process_tree,10.45,process_tree,1657.64
680000,494.765,1.329,0.805,20.849999999999998,process_tree,10.58,process_tree,1679.48
690000,499.118,1.248,0.823,23.44090909090909,process_tree,10.72,process_tree,1701.13
700000,503.458,1.374,0.894,33.095454545454544,process_tree,10.85,process_tree,1722.53
710000,508.077,1.304,0.794,20.818181818181817,process_tree,10.99,process_tree,1744.0
720000,512.764,1.247,0.837,18.09090909090909,process_tree,11.13,process_tree,1765.82
730000,517.396,1.309,0.814,27.85,process_tree,11.26,process_tree,1787.16
740000,521.768,1.362,0.931,31.154545454545453,process_tree,11.4,process_tree,1809.38
750000,526.844,1.35,0.888,30.504545454545454,process_tree,11.54,process_tree,1830.8
