step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,47.7,system,
10000,13.99,1.583,1.109,24.745454545454546,process_tree,6.55,process_tree,1039.29
20000,20.434,4.275,4.693,20.677272727272726,process_tree,6.57,process_tree,1042.66
30000,26.759,9.125,9.45,13.681818181818182,process_tree,6.58,process_tree,1044.16
40000,33.675,27.1,27.195,23.90909090909091,process_tree,6.58,process_tree,1043.96
50000,40.699,30.782,30.047,18.245454545454546,process_tree,6.58,process_tree,1044.15
60000,47.196,67.313,43.767,18.23181818181818,process_tree,6.58,process_tree,1044.63
70000,53.726,66.357,36.975,29.172727272727272,process_tree,6.58,process_tree,1044.88
80000,59.842,83.777,25.921,20.2,process_tree,6.58,process_tree,1044.19
90000,66.459,44.0,41.447,16.286363636363635,process_tree,6.58,process_tree,1044.63
100000,72.515,34.518,36.889,18.077272727272728,process_tree,6.58,process_tree,1044.94
110000,78.714,40.316,32.235,16.55909090909091,process_tree,6.58,process_tree,1044.71
120000,85.147,92.385,25.165,18.081818181818182,process_tree,6.58,process_tree,1044.62
130000,91.597,100.0,0.0,16.786363636363635,process_tree,6.46,process_tree,1025.59
140000,97.655,100.0,0.0,19.38181818181818,process_tree,6.47,process_tree,1025.97
150000,104.179,100.0,0.0,39.74090909090909,process_tree,6.47,process_tree,1025.97
160000,110.39,81.286,35.212,14.986363636363636,process_tree,6.46,process_tree,1025.54
170000,116.597,38.272,35.842,18.077272727272728,process_tree,6.47,process_tree,1026.14
180000,122.856,74.646,35.775,15.5,process_tree,6.47,process_tree,1026.18
190000,129.628,71.087,35.096,18.245454545454546,process_tree,6.46,process_tree,1025.89
200000,135.892,90.711,22.981,13.55909090909091,process_tree,6.47,process_tree,1026.76
210000,141.909,83.683,36.489,26.718181818181815,process_tree,6.47,process_tree,1026.2
220000,148.519,90.13,29.61,15.909090909090908,process_tree,6.47,process_tree,1026.25
230000,154.789,92.454,26.141,10.977272727272727,process_tree,6.47,process_tree,1026.14
240000,161.124,78.993,40.231,16.94090909090909,process_tree,6.47,process_tree,1026.45
250000,167.231,44.091,48.204,29.322727272727267,process_tree,6.47,process_tree,1026.25
260000,173.837,79.345,37.354,18.245454545454546,process_tree,6.47,process_tree,1026.29
270000,180.223,59.389,43.791,16.786363636363635,process_tree,6.47,process_tree,1026.76
280000,186.162,78.363,32.221,43.654545454545456,process_tree,6.47,process_tree,1026.13
290000,192.548,84.764,34.577,18.722727272727273,process_tree,6.47,process_tree,1026.25
300000,199.156,87.954,29.33,23.29090909090909,process_tree,6.47,process_tree,1026.29
310000,205.346,77.983,37.082,18.240909090909092,process_tree,6.47,process_tree,1026.7
320000,211.807,66.973,46.71,10.795454545454545,process_tree,6.47,process_tree,1026.8
330000,217.963,22.675,38.769,18.245454545454546,process_tree,6.47,process_tree,1026.94
340000,224.309,57.743,48.798,19.386363636363637,process_tree,6.47,process_tree,1026.91
350000,230.669,73.082,43.962,23.436363636363637,process_tree,6.47,process_tree,1026.79
360000,236.73,68.265,44.075,16.55909090909091,process_tree,6.47,process_tree,1026.29
370000,243.067,55.615,49.088,23.45909090909091,process_tree,6.47,process_tree,1026.32
380000,249.46,46.035,43.444,33.06818181818182,process_tree,6.47,process_tree,1026.62
390000,255.578,31.765,33.487,18.245454545454546,process_tree,6.47,process_tree,1026.7
400000,261.944,54.793,41.516,16.94090909090909,process_tree,6.47,process_tree,1026.79
410000,268.471,42.795,43.203,15.5,process_tree,6.47,process_tree,1026.86
420000,274.965,35.016,47.04,25.245454545454546,process_tree,6.47,process_tree,1026.22
430000,281.327,55.219,34.811,22.077272727272728,process_tree,6.47,process_tree,1026.39
440000,287.628,42.872,43.558,18.813636363636363,process_tree,6.47,process_tree,1026.39
450000,294.037,49.062,45.447,18.245454545454546,process_tree,6.47,process_tree,1026.89
460000,300.524,50.75,49.268,14.85,process_tree,6.47,process_tree,1026.71
470000,306.806,73.887,43.307,18.077272727272728,process_tree,6.47,process_tree,1026.91
480000,313.209,100.0,0.0,18.813636363636363,process_tree,6.47,process_tree,1027.05
490000,319.356,100.0,0.0,15.527272727272726,process_tree,6.47,process_tree,1027.06
500000,326.071,100.0,0.0,11.077272727272726,process_tree,6.61,process_tree,1048.27
510000,333.882,59.565,48.339,31.15909090909091,process_tree,6.92,process_tree,1098.52
