step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,40.7,system,
10000,12.427,1.123,0.705,27.218181818181815,process_tree,6.54,process_tree,1038.33
20000,17.933,1.553,0.986,22.004545454545454,process_tree,6.56,process_tree,1040.93
30000,24.973,2.255,1.473,37.13636363636363,process_tree,6.56,process_tree,1040.27
40000,32.316,2.773,1.933,33.06363636363636,process_tree,6.56,process_tree,1040.26
50000,38.994,4.083,3.101,18.236363636363635,process_tree,6.56,process_tree,1040.65
60000,44.522,4.796,4.314,18.077272727272728,process_tree,6.56,process_tree,1041.76
70000,50.19,7.762,7.407,18.077272727272728,process_tree,6.57,process_tree,1042.07
80000,55.483,15.8,19.018,17.2,process_tree,6.57,process_tree,1042.78
90000,60.309,29.063,27.999,34.904545454545456,process_tree,6.57,process_tree,1043.0
100000,65.333,28.2,32.769,28.66363636363636,process_tree,6.58,process_tree,1043.87
110000,70.445,53.758,43.883,31.136363636363637,process_tree,6.57,process_tree,1043.17
120000,75.399,45.46,34.929,34.39090909090908,process_tree,6.57,process_tree,1043.02
130000,79.964,22.882,25.334,19.368181818181817,process_tree,6.58,process_tree,1043.49
140000,85.013,21.752,20.663,26.031818181818185,process_tree,6.58,process_tree,1043.76
150000,90.199,22.309,12.94,18.245454545454546,process_tree,6.58,process_tree,1044.04
160000,95.044,35.26,23.831,16.29090909090909,process_tree,6.58,process_tree,1043.88
170000,99.924,67.106,28.449,14.986363636363636,process_tree,6.57,process_tree,1043.27
180000,104.869,22.894,22.207,20.186363636363634,process_tree,6.58,process_tree,1044.32
190000,109.758,86.179,29.383,28.6,process_tree,6.58,process_tree,1043.89
200000,114.677,71.37,41.046,20.768181818181816,process_tree,6.58,process_tree,1043.66
210000,119.706,70.231,36.378,17.59090909090909,process_tree,6.58,process_tree,1044.15
220000,124.806,69.338,27.709,22.654545454545456,process_tree,6.58,process_tree,1043.97
230000,129.497,70.325,37.16,36.99090909090909,process_tree,6.58,process_tree,1044.12
240000,134.988,45.5,31.579,38.25,process_tree,6.58,process_tree,1044.54
250000,140.28,56.405,42.789,18.895454545454545,process_tree,6.58,process_tree,1044.41
260000,145.447,57.883,39.957,15.495454545454544,process_tree,6.58,process_tree,1044.93
270000,150.478,54.915,40.943,20.69090909090909,process_tree,6.59,process_tree,1045.15
280000,155.528,33.563,30.291,25.91818181818182,process_tree,6.58,process_tree,1043.82
290000,160.131,80.15,34.231,15.640909090909089,process_tree,6.58,process_tree,1044.79
300000,164.933,43.787,30.484,23.94090909090909,process_tree,6.58,process_tree,1044.47
310000,169.81,25.994,13.774,18.077272727272728,process_tree,6.58,process_tree,1043.94
320000,175.988,62.346,28.207,20.827272727272728,process_tree,6.58,process_tree,1044.77
330000,181.891,98.9,3.111,14.204545454545455,process_tree,6.58,process_tree,1044.55
340000,186.993,100.0,0.0,18.245454545454546,process_tree,6.58,process_tree,1044.19
350000,192.127,52.482,31.39,17.59090909090909,process_tree,6.58,process_tree,1044.32
360000,197.172,31.176,29.232,14.986363636363636,process_tree,6.58,process_tree,1043.95
370000,202.308,20.938,12.8,16.145454545454545,process_tree,6.58,process_tree,1044.33
380000,207.428,76.147,28.647,30.5,process_tree,6.58,process_tree,1044.42
390000,212.414,36.171,26.573,19.545454545454547,process_tree,6.58,process_tree,1044.84
400000,217.415,40.705,26.87,18.89090909090909,process_tree,6.58,process_tree,1044.82
410000,222.436,72.736,35.982,18.245454545454546,process_tree,6.58,process_tree,1044.0
420000,228.264,100.0,0.0,18.245454545454546,process_tree,6.58,process_tree,1044.32
430000,233.362,87.085,26.572,20.849999999999998,process_tree,6.58,process_tree,1044.68
440000,238.175,60.142,42.755,16.28181818181818,process_tree,6.58,process_tree,1044.26
450000,243.287,60.623,40.535,18.245454545454546,process_tree,6.59,process_tree,1045.09
460000,248.197,94.25,13.729,18.245454545454546,process_tree,6.58,process_tree,1044.84
470000,253.166,98.94,3.18,18.245454545454546,process_tree,6.58,process_tree,1044.88
480000,258.248,95.255,15.006,23.40909090909091,process_tree,6.58,process_tree,1044.43
490000,263.101,91.733,27.417,25.827272727272728,process_tree,6.58,process_tree,1044.3
500000,267.795,91.045,28.317,8.472727272727273,process_tree,6.6,process_tree,1047.14
510000,274.679,68.788,31.431,16.29090909090909,process_tree,7.03,process_tree,1115.94
520000,279.738,22.627,18.273,20.849999999999998,process_tree,7.04,process_tree,1116.7
530000,284.829,23.985,21.695,25.41363636363636,process_tree,7.03,process_tree,1116.2
540000,289.552,93.242,22.415,14.336363636363636,process_tree,7.03,process_tree,1115.74
550000,294.638,65.958,38.021,12.918181818181818,process_tree,7.04,process_tree,1117.37
560000,299.608,48.047,29.216,16.28181818181818,process_tree,7.04,process_tree,1116.54
570000,304.257,76.03,37.773,25.922727272727272,process_tree,7.04,process_tree,1117.09
580000,309.517,92.4,26.327,17.431818181818183,process_tree,7.04,process_tree,1117.8
590000,314.254,80.3,24.419,23.95909090909091,process_tree,7.04,process_tree,1117.75
600000,319.0,84.808,35.629,35.68636363636364,process_tree,7.04,process_tree,1116.46
610000,324.051,56.957,45.668,33.06363636363636,process_tree,7.04,process_tree,1116.5
620000,329.094,65.393,38.554,23.254545454545454,process_tree,7.04,process_tree,1117.61
630000,334.337,90.233,27.624,22.804545454545455,process_tree,7.04,process_tree,1117.33
640000,339.017,67.776,38.269,27.80909090909091,process_tree,7.04,process_tree,1117.89
650000,343.904,84.546,28.527,24.05454545454545,process_tree,7.04,process_tree,1117.45
660000,348.49,100.0,0.0,14.327272727272726,process_tree,7.04,process_tree,1117.43
670000,353.83,91.75,27.362,24.10909090909091,process_tree,7.04,process_tree,1117.48
680000,358.64,100.0,0.0,26.55,process_tree,7.04,process_tree,1117.05
690000,363.961,68.0,43.162,25.181818181818183,process_tree,7.04,process_tree,1117.05
700000,368.537,74.171,38.875,18.240909090909092,process_tree,7.04,process_tree,1117.8
710000,373.596,73.092,31.426,29.718181818181815,process_tree,7.04,process_tree,1117.57
720000,378.9,35.728,33.438,19.536363636363635,process_tree,7.05,process_tree,1118.38
730000,383.592,66.941,34.421,26.495454545454546,process_tree,7.05,process_tree,1118.15
740000,388.738,32.816,27.862,39.72727272727273,process_tree,7.04,process_tree,1117.78
750000,393.751,79.75,29.208,26.79090909090909,process_tree,7.04,process_tree,1116.94
760000,398.735,90.917,27.088,23.44090909090909,process_tree,7.04,process_tree,1117.05
770000,403.653,52.5,43.113,14.97272727272727,process_tree,7.04,process_tree,1117.19
780000,408.637,95.58,13.26,17.472727272727273,process_tree,7.04,process_tree,1117.21
790000,413.573,44.4,38.345,38.277272727272724,process_tree,7.04,process_tree,1117.64
800000,418.348,73.608,30.217,24.531818181818185,process_tree,7.04,process_tree,1117.0
810000,423.287,91.036,28.346,29.972727272727273,process_tree,7.04,process_tree,1117.55
820000,428.285,100.0,0.0,25.35,process_tree,7.04,process_tree,1116.95
830000,433.368,90.39,28.83,26.063636363636363,process_tree,7.04,process_tree,1116.9
840000,438.106,77.656,30.391,15.986363636363636,process_tree,7.04,process_tree,1117.11
850000,443.141,50.478,23.089,14.218181818181819,process_tree,7.04,process_tree,1117.23
860000,448.229,99.158,2.791,18.89090909090909,process_tree,7.04,process_tree,1117.03
870000,453.09,83.55,36.784,28.013636363636362,process_tree,7.04,process_tree,1117.22
880000,457.952,79.331,36.145,22.8,process_tree,7.04,process_tree,1117.05
890000,462.936,80.267,39.467,29.222727272727273,process_tree,7.04,process_tree,1116.55
900000,467.895,85.983,31.889,27.872727272727275,process_tree,7.04,process_tree,1117.47
910000,472.635,63.789,38.725,23.40909090909091,process_tree,7.04,process_tree,1117.15
920000,477.816,92.638,24.704,35.018181818181816,process_tree,7.04,process_tree,1117.3
930000,482.68,81.982,38.222,16.29090909090909,process_tree,7.04,process_tree,1117.52
940000,487.754,80.507,38.988,31.113636363636363,process_tree,7.05,process_tree,1118.38
950000,492.768,99.8,0.6,18.077272727272728,process_tree,7.04,process_tree,1117.11
960000,497.722,90.1,29.7,28.40909090909091,process_tree,7.04,process_tree,1117.3
970000,503.433,76.909,38.098,33.06363636363636,process_tree,7.04,process_tree,1117.52
980000,508.331,78.494,36.166,27.11818181818182,process_tree,7.04,process_tree,1117.53
990000,513.287,82.92,34.682,26.640909090909087,process_tree,7.05,process_tree,1118.05
1000000,518.116,100.0,0.0,3.909090909090909,process_tree,7.04,process_tree,1117.54
1010000,523.947,73.846,38.977,13.55909090909091,process_tree,7.07,process_tree,1121.27
1020000,529.3,85.733,32.388,25.79090909090909,process_tree,7.07,process_tree,1121.2
1030000,535.155,69.325,38.675,18.245454545454546,process_tree,7.07,process_tree,1121.38
1040000,539.982,100.0,0.0,24.086363636363636,process_tree,7.07,process_tree,1121.38
1050000,544.975,100.0,0.0,15.340909090909092,process_tree,7.07,process_tree,1121.38
1060000,549.997,70.707,38.37,16.94090909090909,process_tree,7.06,process_tree,1120.92
1070000,555.133,40.477,28.061,18.09090909090909,process_tree,7.06,process_tree,1120.55
1080000,559.878,46.331,28.469,15.636363636363637,process_tree,7.07,process_tree,1121.47
1090000,564.948,62.187,33.073,15.636363636363637,process_tree,7.07,process_tree,1121.7
1100000,570.158,72.179,34.238,14.986363636363636,process_tree,7.07,process_tree,1122.07
1110000,574.855,72.255,24.696,31.65,process_tree,7.06,process_tree,1121.06
1120000,580.017,53.587,29.632,16.786363636363635,process_tree,7.07,process_tree,1121.67
1130000,585.276,51.333,33.718,27.222727272727273,process_tree,7.07,process_tree,1121.61
1140000,589.787,75.357,33.656,20.181818181818183,process_tree,7.06,process_tree,1121.02
1150000,595.001,69.8,32.875,18.245454545454546,process_tree,7.07,process_tree,1122.02
1160000,600.015,45.5,32.341,18.077272727272728,process_tree,7.07,process_tree,1121.48
1170000,604.912,95.345,14.068,16.94090909090909,process_tree,7.07,process_tree,1121.65
1180000,609.855,65.279,46.596,22.595454545454547,process_tree,7.06,process_tree,1121.12
1190000,614.96,77.092,41.824,18.245454545454546,process_tree,7.07,process_tree,1121.7
1200000,619.857,63.757,35.601,17.936363636363634,process_tree,7.06,process_tree,1120.81
1210000,624.831,60.907,30.828,22.795454545454543,process_tree,7.06,process_tree,1121.11
1220000,630.207,78.167,37.653,18.89090909090909,process_tree,7.06,process_tree,1120.95
1230000,635.501,91.091,28.173,18.895454545454545,process_tree,7.06,process_tree,1121.07
1240000,640.639,91.883,26.92,23.94090909090909,process_tree,7.07,process_tree,1121.57
1250000,645.845,92.788,19.082,17.431818181818183,process_tree,7.06,process_tree,1120.49
1260000,651.003,77.623,40.878,11.077272727272726,process_tree,7.07,process_tree,1121.65
1270000,655.964,37.968,41.087,18.88181818181818,process_tree,7.07,process_tree,1121.14
1280000,661.0,91.767,27.307,24.036363636363635,process_tree,7.07,process_tree,1121.22
1290000,666.009,91.717,27.473,23.39090909090909,process_tree,7.07,process_tree,1121.21
1300000,671.222,80.67,38.671,18.077272727272728,process_tree,7.06,process_tree,1121.09
1310000,676.034,60.982,39.111,29.30909090909091,process_tree,7.07,process_tree,1121.62
1320000,681.015,85.65,28.74,36.36363636363637,process_tree,7.07,process_tree,1121.14
1330000,685.962,75.838,31.725,22.786363636363635,process_tree,7.07,process_tree,1121.46
1340000,691.067,87.4,31.108,19.38181818181818,process_tree,7.06,process_tree,1121.01
1350000,696.326,66.947,42.652,36.46818181818182,process_tree,7.06,process_tree,1121.01
1360000,701.664,51.086,38.233,24.09545454545454,process_tree,7.06,process_tree,1120.78
1370000,707.001,27.896,32.682,36.35454545454545,process_tree,7.07,process_tree,1121.68
1380000,711.807,61.9,36.416,24.495454545454546,process_tree,7.07,process_tree,1121.94
1390000,717.224,70.944,42.056,25.827272727272728,process_tree,7.07,process_tree,1121.28
1400000,722.146,96.6,8.328,25.25,process_tree,7.07,process_tree,1121.25
1410000,726.911,80.25,39.501,11.077272727272726,process_tree,7.06,process_tree,1120.47
1420000,732.115,68.206,40.377,18.240909090909092,process_tree,7.06,process_tree,1120.4
1430000,737.237,89.542,18.95,14.327272727272726,process_tree,7.07,process_tree,1121.72
1440000,742.041,100.0,0.0,14.336363636363636,process_tree,7.07,process_tree,1121.48
1450000,747.09,91.2,20.126,16.29090909090909,process_tree,7.06,process_tree,1120.7
1460000,752.272,41.742,29.312,23.30909090909091,process_tree,7.07,process_tree,1121.18
1470000,757.413,42.116,26.362,20.186363636363634,process_tree,7.07,process_tree,1121.86
1480000,761.951,100.0,0.0,19.549999999999997,process_tree,7.06,process_tree,1121.13
1490000,766.872,100.0,0.0,37.627272727272725,process_tree,7.06,process_tree,1121.04
1500000,771.877,100.0,0.0,10.795454545454545,process_tree,7.06,process_tree,1120.68
1510000,777.723,100.0,0.0,19.38181818181818,process_tree,7.08,process_tree,1122.73
1520000,782.952,91.673,26.333,15.909090909090908,process_tree,7.07,process_tree,1122.69
1530000,788.07,100.0,0.0,18.727272727272727,process_tree,7.08,process_tree,1122.78
1540000,793.485,90.08,29.76,18.895454545454545,process_tree,7.08,process_tree,1122.85
1550000,798.49,78.067,37.997,16.922727272727272,process_tree,7.07,process_tree,1121.88
1560000,803.934,56.6,42.744,14.854545454545455,process_tree,6.96,process_tree,1105.2
1570000,809.044,87.321,31.177,18.245454545454546,process_tree,6.96,process_tree,1105.09
1580000,814.084,72.425,38.247,14.85,process_tree,6.96,process_tree,1104.14
1590000,819.135,92.622,20.868,22.66363636363636,process_tree,6.97,process_tree,1105.49
1600000,824.385,60.689,40.84,27.213636363636365,process_tree,6.97,process_tree,1105.79
1610000,828.904,54.621,44.359,26.063636363636363,process_tree,6.97,process_tree,1105.31
1620000,834.018,66.636,40.748,15.495454545454544,process_tree,6.97,process_tree,1106.16
1630000,838.951,89.423,26.181,18.813636363636363,process_tree,6.96,process_tree,1104.91
1640000,843.838,88.342,28.691,18.077272727272728,process_tree,6.96,process_tree,1104.72
1650000,848.972,90.1,29.7,20.65909090909091,process_tree,6.96,process_tree,1104.71
1660000,854.212,79.021,40.172,18.245454545454546,process_tree,6.96,process_tree,1104.68
1670000,859.517,67.685,41.581,18.077272727272728,process_tree,6.96,process_tree,1104.73
1680000,864.571,63.9,34.457,20.82272727272727,process_tree,6.96,process_tree,1105.18
1690000,870.707,48.164,32.471,26.477272727272727,process_tree,6.97,process_tree,1105.41
1700000,876.904,80.57,25.343,23.759090909090904,process_tree,6.96,process_tree,1104.81
1710000,881.975,59.922,33.822,18.727272727272727,process_tree,6.96,process_tree,1103.9
1720000,886.614,69.673,32.204,28.65909090909091,process_tree,6.96,process_tree,1104.89
1730000,891.571,40.325,27.972,14.204545454545455,process_tree,6.96,process_tree,1104.31
1740000,896.739,24.267,14.35,18.895454545454545,process_tree,6.96,process_tree,1105.05
1750000,901.685,12.196,5.078,16.786363636363635,process_tree,6.96,process_tree,1104.1
1760000,906.82,16.346,6.626,14.98181818181818,process_tree,6.96,process_tree,1104.38
1770000,911.971,23.303,8.594,18.077272727272728,process_tree,6.96,process_tree,1105.23
1780000,917.053,50.4,33.453,17.59090909090909,process_tree,6.96,process_tree,1104.58
1790000,922.109,79.655,33.97,18.245454545454546,process_tree,6.96,process_tree,1104.88
1800000,927.393,93.958,15.629,14.854545454545455,process_tree,6.96,process_tree,1104.01
1810000,932.396,100.0,0.0,16.799999999999997,process_tree,6.96,process_tree,1104.92
1820000,937.508,100.0,0.0,14.986363636363636,process_tree,6.96,process_tree,1104.18
1830000,943.094,67.518,35.925,20.05,process_tree,6.96,process_tree,1105.07
1840000,947.972,84.083,23.474,30.34545454545454,process_tree,6.97,process_tree,1105.7
1850000,952.949,100.0,0.0,33.21363636363637,process_tree,6.96,process_tree,1105.11
1860000,958.07,100.0,0.0,16.799999999999997,process_tree,6.96,process_tree,1105.17
1870000,962.765,100.0,0.0,22.009090909090908,process_tree,6.96,process_tree,1104.87
1880000,967.813,100.0,0.0,28.522727272727273,process_tree,6.96,process_tree,1104.87
1890000,972.885,100.0,0.0,18.2,process_tree,6.96,process_tree,1104.85
