step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,45.3,system,
10000,11.392,1.164,0.631,27.277272727272727,process_tree,6.61,process_tree,1049.48
20000,15.958,1.228,0.682,19.39090909090909,process_tree,6.77,process_tree,1074.12
30000,20.335,1.17,0.679,25.94545454545454,process_tree,6.9,process_tree,1095.46
40000,24.974,1.202,0.675,21.477272727272727,process_tree,7.04,process_tree,1116.89
50000,29.358,1.144,0.706,17.577272727272728,process_tree,7.18,process_tree,1139.2
60000,33.774,1.179,0.733,23.40909090909091,process_tree,7.32,process_tree,1161.55
70000,38.538,1.148,0.652,22.459090909090907,process_tree,7.45,process_tree,1182.78
80000,43.028,1.171,0.706,29.84090909090909,process_tree,7.59,process_tree,1204.46
90000,47.457,1.189,0.738,18.89090909090909,process_tree,7.72,process_tree,1225.8
100000,52.265,1.172,0.697,26.704545454545453,process_tree,7.87,process_tree,1249.03
110000,56.944,1.261,0.816,25.35,process_tree,8.02,process_tree,1273.24
120000,61.82,1.218,0.704,34.51363636363636,process_tree,8.15,process_tree,1292.7
130000,66.761,1.158,0.693,36.67727272727273,process_tree,8.27,process_tree,1311.81
140000,71.147,1.203,0.738,31.80909090909091,process_tree,8.41,process_tree,1333.79
150000,75.504,1.21,0.733,19.65909090909091,process_tree,8.54,process_tree,1355.87
160000,79.855,1.17,0.683,19.53181818181818,process_tree,8.68,process_tree,1376.97
170000,84.715,1.192,0.726,22.013636363636362,process_tree,8.82,process_tree,1398.98
180000,89.388,1.164,0.693,33.21818181818182,process_tree,8.95,process_tree,1421.05
190000,94.109,1.156,0.722,15.040909090909093,process_tree,9.09,process_tree,1442.64
200000,98.67,1.139,0.762,22.80909090909091,process_tree,9.22,process_tree,1463.76
210000,103.033,1.167,0.737,15.613636363636363,process_tree,9.36,process_tree,1485.22
220000,107.446,1.161,0.66,20.66363636363636,process_tree,9.5,process_tree,1507.61
230000,112.324,1.193,0.755,26.645454545454548,process_tree,9.64,process_tree,1529.45
240000,116.691,1.203,0.728,33.21818181818182,process_tree,9.77,process_tree,1550.31
250000,121.05,1.178,0.729,22.636363636363637,process_tree,9.91,process_tree,1572.46
260000,125.436,1.189,0.707,32.56818181818182,process_tree,10.04,process_tree,1593.73
270000,129.787,1.183,0.737,32.02272727272727,process_tree,10.18,process_tree,1616.03
280000,134.15,1.172,0.728,26.640909090909087,process_tree,10.32,process_tree,1637.51
290000,139.218,1.158,0.695,35.018181818181816,process_tree,10.46,process_tree,1659.4
300000,143.554,1.217,0.781,23.44545454545454,process_tree,10.59,process_tree,1679.82
310000,147.995,1.119,0.659,31.64090909090909,process_tree,10.73,process_tree,1702.55
320000,152.393,1.158,0.672,33.11363636363637,process_tree,10.86,process_tree,1724.13
330000,156.793,1.16,0.718,22.0,process_tree,11.0,process_tree,1745.77
340000,161.185,1.208,0.735,34.518181818181816,process_tree,11.14,process_tree,1767.19
350000,165.574,1.172,0.728,25.795454545454547,process_tree,11.28,process_tree,1789.39
360000,169.938,1.2,0.769,23.781818181818185,process_tree,11.41,process_tree,1810.38
370000,176.335,1.141,0.704,27.863636363636363,process_tree,11.55,process_tree,1832.2
380000,183.339,1.162,0.681,25.904545454545453,process_tree,11.68,process_tree,1852.89
390000,190.214,1.164,0.706,27.63181818181818,process_tree,11.82,process_tree,1875.54
400000,197.108,1.184,0.75,31.65909090909091,process_tree,11.95,process_tree,1896.63
410000,203.962,1.199,0.695,18.077272727272728,process_tree,12.09,process_tree,1918.86
420000,365.952,1.318,0.851,27.94090909090909,process_tree,7.79,process_tree,1236.48
430000,372.725,1.324,0.836,20.672727272727272,process_tree,7.79,process_tree,1235.57
440000,379.492,1.305,0.796,27.13181818181818,process_tree,7.78,process_tree,1234.06
450000,386.297,1.305,0.763,24.75454545454545,process_tree,7.84,process_tree,1244.06
460000,393.131,1.382,0.886,26.045454545454547,process_tree,7.89,process_tree,1251.26
470000,398.093,1.418,0.859,23.954545454545453,process_tree,7.92,process_tree,1257.52
480000,402.434,1.323,0.794,33.85454545454545,process_tree,7.99,process_tree,1267.75
490000,407.017,1.365,0.84,24.1,process_tree,8.09,process_tree,1284.34
500000,411.326,1.328,0.778,11.727272727272727,process_tree,8.14,process_tree,1292.46
510000,417.675,1.323,0.768,28.009090909090904,process_tree,8.46,process_tree,1343.16
520000,421.986,1.357,0.83,32.554545454545455,process_tree,8.71,process_tree,1381.45
530000,426.351,1.272,0.719,18.227272727272727,process_tree,8.9,process_tree,1412.44
540000,430.685,1.37,0.894,19.527272727272727,process_tree,8.71,process_tree,1382.27
550000,435.476,1.288,0.776,17.85909090909091,process_tree,8.85,process_tree,1403.86
560000,439.844,1.311,0.775,24.609090909090913,process_tree,8.98,process_tree,1425.73
570000,444.321,1.345,0.847,22.786363636363635,process_tree,9.12,process_tree,1446.64
580000,448.708,1.421,0.879,27.95,process_tree,9.26,process_tree,1468.76
590000,453.549,1.353,0.848,24.622727272727275,process_tree,9.39,process_tree,1490.02
600000,458.0,1.282,0.785,40.059090909090905,process_tree,9.53,process_tree,1512.57
610000,462.715,1.332,0.779,23.29090909090909,process_tree,9.67,process_tree,1533.9
620000,467.567,1.316,0.761,20.195454545454545,process_tree,9.8,process_tree,1555.69
630000,471.976,1.338,0.845,36.35909090909091,process_tree,9.94,process_tree,1577.31
640000,476.372,1.332,0.828,22.595454545454547,process_tree,10.08,process_tree,1598.98
650000,481.243,1.465,0.973,32.3,process_tree,10.21,process_tree,1620.52
660000,485.575,1.321,0.783,31.927272727272726,process_tree,10.34,process_tree,1641.45
670000,489.946,1.356,0.817,22.10909090909091,process_tree,10.48,process_tree,1662.92
680000,494.596,1.419,0.849,18.768181818181816,process_tree,10.62,process_tree,1684.91
690000,499.295,1.312,0.83,18.795454545454547,process_tree,10.75,process_tree,1705.95
700000,503.859,1.3,0.796,32.95,process_tree,10.89,process_tree,1727.36
710000,508.175,1.438,0.862,21.477272727272727,process_tree,11.02,process_tree,1749.48
720000,513.203,1.339,0.872,33.086363636363636,process_tree,11.16,process_tree,1771.18
730000,517.573,1.302,0.741,26.61818181818182,process_tree,11.3,process_tree,1792.85
740000,521.872,1.324,0.882,30.904545454545453,process_tree,11.44,process_tree,1814.64
750000,526.183,1.332,0.809,33.86818181818182,process_tree,11.57,process_tree,1835.96
760000,530.514,1.37,0.799,17.572727272727274,process_tree,11.71,process_tree,1857.68
770000,534.809,1.399,0.888,37.77272727272727,process_tree,11.84,process_tree,1879.41
780000,539.142,1.417,0.809,24.477272727272727,process_tree,11.98,process_tree,1900.96
790000,543.469,1.314,0.842,19.54090909090909,process_tree,12.12,process_tree,1922.75
800000,548.717,1.351,0.814,23.954545454545453,process_tree,12.25,process_tree,1943.88
810000,555.483,1.376,0.821,25.4,process_tree,12.39,process_tree,1965.55
820000,562.427,1.319,0.859,27.354545454545452,process_tree,12.52,process_tree,1986.87
830000,726.15,1.916,1.305,22.772727272727273,process_tree,8.62,process_tree,1368.59
840000,732.695,2.195,1.593,31.16818181818182,process_tree,8.53,process_tree,1353.1
850000,739.261,2.155,1.42,27.354545454545452,process_tree,8.53,process_tree,1353.02
860000,745.73,2.057,1.423,26.031818181818185,process_tree,8.58,process_tree,1360.77
870000,752.295,2.04,1.414,35.17272727272727,process_tree,8.63,process_tree,1369.55
880000,758.846,2.167,1.642,21.49090909090909,process_tree,8.64,process_tree,1371.62
890000,765.422,1.948,1.335,35.67727272727273,process_tree,8.68,process_tree,1377.76
900000,771.834,2.108,1.546,19.400000000000002,process_tree,8.74,process_tree,1386.15
910000,776.401,2.041,1.582,26.004545454545454,process_tree,8.91,process_tree,1414.34
920000,780.545,2.031,1.512,31.136363636363637,process_tree,8.92,process_tree,1416.21
930000,784.738,2.022,1.385,26.04090909090909,process_tree,9.07,process_tree,1438.57
940000,789.21,2.214,1.566,16.172727272727272,process_tree,9.23,process_tree,1464.77
950000,793.569,1.994,1.495,35.71363636363637,process_tree,8.72,process_tree,1384.29
960000,797.735,2.129,1.401,19.54090909090909,process_tree,8.85,process_tree,1403.84
970000,801.877,2.178,1.454,22.599999999999998,process_tree,8.99,process_tree,1425.82
980000,806.498,2.082,1.386,33.21818181818182,process_tree,9.11,process_tree,1446.29
990000,810.679,2.105,1.625,31.763636363636362,process_tree,9.25,process_tree,1468.51
1000000,814.809,2.115,1.53,12.381818181818181,process_tree,9.38,process_tree,1489.26
1010000,819.94,2.1,1.473,19.536363636363635,process_tree,9.57,process_tree,1518.69
1020000,824.605,2.206,1.521,24.09090909090909,process_tree,9.68,process_tree,1535.79
1030000,828.818,2.097,1.496,29.30909090909091,process_tree,9.81,process_tree,1556.98
1040000,833.084,1.992,1.339,30.527272727272724,process_tree,9.95,process_tree,1578.34
1050000,837.725,2.048,1.529,20.82272727272727,process_tree,10.08,process_tree,1599.89
1060000,842.359,2.014,1.432,32.56363636363636,process_tree,10.22,process_tree,1621.46
1070000,846.962,2.073,1.534,26.545454545454547,process_tree,10.35,process_tree,1642.87
1080000,851.933,2.056,1.388,22.799999999999997,process_tree,10.49,process_tree,1664.7
1090000,856.179,1.968,1.411,31.272727272727273,process_tree,10.63,process_tree,1686.26
1100000,860.337,2.177,1.501,26.640909090909087,process_tree,10.76,process_tree,1708.2
1110000,864.524,2.075,1.35,34.404545454545456,process_tree,10.89,process_tree,1728.8
1120000,868.803,1.957,1.435,20.172727272727272,process_tree,10.91,process_tree,1731.69
1130000,872.948,2.083,1.484,29.213636363636365,process_tree,11.05,process_tree,1754.25
1140000,877.184,2.131,1.593,19.536363636363635,process_tree,11.19,process_tree,1775.55
1150000,882.741,2.003,1.584,26.486363636363638,process_tree,11.33,process_tree,1797.24
1160000,889.387,1.903,1.315,26.063636363636363,process_tree,11.46,process_tree,1818.16
1170000,895.778,2.127,1.679,29.886363636363637,process_tree,11.6,process_tree,1840.0
1180000,902.24,2.13,1.647,18.645454545454545,process_tree,11.73,process_tree,1861.11
1190000,908.962,2.074,1.441,28.5,process_tree,11.86,process_tree,1882.81
1200000,915.576,2.148,1.419,29.236363636363635,process_tree,12.0,process_tree,1904.18
1210000,922.217,1.946,1.278,18.88181818181818,process_tree,12.14,process_tree,1926.32
1220000,928.878,1.944,1.394,24.09545454545454,process_tree,12.27,process_tree,1947.46
1230000,935.579,1.955,1.524,31.181818181818183,process_tree,12.41,process_tree,1968.61
1240000,1102.408,3.147,2.983,22.772727272727273,process_tree,9.0,process_tree,1428.25
1250000,1108.69,4.15,3.67,31.84090909090909,process_tree,8.95,process_tree,1419.57
1260000,1113.102,4.181,3.7,21.0,process_tree,8.97,process_tree,1422.9
1270000,1117.093,3.736,3.193,18.077272727272728,process_tree,9.04,process_tree,1435.08
1280000,1121.347,3.729,2.937,29.19545454545454,process_tree,9.12,process_tree,1447.31
1290000,1125.319,3.941,3.657,22.077272727272728,process_tree,9.18,process_tree,1457.26
1300000,1129.573,4.137,3.305,18.886363636363637,process_tree,9.29,process_tree,1474.38
1310000,1133.526,4.075,3.784,18.227272727272727,process_tree,9.37,process_tree,1486.63
