step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,45.8,system,
10000,11.262,1.124,0.772,20.163636363636364,process_tree,6.61,process_tree,1048.8
20000,15.731,1.043,0.663,5.827272727272727,process_tree,6.76,process_tree,1072.02
30000,20.034,1.05,0.639,22.777272727272727,process_tree,6.9,process_tree,1094.8
40000,24.516,1.107,0.689,4.559090909090909,process_tree,7.04,process_tree,1117.04
50000,28.807,1.07,0.698,10.990909090909092,process_tree,7.18,process_tree,1139.78
60000,33.09,1.149,0.719,13.6,process_tree,7.3,process_tree,1159.21
70000,37.844,1.138,0.781,23.722727272727273,process_tree,7.47,process_tree,1184.83
80000,42.184,1.059,0.608,9.059090909090909,process_tree,7.6,process_tree,1205.84
90000,46.517,1.163,0.77,6.472727272727273,process_tree,7.75,process_tree,1229.24
100000,51.328,1.093,0.661,24.650000000000002,process_tree,7.89,process_tree,1251.95
110000,55.68,1.051,0.699,14.881818181818183,process_tree,7.99,process_tree,1268.27
120000,60.069,1.106,0.679,27.36818181818182,process_tree,8.13,process_tree,1290.84
130000,64.908,1.137,0.732,20.154545454545453,process_tree,8.26,process_tree,1310.57
140000,69.206,1.073,0.647,21.336363636363636,process_tree,8.39,process_tree,1331.81
150000,73.539,1.127,0.749,18.88181818181818,process_tree,8.53,process_tree,1354.16
160000,77.878,1.079,0.678,12.859090909090908,process_tree,8.67,process_tree,1375.85
170000,82.78,1.125,0.735,20.836363636363636,process_tree,8.81,process_tree,1397.67
180000,87.694,1.117,0.659,12.15,process_tree,8.94,process_tree,1418.92
190000,92.621,1.077,0.68,18.87272727272727,process_tree,9.08,process_tree,1440.53
200000,97.483,1.129,0.769,16.259090909090908,process_tree,9.21,process_tree,1461.96
210000,102.46,1.092,0.684,14.263636363636364,process_tree,9.35,process_tree,1484.49
220000,107.068,1.066,0.723,39.06363636363636,process_tree,9.49,process_tree,1505.57
230000,112.075,1.108,0.793,16.213636363636365,process_tree,9.63,process_tree,1527.9
240000,116.415,1.076,0.7,12.359090909090908,process_tree,9.76,process_tree,1549.41
250000,121.225,1.092,0.682,13.645454545454545,process_tree,9.9,process_tree,1570.52
260000,126.032,1.122,0.711,18.86818181818182,process_tree,10.04,process_tree,1592.6
270000,130.662,1.146,0.817,20.177272727272726,process_tree,10.18,process_tree,1615.38
280000,134.898,1.143,0.709,20.404545454545453,process_tree,10.31,process_tree,1636.39
290000,140.035,1.077,0.643,14.322727272727274,process_tree,10.45,process_tree,1658.48
300000,144.314,1.09,0.662,24.086363636363636,process_tree,10.59,process_tree,1680.01
310000,148.6,1.102,0.664,17.549999999999997,process_tree,10.73,process_tree,1701.97
320000,152.883,1.076,0.676,19.422727272727272,process_tree,10.86,process_tree,1722.97
330000,157.18,1.078,0.644,10.645454545454546,process_tree,11.0,process_tree,1745.25
340000,161.459,1.062,0.658,12.318181818181818,process_tree,11.13,process_tree,1766.99
350000,165.753,1.074,0.736,4.559090909090909,process_tree,11.27,process_tree,1788.64
360000,170.061,1.098,0.685,15.495454545454544,process_tree,11.4,process_tree,1809.72
370000,175.252,1.115,0.72,28.463636363636365,process_tree,11.54,process_tree,1831.79
380000,179.549,1.124,0.756,18.10909090909091,process_tree,11.68,process_tree,1853.57
390000,183.848,1.073,0.671,11.040909090909091,process_tree,11.82,process_tree,1875.44
400000,320.306,1.076,0.644,20.672727272727272,process_tree,7.9,process_tree,1254.14
410000,327.017,1.173,0.685,10.386363636363637,process_tree,7.56,process_tree,1198.99
420000,333.773,1.184,0.71,5.854545454545455,process_tree,7.51,process_tree,1191.18
430000,340.734,1.205,0.774,10.186363636363637,process_tree,7.54,process_tree,1196.04
440000,347.442,1.249,0.685,20.836363636363636,process_tree,7.57,process_tree,1201.61
450000,354.293,1.168,0.719,6.468181818181819,process_tree,7.62,process_tree,1208.55
460000,361.083,1.201,0.726,23.95,process_tree,7.64,process_tree,1212.46
470000,366.309,1.245,0.858,6.504545454545454,process_tree,7.72,process_tree,1225.47
480000,370.555,1.194,0.747,16.804545454545455,process_tree,7.8,process_tree,1238.07
490000,374.816,1.184,0.729,24.74090909090909,process_tree,7.99,process_tree,1267.8
500000,379.431,1.2,0.752,2.5818181818181816,process_tree,8.26,process_tree,1310.43
510000,385.379,1.151,0.773,16.2,process_tree,8.54,process_tree,1355.78
520000,390.02,1.176,0.695,19.518181818181816,process_tree,8.74,process_tree,1387.43
530000,394.526,1.234,0.843,12.795454545454545,process_tree,8.75,process_tree,1387.75
540000,399.539,1.143,0.725,30.61818181818182,process_tree,8.88,process_tree,1408.85
