step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,40.3,system,
10000,13.463,1.024,0.627,25.268181818181816,process_tree,6.63,process_tree,1052.3
20000,17.802,0.995,0.611,20.831818181818182,process_tree,6.78,process_tree,1075.57
30000,21.95,0.989,0.659,40.845454545454544,process_tree,6.92,process_tree,1098.75
40000,39.722,1.061,0.665,27.85909090909091,process_tree,6.92,process_tree,1097.44
50000,43.834,1.108,0.664,22.668181818181818,process_tree,6.94,process_tree,1101.43
60000,48.168,1.074,0.656,30.44545454545454,process_tree,6.97,process_tree,1106.39
70000,65.044,1.055,0.696,34.52272727272727,process_tree,6.92,process_tree,1097.9
80000,70.98,1.413,0.821,30.613636363636363,process_tree,6.94,process_tree,1102.09
90000,75.288,1.515,0.938,18.895454545454545,process_tree,6.98,process_tree,1107.94
100000,79.73,1.513,0.994,18.87727272727273,process_tree,7.02,process_tree,1114.17
110000,97.096,1.689,1.09,41.67727272727273,process_tree,6.91,process_tree,1096.91
120000,103.47,2.192,1.44,31.75909090909091,process_tree,6.95,process_tree,1102.47
130000,108.888,1.998,1.359,22.14090909090909,process_tree,6.99,process_tree,1108.79
140000,125.15,2.05,1.377,29.24090909090909,process_tree,6.92,process_tree,1098.18
150000,130.906,3.885,2.884,25.35,process_tree,6.95,process_tree,1102.16
160000,136.478,3.509,2.842,28.50909090909091,process_tree,6.99,process_tree,1108.56
170000,140.182,3.895,2.644,33.86363636363637,process_tree,7.02,process_tree,1113.62
180000,156.959,5.813,6.249,29.172727272727272,process_tree,6.92,process_tree,1098.78
190000,162.438,10.645,9.251,18.227272727272727,process_tree,6.96,process_tree,1104.07
200000,167.956,9.357,8.927,21.986363636363635,process_tree,7.0,process_tree,1111.27
210000,185.15,10.369,8.699,18.895454545454545,process_tree,6.92,process_tree,1097.52
220000,190.413,25.712,16.64,27.281818181818185,process_tree,6.94,process_tree,1100.95
230000,195.947,50.274,35.526,18.245454545454546,process_tree,6.98,process_tree,1108.18
240000,201.277,56.353,36.673,19.54090909090909,process_tree,7.03,process_tree,1115.05
250000,218.794,51.353,36.076,26.55909090909091,process_tree,6.94,process_tree,1101.29
260000,224.076,84.562,28.522,20.84090909090909,process_tree,6.97,process_tree,1106.33
270000,229.157,84.733,34.25,23.413636363636364,process_tree,7.02,process_tree,1114.07
280000,245.512,80.517,27.302,24.1,process_tree,6.93,process_tree,1099.34
290000,250.9,92.078,22.407,19.545454545454547,process_tree,6.96,process_tree,1103.91
300000,256.073,93.091,20.318,19.545454545454547,process_tree,6.99,process_tree,1108.92
310000,262.047,100.0,0.0,39.57727272727273,process_tree,7.04,process_tree,1117.33
320000,279.505,93.375,21.973,30.404545454545453,process_tree,7.03,process_tree,1116.25
330000,283.109,100.0,0.0,30.236363636363638,process_tree,7.03,process_tree,1116.25
340000,286.738,98.827,3.708,26.045454545454547,process_tree,7.04,process_tree,1116.64
350000,302.714,100.0,0.0,33.74545454545455,process_tree,7.04,process_tree,1117.52
360000,306.533,100.0,0.0,25.35,process_tree,7.05,process_tree,1118.18
370000,310.33,100.0,0.0,24.681818181818183,process_tree,7.05,process_tree,1118.43
