step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,40.7,system,
10000,15.588,1.274,0.75,25.34090909090909,process_tree,6.53,process_tree,1035.79
20000,23.828,2.131,1.294,13.031818181818181,process_tree,6.54,process_tree,1038.03
30000,31.941,2.727,1.98,24.59090909090909,process_tree,6.54,process_tree,1038.54
40000,40.133,4.231,3.23,22.445454545454545,process_tree,6.55,process_tree,1038.91
50000,47.97,6.347,5.619,35.04545454545455,process_tree,6.55,process_tree,1039.28
60000,56.001,9.291,8.605,16.94090909090909,process_tree,6.55,process_tree,1039.79
70000,63.869,17.306,17.129,25.40909090909091,process_tree,6.56,process_tree,1040.44
80000,71.748,36.932,32.674,36.49090909090909,process_tree,6.56,process_tree,1040.55
90000,79.667,93.21,20.37,20.19545454545454,process_tree,6.56,process_tree,1040.38
100000,87.441,100.0,0.0,18.89090909090909,process_tree,6.56,process_tree,1040.48
110000,95.685,83.5,36.895,26.545454545454547,process_tree,6.56,process_tree,1040.51
120000,103.862,100.0,0.0,28.66818181818182,process_tree,6.56,process_tree,1040.52
130000,112.347,100.0,0.0,18.13181818181818,process_tree,6.56,process_tree,1040.52
140000,120.665,94.677,18.44,31.272727272727273,process_tree,6.56,process_tree,1040.77
150000,128.884,100.0,0.0,24.545454545454547,process_tree,6.56,process_tree,1040.5
160000,136.774,100.0,0.0,14.331818181818182,process_tree,6.56,process_tree,1040.91
170000,144.62,93.822,17.473,39.75,process_tree,6.56,process_tree,1040.89
180000,152.982,100.0,0.0,15.495454545454544,process_tree,6.56,process_tree,1040.77
190000,161.184,100.0,0.0,28.50454545454545,process_tree,6.56,process_tree,1040.77
200000,169.958,100.0,0.0,29.222727272727273,process_tree,6.56,process_tree,1040.77
210000,178.074,100.0,0.0,18.813636363636363,process_tree,6.56,process_tree,1040.99
220000,186.335,100.0,0.0,16.29090909090909,process_tree,6.56,process_tree,1040.95
