step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,41.3,system,
10000,10.784,1.15,0.676,18.23181818181818,process_tree,6.63,process_tree,1052.11
20000,15.094,1.152,0.682,17.45,process_tree,6.78,process_tree,1075.73
30000,19.225,1.185,0.697,24.613636363636363,process_tree,6.92,process_tree,1097.99
40000,23.514,1.197,0.738,16.15909090909091,process_tree,7.05,process_tree,1118.88
50000,27.699,1.136,0.649,18.222727272727273,process_tree,7.19,process_tree,1140.69
60000,31.933,1.149,0.685,20.018181818181816,process_tree,7.34,process_tree,1163.98
70000,36.315,1.166,0.731,34.690909090909095,process_tree,7.47,process_tree,1185.3
80000,40.554,1.186,0.697,25.186363636363634,process_tree,7.6,process_tree,1206.47
90000,78.579,1.141,0.68,32.33181818181818,process_tree,7.18,process_tree,1139.23
100000,83.165,1.369,0.824,31.00454545454545,process_tree,7.19,process_tree,1140.7
110000,87.468,1.292,0.823,21.268181818181816,process_tree,7.21,process_tree,1144.9
120000,91.638,1.287,0.801,23.313636363636363,process_tree,7.23,process_tree,1147.52
130000,95.969,1.323,0.881,16.799999999999997,process_tree,7.26,process_tree,1152.47
140000,100.123,1.279,0.859,19.54090909090909,process_tree,7.33,process_tree,1162.58
150000,104.402,1.254,0.764,27.99090909090909,process_tree,7.46,process_tree,1183.22
160000,109.077,1.357,0.883,42.154545454545456,process_tree,7.62,process_tree,1209.15
170000,113.591,1.324,0.765,18.75,process_tree,7.75,process_tree,1230.03
180000,153.011,1.757,1.177,22.645454545454545,process_tree,7.28,process_tree,1155.42
190000,159.16,2.152,1.518,29.959090909090904,process_tree,7.29,process_tree,1157.59
200000,164.895,2.014,1.338,33.21818181818182,process_tree,7.34,process_tree,1164.74
210000,168.849,2.031,1.304,23.972727272727273,process_tree,7.37,process_tree,1169.36
220000,172.948,2.13,1.587,32.445454545454545,process_tree,7.42,process_tree,1177.03
230000,176.885,2.015,1.337,27.94090909090909,process_tree,7.48,process_tree,1186.86
240000,180.849,2.005,1.403,14.213636363636367,process_tree,7.56,process_tree,1199.12
250000,185.049,2.12,1.581,31.272727272727273,process_tree,7.69,process_tree,1219.75
260000,225.325,2.274,1.848,27.295454545454547,process_tree,7.29,process_tree,1156.08
270000,230.984,3.55,2.733,29.30909090909091,process_tree,7.28,process_tree,1155.75
280000,234.975,3.872,3.517,29.2,process_tree,7.3,process_tree,1158.08
290000,238.941,4.359,4.27,24.69090909090909,process_tree,7.22,process_tree,1145.77
300000,242.749,4.039,3.589,33.11363636363637,process_tree,7.28,process_tree,1154.84
310000,246.634,4.168,3.829,27.89090909090909,process_tree,7.3,process_tree,1158.59
320000,250.433,3.831,3.221,36.47727272727273,process_tree,7.37,process_tree,1169.18
